body_region_group,n_markers,n_labeled_markers,n_unlabeled_markers,total_missing_frames,mean_missing_percent,max_missing_percent,n_gaps_total,n_gaps_ge_0p2s,n_gaps_ge_0p5s,n_gaps_ge_1p0s,longest_gap_frames,longest_gap_seconds,worst_marker
elbow_forearm,2,2,0,0,0.0,0.0,0,0,0,0,0,0.0,671:LElbowOut
fingers,6,6,0,759,0.416722,1.116748,128,5,2,0,110,0.916667,671:RIndex
foot,8,8,0,0,0.0,0.0,0,0,0,0,0,0.0,671:LHeel
head_neck,4,4,0,0,0.0,0.0,0,0,0,0,0,0.0,671:HeadFront
pelvis_waist,2,2,0,88,0.144947,0.200949,4,2,0,0,45,0.375,671:WaistLFront
shank_ankle,4,4,0,0,0.0,0.0,0,0,0,0,0,0.0,671:LAnkleOut
shoulder_upper_arm,6,6,0,10,0.00549,0.032942,1,0,0,0,10,0.083333,671:LShoulderTop
thigh_knee,6,6,0,0,0.0,0.0,0,0,0,0,0,0.0,671:LKneeOut
torso_chest_back,10,10,0,639,0.210502,1.587824,15,2,2,1,478,3.983333,671:ChestTop
unlabeled,15,0,15,455004,99.926209,99.993412,32,32,32,32,29541,246.175,Unlabeled 2971
wrist_hand,6,6,0,194,0.106514,0.30307,52,1,0,0,28,0.233333,671:LHandIn
