marker_name,is_labeled,is_unlabeled,body_region_group,n_total_frames,n_valid_frames,n_missing_frames,missing_percent,n_gaps_total,n_single_frame_gaps,longest_gap_frames,longest_gap_seconds,mean_gap_frames,median_gap_frames,n_gaps_ge_0p025s,n_gaps_ge_0p1s,n_gaps_ge_0p2s,n_gaps_ge_0p5s,n_gaps_ge_1p0s,first_missing_frame,last_missing_frame,quality_label,quality_reason
671:BackLeft,True,False,torso_chest_back,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:BackRight,True,False,torso_chest_back,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:BackTop,True,False,torso_chest_back,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:ChestLow,True,False,torso_chest_back,30356,30199,157,0.517196,13,4,66,0.55,12.076923,5.0,8,5,1,1,0,14298.0,28743.0,caution,Within caution thresholds.
671:ChestTop,True,False,torso_chest_back,30356,29874,482,1.587824,2,0,478,3.983333,241.0,241.0,2,1,1,1,1,1058.0,17245.0,caution,Within caution thresholds.
671:HeadFront,True,False,head_neck,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:HeadLeft,True,False,head_neck,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:HeadRight,True,False,head_neck,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:HeadTop,True,False,head_neck,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LAnkleOut,True,False,shank_ankle,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LElbowOut,True,False,elbow_forearm,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LFArm,True,False,shoulder_upper_arm,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LHandIn,True,False,wrist_hand,30356,30264,92,0.30307,27,12,19,0.158333,3.407407,2.0,10,1,0,0,0,4431.0,29454.0,clean,Within clean thresholds.
671:LHandOut,True,False,wrist_hand,30356,30341,15,0.049414,1,0,15,0.125,15.0,15.0,1,1,0,0,0,17286.0,17300.0,clean,Within clean thresholds.
671:LHeel,True,False,foot,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
