pair_name,marker_a,marker_b,body_region_group,median_distance_m,n_frames_violating,pct_frames_violating,n_events
LHeel__LToeTip,671:LHeel,671:LToeTip,foot,0.303619,0,0.0,0
LHeel__LToeIn,671:LHeel,671:LToeIn,foot,0.185294,0,0.0,0
LHeel__LToeOut,671:LHeel,671:LToeOut,foot,0.196461,0,0.0,0
RHeel__RToeIn,671:RHeel,671:RToeIn,foot,0.20508,0,0.0,0
RToeIn__RToeOut,671:RToeIn,671:RToeOut,foot,0.137851,0,0.0,0
RHeel__RToeTip,671:RHeel,671:RToeTip,foot,0.298392,0,0.0,0
HeadFront__HeadTop,671:HeadFront,671:HeadTop,head_neck,0.147812,0,0.0,0
WaistLFront__WaistRFront,671:WaistLFront,671:WaistRFront,pelvis_waist,0.267073,0,0.0,0
LAnkleOut__LShin,671:LAnkleOut,671:LShin,shank_ankle,0.170719,0,0.0,0
RAnkleOut__RShin,671:RAnkleOut,671:RShin,shank_ankle,0.261684,0,0.0,0
LThighFront__LThighSide,671:LThighFront,671:LThighSide,thigh_knee,0.200767,0,0.0,0
RKneeOut__RThighSide,671:RKneeOut,671:RThighSide,thigh_knee,0.378555,161,0.526075,8
RThighFront__RThighSide,671:RThighFront,671:RThighSide,thigh_knee,0.20993,0,0.0,0
BackLeft__LShoulderBack,671:BackLeft,671:LShoulderBack,torso_chest_back,0.152786,987,3.225069,2
BackRight__RShoulderBack,671:BackRight,671:RShoulderBack,torso_chest_back,0.163853,561,1.833094,1
BackTop__WaistCBack,671:BackTop,671:WaistCBack,torso_chest_back,0.381116,740,2.417985,1
BackTop__ChestLow,671:BackTop,671:ChestLow,torso_chest_back,0.317679,0,0.0,0
ChestTop__WaistCBack,671:ChestTop,671:WaistCBack,torso_chest_back,0.363822,162,0.529343,4
WaistLBack__WaistRBack,671:WaistLBack,671:WaistRBack,torso_chest_back,0.269921,0,0.0,0
LHandIn__LWristOut,671:LHandIn,671:LWristOut,wrist_hand,0.16909,107,0.349627,13
RHandIn__RWristOut,671:RHandIn,671:RWristOut,wrist_hand,0.15029,58,0.189518,12
RHandIn__RHandOut,671:RHandIn,671:RHandOut,wrist_hand,0.111698,564,1.842896,23
