event_id,marker_name,body_region_group,method,start_frame,end_frame,start_time_s,end_time_s,duration_frames,duration_seconds,event_class,severity,near_gap,methods_in_event,peak_metric_value
E000001,ChestTop__WaistCBack,torso_chest_back,segment_length_violation,1136,1275,9.466667,10.625,140,1.166667,sustained,moderate,False,segment_length_violation,0.463239
E000002,ChestTop__WaistCBack,torso_chest_back,segment_length_violation,18752,18761,156.266667,156.341667,10,0.083333,sustained,moderate,False,segment_length_violation,0.298328
E000003,ChestTop__WaistCBack,torso_chest_back,segment_length_violation,18781,18788,156.508333,156.566667,8,0.066667,sustained,moderate,False,segment_length_violation,0.297107
E000004,ChestTop__WaistCBack,torso_chest_back,segment_length_violation,18792,18795,156.6,156.625,4,0.033333,short_burst,moderate,False,segment_length_violation,0.298042
E000005,RHandIn__RHandOut,wrist_hand,segment_length_violation,1143,1531,9.525,12.758333,389,3.241667,sustained,moderate,False,segment_length_violation,0.149997
E000006,RHandIn__RHandOut,wrist_hand,segment_length_violation,1543,1554,12.858333,12.95,12,0.1,sustained,moderate,False,segment_length_violation,0.134314
E000007,RHandIn__RHandOut,wrist_hand,segment_length_violation,7800,7806,65.0,65.05,7,0.058333,sustained,moderate,False,segment_length_violation,0.137492
E000008,RHandIn__RHandOut,wrist_hand,segment_length_violation,12557,12565,104.641667,104.708333,9,0.075,sustained,moderate,False,segment_length_violation,0.091494
E000009,RHandIn__RHandOut,wrist_hand,segment_length_violation,15648,15660,130.4,130.5,13,0.108333,sustained,moderate,False,segment_length_violation,0.137853
E000010,RHandIn__RHandOut,wrist_hand,segment_length_violation,17438,17443,145.316667,145.358333,6,0.05,sustained,moderate,False,segment_length_violation,0.091079
E000011,RHandIn__RHandOut,wrist_hand,segment_length_violation,17530,17535,146.083333,146.125,6,0.05,sustained,moderate,False,segment_length_violation,0.137213
E000012,RHandIn__RHandOut,wrist_hand,segment_length_violation,19593,19596,163.275,163.3,4,0.033333,short_burst,moderate,False,segment_length_violation,0.137527
E000013,RHandIn__RHandOut,wrist_hand,segment_length_violation,19627,19630,163.558333,163.583333,4,0.033333,short_burst,moderate,False,segment_length_violation,0.087953
E000014,RHandIn__RHandOut,wrist_hand,segment_length_violation,20337,20353,169.475,169.608333,17,0.141667,sustained,moderate,False,segment_length_violation,0.139716
E000015,RHandIn__RHandOut,wrist_hand,segment_length_violation,20401,20433,170.008333,170.275,33,0.275,sustained,moderate,False,segment_length_violation,0.146641
E000016,RHandIn__RHandOut,wrist_hand,segment_length_violation,22811,22812,190.091667,190.1,2,0.016667,short_burst,moderate,False,segment_length_violation,0.132275
E000017,RHandIn__RHandOut,wrist_hand,segment_length_violation,24160,24183,201.333333,201.525,24,0.2,sustained,moderate,False,segment_length_violation,0.155187
E000018,RHandIn__RHandOut,wrist_hand,segment_length_violation,24270,24272,202.25,202.266667,3,0.025,short_burst,moderate,False,segment_length_violation,0.090905
E000019,RHandIn__RHandOut,wrist_hand,segment_length_violation,27932,27932,232.766667,232.766667,1,0.008333,single_frame,moderate,False,segment_length_violation,0.087273
E000020,RHandIn__RHandOut,wrist_hand,segment_length_violation,27979,27980,233.158333,233.166667,2,0.016667,short_burst,moderate,False,segment_length_violation,0.138513
E000021,RHandIn__RHandOut,wrist_hand,segment_length_violation,28049,28053,233.741667,233.775,5,0.041667,short_burst,moderate,False,segment_length_violation,0.162412
E000022,RHandIn__RHandOut,wrist_hand,segment_length_violation,28744,28747,239.533333,239.558333,4,0.033333,short_burst,moderate,False,segment_length_violation,0.140706
E000023,RHandIn__RHandOut,wrist_hand,segment_length_violation,29017,29019,241.808333,241.825,3,0.025,short_burst,moderate,False,segment_length_violation,0.089541
E000024,RHandIn__RHandOut,wrist_hand,segment_length_violation,29038,29046,241.983333,242.05,9,0.075,sustained,moderate,False,segment_length_violation,0.138177
E000025,RHandIn__RHandOut,wrist_hand,segment_length_violation,29051,29058,242.091667,242.15,8,0.066667,sustained,moderate,False,segment_length_violation,0.16141
E000026,RHandIn__RHandOut,wrist_hand,segment_length_violation,29816,29816,248.466667,248.466667,1,0.008333,single_frame,moderate,False,segment_length_violation,0.14517
E000027,RHandIn__RHandOut,wrist_hand,segment_length_violation,30113,30114,250.941667,250.95,2,0.016667,short_burst,moderate,False,segment_length_violation,0.083441
E000028,BackTop__WaistCBack,torso_chest_back,segment_length_violation,5116,5855,42.633333,48.791667,740,6.166667,sustained,moderate,False,segment_length_violation,0.312504
E000029,BackRight__RShoulderBack,torso_chest_back,segment_length_violation,5305,5865,44.208333,48.875,561,4.675,sustained,moderate,False,segment_length_violation,0.134357
E000030,BackLeft__LShoulderBack,torso_chest_back,segment_length_violation,5323,5912,44.358333,49.266667,590,4.916667,sustained,moderate,False,segment_length_violation,0.125215
E000031,BackLeft__LShoulderBack,torso_chest_back,segment_length_violation,12138,12534,101.15,104.45,397,3.308333,sustained,moderate,False,segment_length_violation,0.125206
E000032,671:RFArm,shoulder_upper_arm,velocity_mad,5956,5956,49.633333,49.633333,1,0.008333,single_frame,minor,False,velocity_mad,3.094641
E000033,671:RFArm,shoulder_upper_arm,velocity_mad,17166,17166,143.05,143.05,1,0.008333,single_frame,minor,False,velocity_mad,3.415548
E000034,671:RFArm,shoulder_upper_arm,velocity_mad,19603,19603,163.358333,163.358333,1,0.008333,single_frame,minor,False,velocity_mad,3.338619
E000035,671:RFArm,shoulder_upper_arm,velocity_mad,19997,19997,166.641667,166.641667,1,0.008333,single_frame,severe,False,velocity_mad,7.824388
E000036,671:RFArm,shoulder_upper_arm,velocity_mad,20361,20361,169.675,169.675,1,0.008333,single_frame,minor,False,velocity_mad,3.236696
E000037,671:RFArm,shoulder_upper_arm,velocity_mad,20541,20541,171.175,171.175,1,0.008333,single_frame,moderate,False,velocity_mad,5.010452
E000038,671:RFArm,shoulder_upper_arm,velocity_mad,23154,23154,192.95,192.95,1,0.008333,single_frame,minor,False,velocity_mad,3.707004
E000039,671:RFArm,shoulder_upper_arm,velocity_mad,24869,24869,207.241667,207.241667,1,0.008333,single_frame,severe,False,velocity_mad,7.472745
E000040,671:RFArm,shoulder_upper_arm,velocity_mad,25065,25065,208.875,208.875,1,0.008333,single_frame,minor,False,velocity_mad,3.797779
E000041,671:WaistRFront,pelvis_waist,velocity_mad,14324,14324,119.366667,119.366667,1,0.008333,single_frame,moderate,False,velocity_mad,2.10592
E000042,671:WaistRFront,pelvis_waist,velocity_mad,14327,14327,119.391667,119.391667,1,0.008333,single_frame,severe,False,velocity_mad,3.078088
E000043,671:WaistRFront,pelvis_waist,velocity_mad,18070,18070,150.583333,150.583333,1,0.008333,single_frame,severe,False,velocity_mad,3.653247
E000044,671:WaistRFront,pelvis_waist,velocity_mad,19531,19531,162.758333,162.758333,1,0.008333,single_frame,minor,False,velocity_mad,1.628547
E000045,671:WaistRFront,pelvis_waist,velocity_mad,19536,19536,162.8,162.8,1,0.008333,single_frame,severe,False,velocity_mad,3.034519
E000046,671:WaistRFront,pelvis_waist,velocity_mad,22840,22840,190.333333,190.333333,1,0.008333,single_frame,moderate,False,velocity_mad,2.05348
E000047,671:WaistRFront,pelvis_waist,velocity_mad,23274,23274,193.95,193.95,1,0.008333,single_frame,severe,False,velocity_mad,4.166177
E000048,671:WaistRFront,pelvis_waist,velocity_mad,28835,28835,240.291667,240.291667,1,0.008333,single_frame,minor,False,velocity_mad,1.445457
E000049,671:ChestTop,torso_chest_back,velocity_mad,14416,14416,120.133333,120.133333,1,0.008333,single_frame,minor,False,velocity_mad,1.419166
E000050,671:ChestTop,torso_chest_back,velocity_mad,15449,15449,128.741667,128.741667,1,0.008333,single_frame,minor,False,velocity_mad,1.425015
E000051,671:ChestTop,torso_chest_back,velocity_mad,16562,16562,138.016667,138.016667,1,0.008333,single_frame,minor,False,velocity_mad,1.643797
E000052,671:ChestTop,torso_chest_back,velocity_mad,16573,16573,138.108333,138.108333,1,0.008333,single_frame,minor,False,velocity_mad,1.75103
E000053,671:ChestTop,torso_chest_back,velocity_mad,18281,18281,152.341667,152.341667,1,0.008333,single_frame,severe,False,velocity_mad,2.885478
E000054,671:ChestTop,torso_chest_back,velocity_mad,18781,18781,156.508333,156.508333,1,0.008333,single_frame,moderate,False,velocity_mad,2.385013
E000055,671:ChestTop,torso_chest_back,velocity_mad,18792,18792,156.6,156.6,1,0.008333,single_frame,moderate,False,velocity_mad,2.13195
E000056,671:ChestTop,torso_chest_back,velocity_mad,27756,27756,231.3,231.3,1,0.008333,single_frame,minor,False,velocity_mad,1.506935
E000057,LHandIn__LWristOut,wrist_hand,segment_length_violation,14604,14608,121.7,121.733333,5,0.041667,short_burst,moderate,False,segment_length_violation,0.135481
E000058,LHandIn__LWristOut,wrist_hand,segment_length_violation,15560,15601,129.666667,130.008333,42,0.35,sustained,severe,False,segment_length_violation,0.320388
E000059,LHandIn__LWristOut,wrist_hand,segment_length_violation,16310,16329,135.916667,136.075,20,0.166667,sustained,moderate,False,segment_length_violation,0.238449
E000060,LHandIn__LWristOut,wrist_hand,segment_length_violation,17070,17082,142.25,142.35,13,0.108333,sustained,moderate,False,segment_length_violation,0.234927
E000061,LHandIn__LWristOut,wrist_hand,segment_length_violation,25354,25363,211.283333,211.358333,10,0.083333,sustained,moderate,False,segment_length_violation,0.214755
E000062,LHandIn__LWristOut,wrist_hand,segment_length_violation,25680,25680,214.0,214.0,1,0.008333,single_frame,moderate,False,segment_length_violation,0.200193
E000063,LHandIn__LWristOut,wrist_hand,segment_length_violation,27202,27203,226.683333,226.691667,2,0.016667,short_burst,moderate,False,segment_length_violation,0.138248
E000064,LHandIn__LWristOut,wrist_hand,segment_length_violation,27393,27393,228.275,228.275,1,0.008333,single_frame,moderate,False,segment_length_violation,0.132554
E000065,LHandIn__LWristOut,wrist_hand,segment_length_violation,28129,28130,234.408333,234.416667,2,0.016667,short_burst,moderate,False,segment_length_violation,0.116998
E000066,LHandIn__LWristOut,wrist_hand,segment_length_violation,28330,28331,236.083333,236.091667,2,0.016667,short_burst,moderate,False,segment_length_violation,0.136656
E000067,LHandIn__LWristOut,wrist_hand,segment_length_violation,29030,29033,241.916667,241.941667,4,0.033333,short_burst,moderate,False,segment_length_violation,0.138312
E000068,LHandIn__LWristOut,wrist_hand,segment_length_violation,29093,29093,242.441667,242.441667,1,0.008333,single_frame,moderate,False,segment_length_violation,0.134123
E000069,LHandIn__LWristOut,wrist_hand,segment_length_violation,29846,29849,248.716667,248.741667,4,0.033333,short_burst,moderate,False,segment_length_violation,0.13413
E000070,671:LWristOut,wrist_hand,velocity_mad,14609,14609,121.741667,121.741667,1,0.008333,single_frame,moderate,False,velocity_mad,7.195157
E000071,671:LWristOut,wrist_hand,velocity_mad,27389,27389,228.241667,228.241667,1,0.008333,single_frame,minor,False,velocity_mad,3.739342
