frame,time_s,flag_gap_0p2,flag_gap_0p5,flag_artifact_sigma,flag_segment_swap,flag_edge_effect,reason
0,0.0,False,False,False,False,False,
1,0.008333,False,False,False,False,False,
2,0.016667,False,False,False,False,False,
3,0.025,False,False,False,False,False,
4,0.033333,False,False,False,False,False,
5,0.041667,False,False,False,False,False,
6,0.05,False,False,False,False,False,
7,0.058333,False,False,False,False,False,
8,0.066667,False,False,False,False,False,
9,0.075,False,False,False,False,False,
10,0.083333,False,False,False,False,False,
11,0.091667,False,False,False,False,False,
12,0.1,False,False,False,False,False,
13,0.108333,False,False,False,False,False,
14,0.116667,False,False,False,False,False,
15,0.125,False,False,False,False,False,
16,0.133333,False,False,False,False,False,
17,0.141667,False,False,False,False,False,
18,0.15,False,False,False,False,False,
19,0.158333,False,False,False,False,False,
20,0.166667,False,False,False,False,False,
21,0.175,False,False,False,False,False,
22,0.183333,False,False,False,False,False,
23,0.191667,False,False,False,False,False,
24,0.2,False,False,False,False,False,
25,0.208333,False,False,False,False,False,
26,0.216667,False,False,False,False,False,
27,0.225,False,False,False,False,False,
28,0.233333,False,False,False,False,False,
29,0.241667,False,False,False,False,False,
30,0.25,False,False,False,False,False,
31,0.258333,False,False,False,False,False,
32,0.266667,False,False,False,False,False,
33,0.275,False,False,False,False,False,
34,0.283333,False,False,False,False,False,
35,0.291667,False,False,False,False,False,
36,0.3,False,False,False,False,False,
37,0.308333,False,False,False,False,False,
38,0.316667,False,False,False,False,False,
39,0.325,False,False,False,False,False,
40,0.333333,False,False,False,False,False,
41,0.341667,False,False,False,False,False,
42,0.35,False,False,False,False,False,
43,0.358333,False,False,False,False,False,
44,0.366667,False,False,False,False,False,
45,0.375,False,False,False,False,False,
46,0.383333,False,False,False,False,False,
47,0.391667,False,False,False,False,False,
48,0.4,False,False,False,False,False,
49,0.408333,False,False,False,False,False,
50,0.416667,False,False,False,False,False,
51,0.425,False,False,False,False,False,
52,0.433333,False,False,False,False,False,
53,0.441667,False,False,False,False,False,
54,0.45,False,False,False,False,False,
55,0.458333,False,False,False,False,False,
56,0.466667,False,False,False,False,False,
57,0.475,False,False,False,False,False,
58,0.483333,False,False,False,False,False,
59,0.491667,False,False,False,False,False,
60,0.5,False,False,False,False,False,
61,0.508333,False,False,False,False,False,
62,0.516667,False,False,False,False,False,
63,0.525,False,False,False,False,False,
64,0.533333,False,False,False,False,False,
65,0.541667,False,False,False,False,False,
66,0.55,False,False,False,False,False,
67,0.558333,False,False,False,False,False,
68,0.566667,False,False,False,False,False,
69,0.575,False,False,False,False,False,
70,0.583333,False,False,False,False,False,
71,0.591667,False,False,False,False,False,
72,0.6,False,False,False,False,False,
73,0.608333,False,False,False,False,False,
74,0.616667,False,False,False,False,False,
75,0.625,False,False,False,False,False,
76,0.633333,False,False,False,False,False,
77,0.641667,False,False,False,False,False,
78,0.65,False,False,False,False,False,
79,0.658333,False,False,False,False,False,
80,0.666667,False,False,False,False,False,
81,0.675,False,False,False,False,False,
82,0.683333,False,False,False,False,False,
83,0.691667,False,False,False,False,False,
84,0.7,False,False,False,False,False,
85,0.708333,False,False,False,False,False,
86,0.716667,False,False,False,False,False,
87,0.725,False,False,False,False,False,
88,0.733333,False,False,False,False,False,
89,0.741667,False,False,False,False,False,
90,0.75,False,False,False,False,False,
91,0.758333,False,False,False,False,False,
92,0.766667,False,False,False,False,False,
93,0.775,False,False,False,False,False,
94,0.783333,False,False,False,False,False,
95,0.791667,False,False,False,False,False,
96,0.8,False,False,False,False,False,
97,0.808333,False,False,False,False,False,
98,0.816667,False,False,False,False,False,
99,0.825,False,False,False,False,False,
100,0.833333,False,False,False,False,False,
101,0.841667,False,False,False,False,False,
102,0.85,False,False,False,False,False,
103,0.858333,False,False,False,False,False,
104,0.866667,False,False,False,False,False,
105,0.875,False,False,False,False,False,
106,0.883333,False,False,False,False,False,
107,0.891667,False,False,False,False,False,
108,0.9,False,False,False,False,False,
109,0.908333,False,False,False,False,False,
110,0.916667,False,False,False,False,False,
111,0.925,False,False,False,False,False,
112,0.933333,False,False,False,False,False,
113,0.941667,False,False,False,False,False,
114,0.95,False,False,False,False,False,
115,0.958333,False,False,False,False,False,
116,0.966667,False,False,False,False,False,
117,0.975,False,False,False,False,False,
118,0.983333,False,False,False,False,False,
119,0.991667,False,False,False,False,False,
120,1.0,False,False,False,False,False,
121,1.008333,False,False,False,False,False,
122,1.016667,False,False,False,False,False,
123,1.025,False,False,False,False,False,
124,1.033333,False,False,False,False,False,
125,1.041667,False,False,False,False,False,
126,1.05,False,False,False,False,False,
127,1.058333,False,False,False,False,False,
128,1.066667,False,False,False,False,False,
129,1.075,False,False,False,False,False,
130,1.083333,False,False,False,False,False,
131,1.091667,False,False,False,False,False,
132,1.1,False,False,False,False,False,
133,1.108333,False,False,False,False,False,
134,1.116667,False,False,False,False,False,
135,1.125,False,False,False,False,False,
136,1.133333,False,False,False,False,False,
137,1.141667,False,False,False,False,False,
138,1.15,False,False,False,False,False,
139,1.158333,False,False,False,False,False,
140,1.166667,False,False,False,False,False,
141,1.175,False,False,False,False,False,
142,1.183333,False,False,False,False,False,
143,1.191667,False,False,False,False,False,
144,1.2,False,False,False,False,False,
145,1.208333,False,False,False,False,False,
146,1.216667,False,False,False,False,False,
147,1.225,False,False,False,False,False,
148,1.233333,False,False,False,False,False,
149,1.241667,False,False,False,False,False,
150,1.25,False,False,False,False,False,
151,1.258333,False,False,False,False,False,
152,1.266667,False,False,False,False,False,
153,1.275,False,False,False,False,False,
154,1.283333,False,False,False,False,False,
155,1.291667,False,False,False,False,False,
156,1.3,False,False,False,False,False,
157,1.308333,False,False,False,False,False,
158,1.316667,False,False,False,False,False,
159,1.325,False,False,False,False,False,
160,1.333333,False,False,False,False,False,
161,1.341667,False,False,False,False,False,
162,1.35,False,False,False,False,False,
163,1.358333,False,False,False,False,False,
164,1.366667,False,False,False,False,False,
165,1.375,False,False,False,False,False,
166,1.383333,False,False,False,False,False,
167,1.391667,False,False,False,False,False,
168,1.4,False,False,False,False,False,
169,1.408333,False,False,False,False,False,
170,1.416667,False,False,False,False,False,
171,1.425,False,False,False,False,False,
172,1.433333,False,False,False,False,False,
173,1.441667,False,False,False,False,False,
174,1.45,False,False,False,False,False,
175,1.458333,False,False,False,False,False,
176,1.466667,False,False,False,False,False,
177,1.475,False,False,False,False,False,
178,1.483333,False,False,False,False,False,
179,1.491667,False,False,False,False,False,
180,1.5,False,False,False,False,False,
181,1.508333,False,False,False,False,False,
182,1.516667,False,False,False,False,False,
183,1.525,False,False,False,False,False,
184,1.533333,False,False,False,False,False,
185,1.541667,False,False,False,False,False,
186,1.55,False,False,False,False,False,
187,1.558333,False,False,False,False,False,
188,1.566667,False,False,False,False,False,
189,1.575,False,False,False,False,False,
190,1.583333,False,False,False,False,False,
191,1.591667,False,False,False,False,False,
192,1.6,False,False,False,False,False,
193,1.608333,False,False,False,False,False,
194,1.616667,False,False,False,False,False,
195,1.625,False,False,False,False,False,
196,1.633333,False,False,False,False,False,
197,1.641667,False,False,False,False,False,
198,1.65,False,False,False,False,False,
199,1.658333,False,False,False,False,False,
200,1.666667,False,False,False,False,False,
201,1.675,False,False,False,False,False,
202,1.683333,False,False,False,False,False,
203,1.691667,False,False,False,False,False,
204,1.7,False,False,False,False,False,
205,1.708333,False,False,False,False,False,
206,1.716667,False,False,False,False,False,
207,1.725,False,False,False,False,False,
208,1.733333,False,False,False,False,False,
209,1.741667,False,False,False,False,False,
210,1.75,False,False,False,False,False,
211,1.758333,False,False,False,False,False,
212,1.766667,False,False,False,False,False,
213,1.775,False,False,False,False,False,
214,1.783333,False,False,False,False,False,
215,1.791667,False,False,False,False,False,
216,1.8,False,False,False,False,False,
217,1.808333,False,False,False,False,False,
218,1.816667,False,False,False,False,False,
219,1.825,False,False,False,False,False,
220,1.833333,False,False,False,False,False,
221,1.841667,False,False,False,False,False,
222,1.85,False,False,False,False,False,
223,1.858333,False,False,False,False,False,
224,1.866667,False,False,False,False,False,
225,1.875,False,False,False,False,False,
226,1.883333,False,False,False,False,False,
227,1.891667,False,False,False,False,False,
228,1.9,False,False,False,False,False,
229,1.908333,False,False,False,False,False,
230,1.916667,False,False,False,False,False,
231,1.925,False,False,False,False,False,
232,1.933333,False,False,False,False,False,
233,1.941667,False,False,False,False,False,
234,1.95,False,False,False,False,False,
235,1.958333,False,False,False,False,False,
236,1.966667,False,False,False,False,False,
237,1.975,False,False,False,False,False,
238,1.983333,False,False,False,False,False,
239,1.991667,False,False,False,False,False,
240,2.0,False,False,False,False,False,
241,2.008333,False,False,False,False,False,
242,2.016667,False,False,False,False,False,
243,2.025,False,False,False,False,False,
244,2.033333,False,False,False,False,False,
245,2.041667,False,False,False,False,False,
246,2.05,False,False,False,False,False,
247,2.058333,False,False,False,False,False,
248,2.066667,False,False,False,False,False,
249,2.075,False,False,False,False,False,
250,2.083333,False,False,False,False,False,
251,2.091667,False,False,False,False,False,
252,2.1,False,False,False,False,False,
253,2.108333,False,False,False,False,False,
254,2.116667,False,False,False,False,False,
255,2.125,False,False,False,False,False,
256,2.133333,False,False,False,False,False,
257,2.141667,False,False,False,False,False,
258,2.15,False,False,False,False,False,
259,2.158333,False,False,False,False,False,
260,2.166667,False,False,False,False,False,
261,2.175,False,False,False,False,False,
262,2.183333,False,False,False,False,False,
263,2.191667,False,False,False,False,False,
264,2.2,False,False,False,False,False,
265,2.208333,False,False,False,False,False,
266,2.216667,False,False,False,False,False,
267,2.225,False,False,False,False,False,
268,2.233333,False,False,False,False,False,
269,2.241667,False,False,False,False,False,
270,2.25,False,False,False,False,False,
271,2.258333,False,False,False,False,False,
272,2.266667,False,False,False,False,False,
273,2.275,False,False,False,False,False,
274,2.283333,False,False,False,False,False,
275,2.291667,False,False,False,False,False,
276,2.3,False,False,False,False,False,
277,2.308333,False,False,False,False,False,
278,2.316667,False,False,False,False,False,
