start_frame,end_frame,start_s,end_s,duration_s,reason,criterion,affected_markers,has_gap_ge_0p5,has_gap_0p2,has_artifact_sigma,has_segment_swap,has_edge_effect
944,951,7.8667,7.925,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
952,1226,7.9333,10.2167,2.2833,GAP_GE_0P5,gaps_over_0p5,671:ChestTop;671:WaistLFront,True,False,False,False,False
1227,1237,10.225,10.3083,0.0833,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,671:ChestTop;671:WaistLFront;RHandIn__RHandOut,True,False,False,True,False
1238,1242,10.3167,10.35,0.0333,GAP_GE_0P5,gaps_over_0p5,671:ChestTop;671:WaistLFront,True,False,False,False,False
1243,1272,10.3583,10.6,0.2417,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,671:ChestTop;671:WaistLFront;RHandIn__RHandOut,True,False,False,True,False
1273,1508,10.6083,12.5667,1.9583,GAP_GE_0P5,gaps_over_0p5,671:ChestTop;671:WaistLFront,True,False,False,False,False
1509,1516,12.575,12.6333,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
4401,4425,36.675,36.875,0.2,GAP_GE_0P2,gaps_over_0p2,671:LFArm;671:RFArm,False,True,False,False,False
4449,4451,37.075,37.0917,0.0167,SEGMENT_SWAP,segment_swap,LHandIn__LHandOut;LHandIn__LWristOut,False,False,False,True,False
5010,5017,41.75,41.8083,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
5018,5676,41.8167,47.3,5.4833,GAP_GE_0P5,gaps_over_0p5,671:LShoulderTop,True,False,False,False,False
5677,5684,47.3083,47.3667,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
6994,7017,58.2833,58.475,0.1917,GAP_GE_0P2,gaps_over_0p2,671:RHandIn,False,True,False,False,False
7604,7604,63.3667,63.3667,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LShoulderBack,False,False,True,False,False
11955,11962,99.625,99.6833,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
11963,12087,99.6917,100.725,1.0333,GAP_GE_0P5,gaps_over_0p5,671:RHandIn,True,False,False,False,False
12088,12095,100.7333,100.7917,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
14161,14201,118.0083,118.3417,0.3333,GAP_GE_0P2,gaps_over_0p2,671:LFArm,False,True,False,False,False
14222,14229,118.5167,118.575,0.0583,EDGE_EFFECT,edge_effect,671:RHandIn,False,False,False,False,True
14230,14267,118.5833,118.8917,0.3083,GAP_GE_0P5,gaps_over_0p5,671:LFArm;671:RHandIn,True,False,False,False,False
14268,14316,118.9,119.3,0.4,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,671:LFArm;671:RFArm,True,True,False,False,False
14317,14338,119.3083,119.4833,0.175,GAP_GE_0P5,gaps_over_0p5,671:LFArm,True,False,False,False,False
14339,14340,119.4917,119.5,0.0083,EDGE_EFFECT,edge_effect,,False,False,False,False,True
14341,14365,119.5083,119.7083,0.2,GAP_GE_0P2,gaps_over_0p2,671:ChestLow;671:LFArm,False,True,False,False,False
14368,14375,119.7333,119.7917,0.0583,EDGE_EFFECT,edge_effect,671:LFArm,False,False,False,False,True
14376,14381,119.8,119.8417,0.0417,GAP_GE_0P5,gaps_over_0p5,671:LFArm,True,False,False,False,False
14382,14421,119.85,120.175,0.325,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,671:LFArm;671:RFArm,True,True,False,False,False
14422,14424,120.1833,120.2,0.0167,GAP_GE_0P5,gaps_over_0p5,671:LFArm;671:RFArm,True,False,False,False,False
14425,14463,120.2083,120.525,0.3167,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,671:LFArm;671:RFArm,True,True,False,False,False
14464,14482,120.5333,120.6833,0.15,GAP_GE_0P5,gaps_over_0p5,671:LFArm,True,False,False,False,False
14483,14483,120.6917,120.6917,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,671:LFArm;671:LHandIn,True,False,True,False,False
14484,14513,120.7,120.9417,0.2417,GAP_GE_0P5,gaps_over_0p5,671:LFArm,True,False,False,False,False
14514,14521,120.95,121.0083,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
14523,14525,121.025,121.0417,0.0167,SEGMENT_SWAP,segment_swap,671:ChestLow;LHandIn__LHandOut,False,False,False,True,False
14526,14526,121.05,121.05,0.0,ARTIFACT_SIGMA;SEGMENT_SWAP,segment_swap,671:ChestLow;671:LHandOut;LHandIn__LHandOut,False,False,True,True,False
14527,14528,121.0583,121.0667,0.0083,SEGMENT_SWAP,segment_swap,ChestLow__ChestTop,False,False,False,True,False
14536,14540,121.1333,121.1667,0.0333,SEGMENT_SWAP,segment_swap,ChestLow__ChestTop,False,False,False,True,False
14541,14562,121.175,121.35,0.175,GAP_GE_0P2,gaps_over_0p2,671:ChestLow;671:LFArm,False,True,False,False,False
14563,14581,121.3583,121.5083,0.15,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,671:ChestLow;671:LFArm;671:RFArm,True,True,False,False,False
14582,14582,121.5167,121.5167,0.0,GAP_GE_0P5;GAP_GE_0P2;ARTIFACT_SIGMA,gaps_over_0p5,671:ChestLow;671:LFArm;671:RFArm;671:RHandIn,True,True,True,False,False
14583,14584,121.525,121.5333,0.0083,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,671:ChestLow;671:LFArm;671:RFArm,True,True,False,False,False
14585,14596,121.5417,121.6333,0.0917,GAP_GE_0P5;GAP_GE_0P2;SEGMENT_SWAP,gaps_over_0p5,671:ChestLow;671:LFArm;671:LHandIn;671:RFArm;RHandIn__RHandOut;RHandIn__RWristOut,True,True,False,True,False
14597,14614,121.6417,121.7833,0.1417,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,671:ChestLow;671:LFArm;671:LHandIn;671:RFArm;671:RHandIn;ChestLow__ChestTop;RHandIn__RHandOut;RHandIn__RWristOut,True,False,False,True,False
14615,14615,121.7917,121.7917,0.0,GAP_GE_0P5;ARTIFACT_SIGMA;SEGMENT_SWAP,gaps_over_0p5,671:LFArm;671:RFArm;671:RHandIn;ChestLow__ChestTop;RHandIn__RHandOut;RHandIn__RWristOut,True,False,True,True,False
14616,14646,121.8,122.05,0.25,GAP_GE_0P5;GAP_GE_0P2;SEGMENT_SWAP,gaps_over_0p5,671:ChestLow;671:LFArm;671:RFArm;RHandIn__RHandOut;RHandIn__RWristOut,True,True,False,True,False
14647,14660,122.0583,122.1667,0.1083,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,671:RFArm;RHandIn__RHandOut;RHandIn__RWristOut,True,False,False,True,False
14661,14668,122.175,122.2333,0.0583,SEGMENT_SWAP;EDGE_EFFECT,segment_swap,RHandIn__RHandOut;RHandIn__RWristOut,False,False,False,True,True
14669,14799,122.2417,123.325,1.0833,SEGMENT_SWAP,segment_swap,671:LHandIn;671:RFArm;LHandIn__LHandOut;LHandIn__LWristOut;RHandIn__RHandOut;RHandIn__RWristOut,False,False,False,True,False
14800,14800,123.3333,123.3333,0.0,ARTIFACT_SIGMA;SEGMENT_SWAP,segment_swap,671:LHandIn;RHandIn__RHandOut,False,False,True,True,False
14801,14884,123.3417,124.0333,0.6917,SEGMENT_SWAP,segment_swap,RHandIn__RHandOut;RHandIn__RWristOut,False,False,False,True,False
