pair_name,marker_a,marker_b,body_region_group,median_distance_m,n_frames_violating,pct_frames_violating,n_events,marker_a_raw,marker_a_canonical,marker_a_asset_prefix,marker_b_raw,marker_b_canonical,marker_b_asset_prefix
LHeel__LToeIn,671:LHeel,671:LToeIn,foot,0.218623,0,0.0,0,671:LHeel,LHeel,671,671:LToeIn,LToeIn,671
LToeIn__LToeOut,671:LToeIn,671:LToeOut,foot,0.110526,0,0.0,0,671:LToeIn,LToeIn,671,671:LToeOut,LToeOut,671
LHeel__LToeTip,671:LHeel,671:LToeTip,foot,0.284078,0,0.0,0,671:LHeel,LHeel,671,671:LToeTip,LToeTip,671
RHeel__RToeTip,671:RHeel,671:RToeTip,foot,0.288532,0,0.0,0,671:RHeel,RHeel,671,671:RToeTip,RToeTip,671
RHeel__RToeIn,671:RHeel,671:RToeIn,foot,0.204936,0,0.0,0,671:RHeel,RHeel,671,671:RToeIn,RToeIn,671
RToeIn__RToeOut,671:RToeIn,671:RToeOut,foot,0.126763,0,0.0,0,671:RToeIn,RToeIn,671,671:RToeOut,RToeOut,671
HeadFront__HeadTop,671:HeadFront,671:HeadTop,head_neck,0.147149,0,0.0,0,671:HeadFront,HeadFront,671,671:HeadTop,HeadTop,671
WaistLFront__WaistRFront,671:WaistLFront,671:WaistRFront,pelvis_waist,0.255404,0,0.0,0,671:WaistLFront,WaistLFront,671,671:WaistRFront,WaistRFront,671
LAnkleOut__LShin,671:LAnkleOut,671:LShin,shank_ankle,0.127734,0,0.0,0,671:LAnkleOut,LAnkleOut,671,671:LShin,LShin,671
RAnkleOut__RShin,671:RAnkleOut,671:RShin,shank_ankle,0.207911,0,0.0,0,671:RAnkleOut,RAnkleOut,671,671:RShin,RShin,671
LShoulderTop__LUArmHigh,671:LShoulderTop,671:LUArmHigh,shoulder_upper_arm,0.207471,25,0.082356,3,671:LShoulderTop,LShoulderTop,671,671:LUArmHigh,LUArmHigh,671
RShoulderTop__RUArmHigh,671:RShoulderTop,671:RUArmHigh,shoulder_upper_arm,0.195458,0,0.0,0,671:RShoulderTop,RShoulderTop,671,671:RUArmHigh,RUArmHigh,671
LKneeOut__LThighFront,671:LKneeOut,671:LThighFront,thigh_knee,0.375681,413,1.360522,10,671:LKneeOut,LKneeOut,671,671:LThighFront,LThighFront,671
LThighFront__LThighSide,671:LThighFront,671:LThighSide,thigh_knee,0.193175,0,0.0,0,671:LThighFront,LThighFront,671,671:LThighSide,LThighSide,671
RThighFront__RThighSide,671:RThighFront,671:RThighSide,thigh_knee,0.188599,0,0.0,0,671:RThighFront,RThighFront,671,671:RThighSide,RThighSide,671
BackLeft__LShoulderBack,671:BackLeft,671:LShoulderBack,torso_chest_back,0.159201,0,0.0,0,671:BackLeft,BackLeft,671,671:LShoulderBack,LShoulderBack,671
BackRight__RShoulderBack,671:BackRight,671:RShoulderBack,torso_chest_back,0.140801,5,0.016471,1,671:BackRight,BackRight,671,671:RShoulderBack,RShoulderBack,671
BackTop__WaistCBack,671:BackTop,671:WaistCBack,torso_chest_back,0.377509,0,0.0,0,671:BackTop,BackTop,671,671:WaistCBack,WaistCBack,671
ChestLow__WaistCBack,671:ChestLow,671:WaistCBack,torso_chest_back,0.311007,22,0.072473,1,671:ChestLow,ChestLow,671,671:WaistCBack,WaistCBack,671
ChestTop__WaistCBack,671:ChestTop,671:WaistCBack,torso_chest_back,0.367675,0,0.0,0,671:ChestTop,ChestTop,671,671:WaistCBack,WaistCBack,671
WaistLBack__WaistRBack,671:WaistLBack,671:WaistRBack,torso_chest_back,0.239128,0,0.0,0,671:WaistLBack,WaistLBack,671,671:WaistRBack,WaistRBack,671
LHandIn__LHandOut,671:LHandIn,671:LHandOut,wrist_hand,0.112944,67,0.220714,11,671:LHandIn,LHandIn,671,671:LHandOut,LHandOut,671
LHandIn__LWristOut,671:LHandIn,671:LWristOut,wrist_hand,0.184624,82,0.270128,30,671:LHandIn,LHandIn,671,671:LWristOut,LWristOut,671
RHandIn__RHandOut,671:RHandIn,671:RHandOut,wrist_hand,0.123666,27,0.088945,7,671:RHandIn,RHandIn,671,671:RHandOut,RHandOut,671
RHandIn__RWristOut,671:RHandIn,671:RWristOut,wrist_hand,0.161588,14,0.046119,5,671:RHandIn,RHandIn,671,671:RWristOut,RWristOut,671
