marker_name,body_region_group,missing_percent,quarantine_reason,n_total_frames,marker_name_raw,marker_name_canonical,asset_prefix
671:BackLeft,torso_chest_back,100.0,phantom_skeleton,30479,671:BackLeft,BackLeft,671
671:BackRight,torso_chest_back,100.0,phantom_skeleton,30479,671:BackRight,BackRight,671
671:BackTop,torso_chest_back,100.0,phantom_skeleton,30479,671:BackTop,BackTop,671
671:ChestLow,torso_chest_back,100.0,phantom_skeleton,30479,671:ChestLow,ChestLow,671
671:ChestTop,torso_chest_back,100.0,phantom_skeleton,30479,671:ChestTop,ChestTop,671
671:HeadFront,head_neck,100.0,phantom_skeleton,30479,671:HeadFront,HeadFront,671
671:HeadLeft,head_neck,100.0,phantom_skeleton,30479,671:HeadLeft,HeadLeft,671
671:HeadRight,head_neck,100.0,phantom_skeleton,30479,671:HeadRight,HeadRight,671
671:HeadTop,head_neck,100.0,phantom_skeleton,30479,671:HeadTop,HeadTop,671
671:LAnkleOut,shank_ankle,100.0,phantom_skeleton,30479,671:LAnkleOut,LAnkleOut,671
671:LElbowOut,elbow_forearm,100.0,phantom_skeleton,30479,671:LElbowOut,LElbowOut,671
671:LFArm,shoulder_upper_arm,100.0,phantom_skeleton,30479,671:LFArm,LFArm,671
671:LHandIn,wrist_hand,100.0,phantom_skeleton,30479,671:LHandIn,LHandIn,671
671:LHandOut,wrist_hand,100.0,phantom_skeleton,30479,671:LHandOut,LHandOut,671
671:LHeel,foot,100.0,phantom_skeleton,30479,671:LHeel,LHeel,671
671:LKneeOut,thigh_knee,100.0,phantom_skeleton,30479,671:LKneeOut,LKneeOut,671
671:LShin,shank_ankle,100.0,phantom_skeleton,30479,671:LShin,LShin,671
671:LShoulderBack,torso_chest_back,100.0,phantom_skeleton,30479,671:LShoulderBack,LShoulderBack,671
671:LShoulderTop,shoulder_upper_arm,100.0,phantom_skeleton,30479,671:LShoulderTop,LShoulderTop,671
671:LThighFront,thigh_knee,100.0,phantom_skeleton,30479,671:LThighFront,LThighFront,671
671:LThighSide,thigh_knee,100.0,phantom_skeleton,30479,671:LThighSide,LThighSide,671
671:LToeIn,foot,100.0,phantom_skeleton,30479,671:LToeIn,LToeIn,671
671:LToeOut,foot,100.0,phantom_skeleton,30479,671:LToeOut,LToeOut,671
671:LToeTip,foot,100.0,phantom_skeleton,30479,671:LToeTip,LToeTip,671
671:LUArmHigh,shoulder_upper_arm,100.0,phantom_skeleton,30479,671:LUArmHigh,LUArmHigh,671
671:LWristOut,wrist_hand,100.0,phantom_skeleton,30479,671:LWristOut,LWristOut,671
671:RAnkleOut,shank_ankle,100.0,phantom_skeleton,30479,671:RAnkleOut,RAnkleOut,671
671:RElbowOut,elbow_forearm,100.0,phantom_skeleton,30479,671:RElbowOut,RElbowOut,671
671:RFArm,shoulder_upper_arm,100.0,phantom_skeleton,30479,671:RFArm,RFArm,671
671:RHandIn,wrist_hand,100.0,phantom_skeleton,30479,671:RHandIn,RHandIn,671
671:RHandOut,wrist_hand,100.0,phantom_skeleton,30479,671:RHandOut,RHandOut,671
671:RHeel,foot,100.0,phantom_skeleton,30479,671:RHeel,RHeel,671
671:RKneeOut,thigh_knee,100.0,phantom_skeleton,30479,671:RKneeOut,RKneeOut,671
671:RShin,shank_ankle,100.0,phantom_skeleton,30479,671:RShin,RShin,671
671:RShoulderBack,torso_chest_back,100.0,phantom_skeleton,30479,671:RShoulderBack,RShoulderBack,671
671:RShoulderTop,shoulder_upper_arm,100.0,phantom_skeleton,30479,671:RShoulderTop,RShoulderTop,671
671:RThighFront,thigh_knee,100.0,phantom_skeleton,30479,671:RThighFront,RThighFront,671
671:RThighSide,thigh_knee,100.0,phantom_skeleton,30479,671:RThighSide,RThighSide,671
671:RToeIn,foot,100.0,phantom_skeleton,30479,671:RToeIn,RToeIn,671
671:RToeOut,foot,100.0,phantom_skeleton,30479,671:RToeOut,RToeOut,671
671:RToeTip,foot,100.0,phantom_skeleton,30479,671:RToeTip,RToeTip,671
671:RUArmHigh,shoulder_upper_arm,100.0,phantom_skeleton,30479,671:RUArmHigh,RUArmHigh,671
671:RWristOut,wrist_hand,100.0,phantom_skeleton,30479,671:RWristOut,RWristOut,671
671:WaistCBack,torso_chest_back,100.0,phantom_skeleton,30479,671:WaistCBack,WaistCBack,671
671:WaistLBack,torso_chest_back,100.0,phantom_skeleton,30479,671:WaistLBack,WaistLBack,671
671:WaistLFront,pelvis_waist,100.0,phantom_skeleton,30479,671:WaistLFront,WaistLFront,671
671:WaistRBack,torso_chest_back,100.0,phantom_skeleton,30479,671:WaistRBack,WaistRBack,671
671:WaistRFront,pelvis_waist,100.0,phantom_skeleton,30479,671:WaistRFront,WaistRFront,671
