participant_id,session_id,timepoint,part_id,repetition_id,source_file,start_frame,end_frame,time_sec,end_time_sec,gap_flag,jump_flag,swap_candidate_flag,artifact_flag,unlabeled_burden_flag,marker_set_id,marker_set_mismatch_or_prefix_change_flag,dominant_reason,affected_markers,affected_marker_count
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,0,1576,0.0,13.1333,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,1577,1584,13.1417,13.2,False,False,False,False,True,f843d515a491ec5b,True,edge_effect,,0
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,1907,1914,15.8917,15.95,False,False,False,False,True,f843d515a491ec5b,True,edge_effect,,0
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,1915,3370,15.9583,28.0833,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:ChestTop;T3_671:LThighFront;T3_671:RHandIn,3
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,3371,3378,28.0917,28.15,False,False,False,False,True,f843d515a491ec5b,True,edge_effect,,0
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,5333,5340,44.4417,44.5,False,False,False,False,True,f843d515a491ec5b,True,edge_effect,,0
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,5341,5374,44.5083,44.7833,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,5375,5375,44.7917,44.7917,True,False,False,True,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LHandOut;T3_671:LThighFront,2
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,5376,5381,44.8,44.8417,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront,1
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,5382,5397,44.85,44.975,True,False,True,False,True,f843d515a491ec5b,True,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront;T3_671:RFArm,3
671,T3_P1_R2,T3,P1,R2,671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,5398,5400,44.9833,45.0,True,False,False,False,True,f843d515a491ec5b,True,gaps_over_0p5,T3_671:LThighFront;T3_671:RFArm,2
