feature_name,canonical_link_name,parent_canonical,child_canonical,axis,source_layer2_column,include_in_pilot,feature_scope,notes
Neck_to_Head_rx,Neck->Head,Neck,Head,rx,rx_filtered_analysis,true,core_candidate,Within-671 core; alias Neck2->Head -> Neck_to_Head columns
Neck_to_Head_ry,Neck->Head,Neck,Head,ry,ry_filtered_analysis,true,core_candidate,Within-671 core; alias Neck2->Head -> Neck_to_Head columns
Neck_to_Head_rz,Neck->Head,Neck,Head,rz,rz_filtered_analysis,true,core_candidate,Within-671 core; alias Neck2->Head -> Neck_to_Head columns
Chest_to_Neck_rx,Chest->Neck,Chest,Neck,rx,rx_filtered_analysis,true,core_candidate,Within-671 core trunk/neck
Chest_to_Neck_ry,Chest->Neck,Chest,Neck,ry,ry_filtered_analysis,true,core_candidate,Within-671 core trunk/neck
Chest_to_Neck_rz,Chest->Neck,Chest,Neck,rz,rz_filtered_analysis,true,core_candidate,Within-671 core trunk/neck
Chest_to_LShoulder_rx,Chest->LShoulder,Chest,LShoulder,rx,rx_filtered_analysis,true,core_candidate,Within-671 core left shoulder
Chest_to_LShoulder_ry,Chest->LShoulder,Chest,LShoulder,ry,ry_filtered_analysis,true,core_candidate,Within-671 core left shoulder
Chest_to_LShoulder_rz,Chest->LShoulder,Chest,LShoulder,rz,rz_filtered_analysis,true,core_candidate,Within-671 core left shoulder
LShoulder_to_LUArm_rx,LShoulder->LUArm,LShoulder,LUArm,rx,rx_filtered_analysis,true,core_candidate,Within-671 core left upper arm
LShoulder_to_LUArm_ry,LShoulder->LUArm,LShoulder,LUArm,ry,ry_filtered_analysis,true,core_candidate,Within-671 core left upper arm
LShoulder_to_LUArm_rz,LShoulder->LUArm,LShoulder,LUArm,rz,rz_filtered_analysis,true,core_candidate,Within-671 core left upper arm
LUArm_to_LFArm_rx,LUArm->LFArm,LUArm,LFArm,rx,rx_filtered_analysis,true,core_candidate,Within-671 core left elbow
LUArm_to_LFArm_ry,LUArm->LFArm,LUArm,LFArm,ry,ry_filtered_analysis,true,core_candidate,Within-671 core left elbow
LUArm_to_LFArm_rz,LUArm->LFArm,LUArm,LFArm,rz,rz_filtered_analysis,true,core_candidate,Within-671 core left elbow
LFArm_to_LHand_rx,LFArm->LHand,LFArm,LHand,rx,rx_filtered_analysis,true,core_candidate,Within-671 core left wrist/hand
LFArm_to_LHand_ry,LFArm->LHand,LFArm,LHand,ry,ry_filtered_analysis,true,core_candidate,Within-671 core left wrist/hand
LFArm_to_LHand_rz,LFArm->LHand,LFArm,LHand,rz,rz_filtered_analysis,true,core_candidate,Within-671 core left wrist/hand
Chest_to_RShoulder_rx,Chest->RShoulder,Chest,RShoulder,rx,rx_filtered_analysis,true,core_candidate,Within-671 core right shoulder
Chest_to_RShoulder_ry,Chest->RShoulder,Chest,RShoulder,ry,ry_filtered_analysis,true,core_candidate,Within-671 core right shoulder
Chest_to_RShoulder_rz,Chest->RShoulder,Chest,RShoulder,rz,rz_filtered_analysis,true,core_candidate,Within-671 core right shoulder
RShoulder_to_RUArm_rx,RShoulder->RUArm,RShoulder,RUArm,rx,rx_filtered_analysis,true,core_candidate,Within-671 core right upper arm
RShoulder_to_RUArm_ry,RShoulder->RUArm,RShoulder,RUArm,ry,ry_filtered_analysis,true,core_candidate,Within-671 core right upper arm
RShoulder_to_RUArm_rz,RShoulder->RUArm,RShoulder,RUArm,rz,rz_filtered_analysis,true,core_candidate,Within-671 core right upper arm
RUArm_to_RFArm_rx,RUArm->RFArm,RUArm,RFArm,rx,rx_filtered_analysis,true,core_candidate,Within-671 core right elbow
RUArm_to_RFArm_ry,RUArm->RFArm,RUArm,RFArm,ry,ry_filtered_analysis,true,core_candidate,Within-671 core right elbow
RUArm_to_RFArm_rz,RUArm->RFArm,RUArm,RFArm,rz,rz_filtered_analysis,true,core_candidate,Within-671 core right elbow
RFArm_to_RHand_rx,RFArm->RHand,RFArm,RHand,rx,rx_filtered_analysis,true,core_candidate,Within-671 core right wrist/hand
RFArm_to_RHand_ry,RFArm->RHand,RFArm,RHand,ry,ry_filtered_analysis,true,core_candidate,Within-671 core right wrist/hand
RFArm_to_RHand_rz,RFArm->RHand,RFArm,RHand,rz,rz_filtered_analysis,true,core_candidate,Within-671 core right wrist/hand
252_to_LThigh_rx,252->LThigh,252,LThigh,rx,rx_filtered_analysis,true,core_candidate,Within-252 stable pelvis root; not comparable to 671 pelvis naming
252_to_LThigh_ry,252->LThigh,252,LThigh,ry,ry_filtered_analysis,true,core_candidate,Within-252 stable pelvis root; not comparable to 671 pelvis naming
252_to_LThigh_rz,252->LThigh,252,LThigh,rz,rz_filtered_analysis,true,core_candidate,Within-252 stable pelvis root; not comparable to 671 pelvis naming
LThigh_to_LShin_rx,LThigh->LShin,LThigh,LShin,rx,rx_filtered_analysis,true,core_candidate,Within-671 core left shin chain; excludes pelvis root 671->LThigh
LThigh_to_LShin_ry,LThigh->LShin,LThigh,LShin,ry,ry_filtered_analysis,true,core_candidate,Within-671 core left shin chain; excludes pelvis root 671->LThigh
LThigh_to_LShin_rz,LThigh->LShin,LThigh,LShin,rz,rz_filtered_analysis,true,core_candidate,Within-671 core left shin chain; excludes pelvis root 671->LThigh
LShin_to_LFoot_rx,LShin->LFoot,LShin,LFoot,rx,rx_filtered_analysis,true,core_candidate,Within-671 core left foot
LShin_to_LFoot_ry,LShin->LFoot,LShin,LFoot,ry,ry_filtered_analysis,true,core_candidate,Within-671 core left foot
LShin_to_LFoot_rz,LShin->LFoot,LShin,LFoot,rz,rz_filtered_analysis,true,core_candidate,Within-671 core left foot
252_to_RThigh_rx,252->RThigh,252,RThigh,rx,rx_filtered_analysis,true,core_candidate,Within-252 stable pelvis root; not comparable to 671 pelvis naming
252_to_RThigh_ry,252->RThigh,252,RThigh,ry,ry_filtered_analysis,true,core_candidate,Within-252 stable pelvis root; not comparable to 671 pelvis naming
252_to_RThigh_rz,252->RThigh,252,RThigh,rz,rz_filtered_analysis,true,core_candidate,Within-252 stable pelvis root; not comparable to 671 pelvis naming
RThigh_to_RShin_rx,RThigh->RShin,RThigh,RShin,rx,rx_filtered_analysis,true,core_candidate,Within-671 core right shin chain; excludes pelvis root 671->RThigh
RThigh_to_RShin_ry,RThigh->RShin,RThigh,RShin,ry,ry_filtered_analysis,true,core_candidate,Within-671 core right shin chain; excludes pelvis root 671->RThigh
RThigh_to_RShin_rz,RThigh->RShin,RThigh,RShin,rz,rz_filtered_analysis,true,core_candidate,Within-671 core right shin chain; excludes pelvis root 671->RThigh
RShin_to_RFoot_rx,RShin->RFoot,RShin,RFoot,rx,rx_filtered_analysis,true,core_candidate,Within-671 core right foot
RShin_to_RFoot_ry,RShin->RFoot,RShin,RFoot,ry,ry_filtered_analysis,true,core_candidate,Within-671 core right foot
RShin_to_RFoot_rz,RShin->RFoot,RShin,RFoot,rz,rz_filtered_analysis,true,core_candidate,Within-671 core right foot
