Skeleton,T3_671,51,
Bone,T3_671_T3_671,1,0,0.000000,0.921656,0.000000,T3_671
Bone Marker,WaistLFront,T3_671_T3_671,T3_671,0.131317,0.081035,0.116993,
Bone Marker,WaistRFront,T3_671_T3_671,T3_671,-0.118089,0.080982,0.107369,
Bone Marker,WaistLBack,T3_671_T3_671,T3_671,0.134961,0.114889,-0.092606,
Bone Marker,WaistRBack,T3_671_T3_671,T3_671,-0.124090,0.115515,-0.085520,
Bone,T3_671_Ab,2,1,-0.000000,0.033896,-0.000382,T3_671
Bone,T3_671_Bone52,52,2,-0.000000,0.061768,0.000075,T3_671
Bone,T3_671_Bone53,53,52,0.000000,0.066246,0.000617,T3_671
Bone Marker,WaistCBack,T3_671_Bone53,T3_671,-0.061724,0.097393,-0.131566,
Bone,T3_671_Bone54,54,53,0.000000,0.083681,0.000315,T3_671
Bone,T3_671_Chest,3,54,0.000000,0.189343,0.000185,T3_671
Bone Marker,BackTop,T3_671_Chest,T3_671,0.000969,0.162837,-0.066174,
Bone Marker,ChestTop,T3_671_Chest,T3_671,0.007886,0.069507,0.107958,
Bone Marker,BackLeft,T3_671_Chest,T3_671,0.104499,-0.020181,-0.144173,
Bone Marker,BackRight,T3_671_Chest,T3_671,-0.072161,-0.007852,-0.136752,
Bone Marker,ChestLow,T3_671_Chest,T3_671,0.021109,-0.032805,0.134834,
Bone,T3_671_Neck,4,3,-0.000566,0.125132,0.015015,T3_671
Bone,T3_671_Bone58,58,4,-0.000002,0.063930,0.000117,T3_671
Bone,T3_671_Head,5,58,-0.000157,0.074003,-0.001453,T3_671
Bone Marker,HeadTop,T3_671_Head,T3_671,0.000646,0.151444,-0.036919,
Bone Marker,HeadFront,T3_671_Head,T3_671,-0.026030,0.131869,0.108090,
Bone Marker,HeadLeft,T3_671_Head,T3_671,0.089991,0.065730,0.000355,
Bone Marker,HeadRight,T3_671_Head,T3_671,-0.071853,0.039208,-0.056204,
Bone,T3_671_LShoulder,6,3,0.043371,0.058654,-0.000484,T3_671
Bone Marker,LShoulderBack,T3_671_LShoulder,T3_671,0.119116,0.047740,-0.103088,
