source_layer,qc_type,severity,reason,joint_family,mapping_source,mapping_confidence,template_mapping_status,feature_scope,n_events
layer1,artifact_sigma,minor,velocity_mad,head_neck,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,10
layer1,artifact_sigma,minor,velocity_mad,left_elbow_forearm,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,1
layer1,artifact_sigma,minor,velocity_mad,left_wrist_hand,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,2
layer1,artifact_sigma,minor,velocity_mad,pelvis_hip,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,4
layer1,artifact_sigma,minor,velocity_mad,right_elbow_forearm,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,3
layer1,artifact_sigma,minor,velocity_mad,right_shoulder_arm,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,1
layer1,artifact_sigma,minor,velocity_mad,right_wrist_hand,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,2
layer1,artifact_sigma,minor,velocity_mad,trunk_chest,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,9
layer1,artifact_sigma,moderate,velocity_mad,head_neck,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,2
layer1,artifact_sigma,moderate,velocity_mad,left_elbow_forearm,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,2
layer1,artifact_sigma,moderate,velocity_mad,left_shoulder_arm,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,4
layer1,artifact_sigma,moderate,velocity_mad,left_wrist_hand,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,2
layer1,artifact_sigma,moderate,velocity_mad,pelvis_hip,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_used_unverified,,2
