session_id,run_label,marker_or_entity,normalized_marker_name,body_region_group,side,attached_bone,attached_bone_canonical,joint_family,adjacent_joint_family,mapping_source,mapping_confidence,mapping_version,template_mapping_status,n_events,n_frames_affected,gap_0p5_frames,gap_0p2_frames,artifact_sigma_frames,segment_swap_frames,severity_summary,recommendation_impact,notes
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:BackTop,BackTop,torso_chest_back,,671_Chest,Chest,trunk_chest,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,0,2,0,minor,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:ChestLow,ChestLow,torso_chest_back,,671_Chest,Chest,trunk_chest,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,12,58,0,1,10,0,moderate,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:ChestTop,ChestTop,torso_chest_back,,671_Chest,Chest,trunk_chest,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,10,114,0,3,7,0,minor,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:HeadFront,HeadFront,head_neck,,671_Head,Head,head_neck,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,1,1,0,0,1,0,minor,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:HeadLeft,HeadLeft,head_neck,,671_Head,Head,head_neck,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,6,6,0,0,6,0,minor,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:HeadRight,HeadRight,head_neck,,671_Head,Head,head_neck,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,3,3,0,0,3,0,minor,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:HeadTop,HeadTop,head_neck,,671_Head,Head,head_neck,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,3,3,0,0,3,0,minor,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LElbowOut,LElbowOut,elbow_forearm,,671_LUArm,LUArm,left_shoulder_arm,left_elbow_forearm,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,4,292,3,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LFArm,LFArm,shoulder_upper_arm,,671_LFArm,LFArm,left_elbow_forearm,left_wrist_hand,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,17,359,1,8,8,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LHandIn,LHandIn,wrist_hand,,671_LHand,LHand,left_wrist_hand,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,5,88,1,0,3,0,caution,regional_risk_overlay,
