link_id,link_or_joint,parent_canonical,child_canonical,family,feature_scope,view_scope,n_gap_0p5_related_frames,gap_0p5_related_percent,n_gap_0p2_related_frames,gap_0p2_related_percent,gap_0p2_counted_in_burden,artifact_sigma_related_percent,segment_swap_related_percent,layer2_usable_percent,layer2_masked_percent,mapping_version,template_mapping_status,recommendation_placeholder,export_scope,included_by_export_scope,selection_default,user_override,user_note
J004,Neck->Head,Neck,Head,head_neck,core_candidate,core_candidate,0,0.0,0,0.0,True,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J005,LUArm->LFArm,LUArm,LFArm,left_elbow_forearm,core_candidate,core_candidate,75,7.4925,123,12.2877,True,0.1998,0.0999,93.9061,6.0939,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J006,LShin->LFoot,LShin,LFoot,left_shank_ankle,core_candidate,core_candidate,0,0.0,0,0.0,True,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J007,LFArm->LHand,LFArm,LHand,left_wrist_hand,core_candidate,core_candidate,48,4.7952,72,7.1928,True,0.0,0.0,0.0,100.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,blocked_needs_review,core_candidate,True,True,,
J020,LThigh->LShin,LThigh,LShin,left_thigh_knee,core_candidate,core_candidate,0,0.0,0,0.0,True,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J021,Chest->LShoulder,Chest,LShoulder,unknown,core_candidate,core_candidate,0,0.0,0,0.0,True,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J022,671->LThigh,671,LThigh,unknown,core_candidate,core_candidate,0,0.0,0,0.0,True,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J027,LShoulder->LUArm,LShoulder,LUArm,left_shoulder_arm,core_candidate,core_candidate,57,5.6943,0,0.0,True,0.1998,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J028,Chest->Neck,Chest,Neck,trunk_chest,core_candidate,core_candidate,81,8.0919,198,19.7802,True,0.2997,1.998,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J029,RUArm->RFArm,RUArm,RFArm,right_elbow_forearm,core_candidate,core_candidate,208,20.7792,0,0.0,True,0.0,0.0,93.9061,6.0939,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J030,RShin->RFoot,RShin,RFoot,right_shank_ankle,core_candidate,core_candidate,0,0.0,0,0.0,True,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J031,RFArm->RHand,RFArm,RHand,right_wrist_hand,core_candidate,core_candidate,0,0.0,0,0.0,True,0.0,1.8981,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J044,RThigh->RShin,RThigh,RShin,right_thigh_knee,core_candidate,core_candidate,0,0.0,0,0.0,True,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J045,Chest->RShoulder,Chest,RShoulder,unknown,core_candidate,core_candidate,0,0.0,0,0.0,True,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J046,671->RThigh,671,RThigh,unknown,core_candidate,core_candidate,0,0.0,0,0.0,True,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
J051,RShoulder->RUArm,RShoulder,RUArm,right_shoulder_arm,core_candidate,core_candidate,0,0.0,0,0.0,True,0.1998,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_candidate,True,True,,
