session_id,run_label,marker_or_entity,normalized_marker_name,body_region_group,side,attached_bone,attached_bone_canonical,joint_family,adjacent_joint_family,mapping_source,mapping_confidence,mapping_version,template_mapping_status,n_events,n_frames_affected,gap_0p5_frames,gap_0p2_frames,artifact_sigma_frames,segment_swap_frames,severity_summary,recommendation_impact,notes
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:ChestLow,ChestLow,torso_chest_back,,Chest,Chest,trunk_chest,,marker_name_heuristic,medium,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,5,51,0,1,3,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:ChestTop,ChestTop,torso_chest_back,,Chest,Chest,trunk_chest,,marker_name_heuristic,medium,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,5,109,0,3,2,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LElbowOut,LElbowOut,elbow_forearm,,LUArm,LUArm,left_shoulder_arm,left_elbow_forearm,marker_name_heuristic,medium,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,1,45,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LFArm,LFArm,shoulder_upper_arm,,LFArm,LFArm,left_elbow_forearm,left_wrist_hand,marker_name_heuristic,medium,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,5,67,0,2,3,0,severe,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LShoulderTop,LShoulderTop,shoulder_upper_arm,,LShoulder,LShoulder,left_shoulder_arm,,marker_name_heuristic,medium,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,2,2,0,0,2,0,moderate,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:RFArm,RFArm,shoulder_upper_arm,,RFArm,RFArm,right_elbow_forearm,right_wrist_hand,marker_name_heuristic,medium,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,2,208,2,0,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:RHandIn,RHandIn,,,RHand,RHand,right_wrist_hand,,marker_name_heuristic,medium,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,1,8,0,0,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:RShoulderTop,RShoulderTop,shoulder_upper_arm,,RShoulder,RShoulder,right_shoulder_arm,,marker_name_heuristic,medium,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,2,2,0,0,2,0,moderate,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,LHandIn__LWristOut,LHandIn__LWristOut,wrist_hand,,,,unknown,,unmapped,unmapped,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,1,20,0,0,0,1,moderate,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,,,,,,unknown,,unmapped,unmapped,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,416,427,1,2,0,0,exclude,regional_risk_overlay,
