raw_marker_or_region,normalized_marker_or_region,component_markers,attached_bone,attached_bone_canonical,marker_family,related_joint_family,candidate_layer2_links,candidate_layer2_link_ids,mapping_source,mapping_status,candidate_mapping_level,included_in_review,review_note
671:BackLeft,BackLeft,,671_Chest,Chest,torso_chest_back,left_trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,J003; J021; J028; J045,datadescriptions,mapped,bone_adjacency_candidate,True,
671:BackRight,BackRight,,671_Chest,Chest,torso_chest_back,right_trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,J003; J021; J028; J045,datadescriptions,mapped,bone_adjacency_candidate,True,
671:BackTop,BackTop,,671_Chest,Chest,torso_chest_back,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,J003; J021; J028; J045,datadescriptions,mapped,bone_adjacency_candidate,True,
671:ChestLow,ChestLow,,671_Chest,Chest,torso_chest_back,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,J003; J021; J028; J045,datadescriptions,mapped,bone_adjacency_candidate,True,
ChestLow__ChestTop,ChestLow__ChestTop,ChestLow; ChestTop,mixed,mixed,torso_chest_back,trunk_chest,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J021 Chest->LShoulder; J022 671->LThigh; J028 Chest->Neck; J045 Chest->RShoulder; J046 671->RThigh,J001; J002; J003; J021; J022; J028; J045; J046,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
671:ChestTop,ChestTop,,671_Chest,Chest,torso_chest_back,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,J003; J021; J028; J045,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LElbowOut,LElbowOut,,671_LUArm,LUArm,elbow_forearm,left_elbow_forearm,J005 LUArm->LFArm; J027 LShoulder->LUArm,J005; J027,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LFArm,LFArm,,671_LFArm,LFArm,shoulder_upper_arm,left_shoulder_arm,J005 LUArm->LFArm; J007 LFArm->LHand,J005; J007,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LHandIn,LHandIn,,671_LHand,LHand,wrist_hand,left_wrist_hand,J007 LFArm->LHand; J008 LHand->LIndex1; J011 LHand->LMiddle1; J014 LHand->LPinky1; J017 LHand->LRing1; J023 LHand->LThumb1,J007; J008; J011; J014; J017; J023,datadescriptions,mapped,bone_adjacency_candidate,True,
LHandIn__LHandOut,LHandIn__LHandOut,LHandIn; LHandOut,mixed,mixed,wrist_hand,left_wrist_hand,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J005 LUArm->LFArm; J007 LFArm->LHand; J008 LHand->LIndex1; J011 LHand->LMiddle1; J014 LHand->LPinky1; J017 LHand->LRing1; J021 Chest->LShoulder; J022 671->LThigh; J023 LHand->LThumb1; J027 LShoulder->LUArm; J028 Chest->Neck; J045 Chest->RShoulder; J046 671->RThigh,J001; J002; J003; J005; J007; J008; J011; J014; J017; J021; J022; J023; J027; J028; J045; J046,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
LHandIn__LWristOut,LHandIn__LWristOut,LHandIn; LWristOut,mixed,mixed,wrist_hand,left_wrist_hand,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J005 LUArm->LFArm; J007 LFArm->LHand; J008 LHand->LIndex1; J011 LHand->LMiddle1; J014 LHand->LPinky1; J017 LHand->LRing1; J021 Chest->LShoulder; J022 671->LThigh; J023 LHand->LThumb1; J027 LShoulder->LUArm; J028 Chest->Neck; J045 Chest->RShoulder; J046 671->RThigh,J001; J002; J003; J005; J007; J008; J011; J014; J017; J021; J022; J023; J027; J028; J045; J046,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
671:LHandOut,LHandOut,,671_LHand,LHand,wrist_hand,left_wrist_hand,J007 LFArm->LHand; J008 LHand->LIndex1; J011 LHand->LMiddle1; J014 LHand->LPinky1; J017 LHand->LRing1; J023 LHand->LThumb1,J007; J008; J011; J014; J017; J023,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LShoulderBack,LShoulderBack,,671_LShoulder,LShoulder,torso_chest_back,left_trunk_chest,J021 Chest->LShoulder; J027 LShoulder->LUArm,J021; J027,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LShoulderTop,LShoulderTop,,671_LShoulder,LShoulder,shoulder_upper_arm,left_shoulder_arm,J021 Chest->LShoulder; J027 LShoulder->LUArm,J021; J027,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LUArmHigh,LUArmHigh,,671_LUArm,LUArm,shoulder_upper_arm,left_shoulder_arm,J005 LUArm->LFArm; J027 LShoulder->LUArm,J005; J027,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LWristOut,LWristOut,,671_LFArm,LFArm,wrist_hand,left_wrist_hand,J005 LUArm->LFArm; J007 LFArm->LHand,J005; J007,datadescriptions,mapped,bone_adjacency_candidate,True,
