raw_marker_or_region,normalized_marker_or_region,component_markers,attached_bone,attached_bone_canonical,marker_family,related_joint_family,candidate_layer2_links,candidate_layer2_link_ids,mapping_source,mapping_status,candidate_mapping_level,included_in_review,review_note
671:BackLeft,BackLeft,,671_Chest,Chest,torso_chest_back,left_trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,J003; J021; J028; J045,datadescriptions,mapped,bone_adjacency_candidate,True,
BackLeft__LShoulderBack,BackLeft__LShoulderBack,BackLeft; LShoulderBack,mixed,mixed,torso_chest_back,left_trunk_chest,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J021 Chest->LShoulder; J022 671->LThigh; J027 LShoulder->LUArm; J028 Chest->Neck; J045 Chest->RShoulder; J046 671->RThigh,J001; J002; J003; J021; J022; J027; J028; J045; J046,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
671:BackRight,BackRight,,671_Chest,Chest,torso_chest_back,right_trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,J003; J021; J028; J045,datadescriptions,mapped,bone_adjacency_candidate,True,
BackRight__RShoulderBack,BackRight__RShoulderBack,BackRight; RShoulderBack,mixed,mixed,torso_chest_back,right_trunk_chest,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J021 Chest->LShoulder; J022 671->LThigh; J028 Chest->Neck; J045 Chest->RShoulder; J046 671->RThigh; J051 RShoulder->RUArm,J001; J002; J003; J021; J022; J028; J045; J046; J051,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
671:BackTop,BackTop,,671_Chest,Chest,torso_chest_back,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,J003; J021; J028; J045,datadescriptions,mapped,bone_adjacency_candidate,True,
BackTop__WaistCBack,BackTop__WaistCBack,BackTop; WaistCBack,mixed,mixed,torso_chest_back,trunk_chest,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J021 Chest->LShoulder; J022 671->LThigh; J028 Chest->Neck; J045 Chest->RShoulder; J046 671->RThigh,J001; J002; J003; J021; J022; J028; J045; J046,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
671:ChestLow,ChestLow,,671_Chest,Chest,torso_chest_back,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,J003; J021; J028; J045,datadescriptions,mapped,bone_adjacency_candidate,True,
671:ChestTop,ChestTop,,671_Chest,Chest,torso_chest_back,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,J003; J021; J028; J045,datadescriptions,mapped,bone_adjacency_candidate,True,
ChestTop__WaistCBack,ChestTop__WaistCBack,ChestTop; WaistCBack,mixed,mixed,torso_chest_back,trunk_chest,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J021 Chest->LShoulder; J022 671->LThigh; J028 Chest->Neck; J045 Chest->RShoulder; J046 671->RThigh,J001; J002; J003; J021; J022; J028; J045; J046,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
671:HeadFront,HeadFront,,671_Head,Head,head_neck,head_neck,J004 Neck->Head,J004,datadescriptions,mapped,bone_adjacency_candidate,True,
