frame_start,frame_end,duration_frames,qc_type,reason,source_file,raw_marker_or_region,related_joint_family,candidate_layer2_links,candidate_mapping_level,mapping_status,included_in_review
16000,16026,27,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:ChestTop,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,bone_adjacency_candidate,mapped,True
16131,16131,1,artifact_sigma,velocity_mad,artifact_events.csv,671:ChestLow,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,bone_adjacency_candidate,mapped,True
16133,16164,32,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:LFArm,left_shoulder_arm,J005 LUArm->LFArm; J007 LFArm->LHand,bone_adjacency_candidate,mapped,True
16136,16169,34,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:ChestTop,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,bone_adjacency_candidate,mapped,True
16280,16280,1,artifact_sigma,velocity_mad,artifact_events.csv,671:ChestLow,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,bone_adjacency_candidate,mapped,True
16291,16328,38,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:ChestTop,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,bone_adjacency_candidate,mapped,True
16310,16329,20,segment_swap,segment_length_violation,artifact_events.csv,LHandIn__LWristOut,left_wrist_hand,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J005 LUArm->LFArm; J007 LFArm->LHand; J008 LHand->LIndex1; J011 LHand->LMiddle1; J014 LHand->LPinky1; J017 LHand->LRing1; J021 Chest->LShoulder; J022 671->LThigh; J023 LHand->LThumb1; J027 LShoulder->LUArm; J028 Chest->Neck; J045 Chest->RShoulder; J046 671->RThigh,segment_pair_regional,mapped,True
16329,16329,1,artifact_sigma,velocity_mad,artifact_events.csv,671:LFArm,left_shoulder_arm,J005 LUArm->LFArm; J007 LFArm->LHand,bone_adjacency_candidate,mapped,True
16368,16368,1,artifact_sigma,velocity_mad,artifact_events.csv,671:ChestLow,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,bone_adjacency_candidate,mapped,True
16402,16474,73,gap_0p5,marker_gap,gaps_over_0p5s.csv,671:RFArm,right_shoulder_arm,J029 RUArm->RFArm; J031 RFArm->RHand,bone_adjacency_candidate,mapped,True
16544,16678,135,gap_0p5,marker_gap,gaps_over_0p5s.csv,671:RFArm,right_shoulder_arm,J029 RUArm->RFArm; J031 RFArm->RHand,bone_adjacency_candidate,mapped,True
16556,16556,1,artifact_sigma,velocity_mad,artifact_events.csv,671:LFArm,left_shoulder_arm,J005 LUArm->LFArm; J007 LFArm->LHand,bone_adjacency_candidate,mapped,True
16562,16562,1,artifact_sigma,velocity_mad,artifact_events.csv,671:ChestTop,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,bone_adjacency_candidate,mapped,True
16566,16610,45,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:LElbowOut,left_elbow_forearm,J005 LUArm->LFArm; J027 LShoulder->LUArm,bone_adjacency_candidate,mapped,True
16573,16573,1,artifact_sigma,velocity_mad,artifact_events.csv,671:ChestTop,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,bone_adjacency_candidate,mapped,True
16611,16611,1,artifact_sigma,velocity_mad,artifact_events.csv,671:LFArm,left_shoulder_arm,J005 LUArm->LFArm; J007 LFArm->LHand,bone_adjacency_candidate,mapped,True
16642,16681,40,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:ChestLow,trunk_chest,J003 Ab->Chest; J021 Chest->LShoulder; J028 Chest->Neck; J045 Chest->RShoulder,bone_adjacency_candidate,mapped,True
16716,16747,32,gap_0p2,marker_gap,gaps_over_0p2s.csv,671:LFArm,left_shoulder_arm,J005 LUArm->LFArm; J007 LFArm->LHand,bone_adjacency_candidate,mapped,True
16886,16886,1,artifact_sigma,velocity_mad,artifact_events.csv,671:LShoulderTop,left_shoulder_arm,J021 Chest->LShoulder; J027 LShoulder->LUArm,bone_adjacency_candidate,mapped,True
16888,16888,1,artifact_sigma,velocity_mad,artifact_events.csv,671:LShoulderTop,left_shoulder_arm,J021 Chest->LShoulder; J027 LShoulder->LUArm,bone_adjacency_candidate,mapped,True
16942,16942,1,artifact_sigma,velocity_mad,artifact_events.csv,671:RShoulderTop,right_shoulder_arm,J045 Chest->RShoulder; J051 RShoulder->RUArm,bone_adjacency_candidate,mapped,True
16962,16962,1,artifact_sigma,velocity_mad,artifact_events.csv,671:RShoulderTop,right_shoulder_arm,J045 Chest->RShoulder; J051 RShoulder->RUArm,bone_adjacency_candidate,mapped,True
