link_id,parent_canonical,child_canonical,feature_scope,requires_manual_review,stage08_policy,n_window_frames,n_rows,n_analysis_eligible_frames,n_analysis_ineligible_frames,n_analysis_nan_frames,n_jump_context_frames,n_stage07_jump_fail_frames,n_stage07_jump_warn_frames,percent_analysis_eligible
J002,671,Ab,review_provisional,True,manual_review_required,1001,1001,0,1001,1001,0,0,0,0.0
J003,Ab,Chest,review_provisional,True,manual_review_required,1001,1001,0,1001,1001,0,0,0,0.0
J004,Neck,Head,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J005,LUArm,LFArm,core_candidate,False,allow_filter_with_warning,1001,1001,940,61,61,61,0,1001,93.9061
J006,LShin,LFoot,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J007,LFArm,LHand,core_candidate,False,block_filter,1001,1001,0,1001,1001,61,1001,0,0.0
J008,LHand,LIndex1,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,1001,0,0.0
J009,LIndex1,LIndex2,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,1001,0,0.0
J010,LIndex2,LIndex3,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,0,1001,0.0
J011,LHand,LMiddle1,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,1001,0,0.0
J012,LMiddle1,LMiddle2,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,1001,0,0.0
J013,LMiddle2,LMiddle3,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,0,1001,0.0
J014,LHand,LPinky1,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,1001,0,0.0
J015,LPinky1,LPinky2,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,1001,0,0.0
J016,LPinky2,LPinky3,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,0,1001,0.0
J017,LHand,LRing1,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,1001,0,0.0
J018,LRing1,LRing2,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,1001,0,0.0
J019,LRing2,LRing3,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,0,1001,0.0
J020,LThigh,LShin,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J021,Chest,LShoulder,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J022,671,LThigh,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J023,LHand,LThumb1,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,0,1001,0.0
J024,LThumb1,LThumb2,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,0,1001,0.0
J025,LThumb2,LThumb3,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,0,1001,0.0
J026,LFoot,LToe,excluded_toe,True,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J027,LShoulder,LUArm,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J028,Chest,Neck,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J029,RUArm,RFArm,core_candidate,False,allow_filter_with_warning,1001,1001,940,61,61,61,0,1001,93.9061
J030,RShin,RFoot,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J031,RFArm,RHand,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J032,RHand,RIndex1,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,61,0,1001,0.0
J033,RIndex1,RIndex2,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J034,RIndex2,RIndex3,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J035,RHand,RMiddle1,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J036,RMiddle1,RMiddle2,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J037,RMiddle2,RMiddle3,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J038,RHand,RPinky1,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J039,RPinky1,RPinky2,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J040,RPinky2,RPinky3,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J041,RHand,RRing1,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J042,RRing1,RRing2,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J043,RRing2,RRing3,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J044,RThigh,RShin,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J045,Chest,RShoulder,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J046,671,RThigh,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
J047,RHand,RThumb1,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J048,RThumb1,RThumb2,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J049,RThumb2,RThumb3,excluded_distal,False,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J050,RFoot,RToe,excluded_toe,True,excluded_from_analysis,1001,1001,0,1001,1001,0,0,0,0.0
J051,RShoulder,RUArm,core_candidate,False,allow_filter,1001,1001,1001,0,0,0,0,0,100.0
