source_layer,qc_type,severity,reason,joint_family,mapping_source,mapping_confidence,template_mapping_status,feature_scope,n_events
layer1,artifact_sigma,caution,ARTIFACT_SIGMA,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,14
layer1,artifact_sigma,caution,GAP_GE_0P2;ARTIFACT_SIGMA;SEGMENT_SWAP,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,1
layer1,artifact_sigma,exclude,GAP_GE_0P5;ARTIFACT_SIGMA,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,3
layer1,artifact_sigma,exclude,GAP_GE_0P5;GAP_GE_0P2;ARTIFACT_SIGMA,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,1
layer1,edge_effect,caution,EDGE_EFFECT,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,33
layer1,frame_status,caution,ARTIFACT_SIGMA,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,7
layer1,frame_status,caution,EDGE_EFFECT,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,29
layer1,frame_status,caution,GAP_GE_0P2,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,118
layer1,frame_status,caution,GAP_GE_0P2;ARTIFACT_SIGMA;SEGMENT_SWAP,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,1
layer1,frame_status,caution,GAP_GE_0P2;SEGMENT_SWAP,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,19
layer1,frame_status,exclude,GAP_GE_0P5,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,122
layer1,frame_status,exclude,GAP_GE_0P5;ARTIFACT_SIGMA,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,3
layer1,frame_status,exclude,GAP_GE_0P5;GAP_GE_0P2,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,82
layer1,frame_status,exclude,GAP_GE_0P5;GAP_GE_0P2;ARTIFACT_SIGMA,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,1
layer1,gaps_over_0p2,caution,GAP_GE_0P2,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,5
layer1,gaps_over_0p5,exclude,GAP_GE_0P5,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,5
layer1,gaps_over_0p5,exclude,GAP_GE_0P5;ARTIFACT_SIGMA,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,3
layer1,gaps_over_0p5,exclude,GAP_GE_0P5;GAP_GE_0P2,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,3
layer1,gaps_over_0p5,exclude,GAP_GE_0P5;GAP_GE_0P2;ARTIFACT_SIGMA,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,1
layer1,marker_gap_0p2,caution,GAP_GE_0P2,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,118
layer1,marker_gap_0p2,caution,GAP_GE_0P2;ARTIFACT_SIGMA;SEGMENT_SWAP,unknown,unmapped,unmapped,missing_datadescriptions_fallback_to_heuristic,,1
