link_id,link_or_joint,parent_canonical,child_canonical,family,feature_scope,view_scope,n_gap_0p5_related_frames,gap_0p5_related_percent,n_gap_0p2_related_frames,gap_0p2_related_percent,gap_0p2_counted_in_burden,artifact_sigma_related_percent,segment_swap_related_percent,layer2_usable_percent,layer2_masked_percent,mapping_version,template_mapping_status,recommendation_placeholder,export_scope,included_by_export_scope,selection_default,user_override,user_note
J002,671->Ab,671,Ab,unknown,review_provisional,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,0.0,100.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,manual_review,core_plus_review,True,True,,
J003,Ab->Chest,Ab,Chest,trunk_chest,review_provisional,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,0.0,100.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,manual_review,core_plus_review,True,True,,
J004,Neck->Head,Neck,Head,head_neck,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J005,LUArm->LFArm,LUArm,LFArm,left_elbow_forearm,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,93.9061,6.0939,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J006,LShin->LFoot,LShin,LFoot,left_shank_ankle,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J007,LFArm->LHand,LFArm,LHand,left_wrist_hand,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,0.0,100.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,blocked_needs_review,core_plus_review,True,True,,
J020,LThigh->LShin,LThigh,LShin,left_thigh_knee,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J021,Chest->LShoulder,Chest,LShoulder,unknown,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J022,671->LThigh,671,LThigh,unknown,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J027,LShoulder->LUArm,LShoulder,LUArm,left_shoulder_arm,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J028,Chest->Neck,Chest,Neck,trunk_chest,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J029,RUArm->RFArm,RUArm,RFArm,right_elbow_forearm,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,93.9061,6.0939,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J030,RShin->RFoot,RShin,RFoot,right_shank_ankle,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J031,RFArm->RHand,RFArm,RHand,right_wrist_hand,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J044,RThigh->RShin,RThigh,RShin,right_thigh_knee,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J045,Chest->RShoulder,Chest,RShoulder,unknown,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J046,671->RThigh,671,RThigh,unknown,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
J051,RShoulder->RUArm,RShoulder,RUArm,right_shoulder_arm,core_candidate,core_plus_review,0,0.0,0,0.0,False,0.0,0.0,100.0,0.0,heuristic_v0,missing_datadescriptions_fallback_to_heuristic,candidate_include,core_plus_review,True,True,,
