parent_bone,child_bone,source_parent_bone,source_child_bone,exclusion_reason,selection_rule,requires_manual_review
LHand,LIndex1,671:LHand,671:LIndex1,distal_keyword:Index,distal_exclusion.keywords,False
LIndex1,LIndex2,671:LIndex1,671:LIndex2,distal_keyword:Index,distal_exclusion.keywords,False
LIndex2,LIndex3,671:LIndex2,671:LIndex3,distal_keyword:Index,distal_exclusion.keywords,False
LHand,LMiddle1,671:LHand,671:LMiddle1,distal_keyword:Middle,distal_exclusion.keywords,False
LMiddle1,LMiddle2,671:LMiddle1,671:LMiddle2,distal_keyword:Middle,distal_exclusion.keywords,False
LMiddle2,LMiddle3,671:LMiddle2,671:LMiddle3,distal_keyword:Middle,distal_exclusion.keywords,False
LHand,LPinky1,671:LHand,671:LPinky1,distal_keyword:Pinky,distal_exclusion.keywords,False
LPinky1,LPinky2,671:LPinky1,671:LPinky2,distal_keyword:Pinky,distal_exclusion.keywords,False
LPinky2,LPinky3,671:LPinky2,671:LPinky3,distal_keyword:Pinky,distal_exclusion.keywords,False
LHand,LRing1,671:LHand,671:LRing1,distal_keyword:Ring,distal_exclusion.keywords,False
LRing1,LRing2,671:LRing1,671:LRing2,distal_keyword:Ring,distal_exclusion.keywords,False
LRing2,LRing3,671:LRing2,671:LRing3,distal_keyword:Ring,distal_exclusion.keywords,False
LHand,LThumb1,671:LHand,671:LThumb1,distal_keyword:Thumb,distal_exclusion.keywords,False
LThumb1,LThumb2,671:LThumb1,671:LThumb2,distal_keyword:Thumb,distal_exclusion.keywords,False
LThumb2,LThumb3,671:LThumb2,671:LThumb3,distal_keyword:Thumb,distal_exclusion.keywords,False
LFoot,LToe,671:LFoot,671:LToe,cautious_keyword:Toe,distal_exclusion.cautious_keywords,True
RHand,RIndex1,671:RHand,671:RIndex1,distal_keyword:Index,distal_exclusion.keywords,False
RIndex1,RIndex2,671:RIndex1,671:RIndex2,distal_keyword:Index,distal_exclusion.keywords,False
RIndex2,RIndex3,671:RIndex2,671:RIndex3,distal_keyword:Index,distal_exclusion.keywords,False
RHand,RMiddle1,671:RHand,671:RMiddle1,distal_keyword:Middle,distal_exclusion.keywords,False
RMiddle1,RMiddle2,671:RMiddle1,671:RMiddle2,distal_keyword:Middle,distal_exclusion.keywords,False
RMiddle2,RMiddle3,671:RMiddle2,671:RMiddle3,distal_keyword:Middle,distal_exclusion.keywords,False
RHand,RPinky1,671:RHand,671:RPinky1,distal_keyword:Pinky,distal_exclusion.keywords,False
RPinky1,RPinky2,671:RPinky1,671:RPinky2,distal_keyword:Pinky,distal_exclusion.keywords,False
RPinky2,RPinky3,671:RPinky2,671:RPinky3,distal_keyword:Pinky,distal_exclusion.keywords,False
RHand,RRing1,671:RHand,671:RRing1,distal_keyword:Ring,distal_exclusion.keywords,False
RRing1,RRing2,671:RRing1,671:RRing2,distal_keyword:Ring,distal_exclusion.keywords,False
RRing2,RRing3,671:RRing2,671:RRing3,distal_keyword:Ring,distal_exclusion.keywords,False
RHand,RThumb1,671:RHand,671:RThumb1,distal_keyword:Thumb,distal_exclusion.keywords,False
RThumb1,RThumb2,671:RThumb1,671:RThumb2,distal_keyword:Thumb,distal_exclusion.keywords,False
RThumb2,RThumb3,671:RThumb2,671:RThumb3,distal_keyword:Thumb,distal_exclusion.keywords,False
RFoot,RToe,671:RFoot,671:RToe,cautious_keyword:Toe,distal_exclusion.cautious_keywords,True
