link_id,parent_canonical,child_canonical,jump_event_frame,context_window_frames,context_start_frame,context_end_frame,stage07_jump_magnitude_rad,stage07_row_qc_status
J005,LUArm,LFArm,16611,30,16581,16641,0.6736240290657813,warning
J007,LFArm,LHand,16334,30,16304,16364,1.4740064916106252,fail
J008,LHand,LIndex1,16334,30,16304,16364,1.7301598078745568,fail
J009,LIndex1,LIndex2,16334,30,16304,16364,2.070339010611674,fail
J010,LIndex2,LIndex3,16334,30,16304,16364,0.8626417922439963,warning
J011,LHand,LMiddle1,16334,30,16304,16364,1.6674424235054623,fail
J012,LMiddle1,LMiddle2,16334,30,16304,16364,1.9783785536729492,fail
J013,LMiddle2,LMiddle3,16334,30,16304,16364,0.8243233586173524,warning
J014,LHand,LPinky1,16334,30,16304,16364,1.6008443401811188,fail
J015,LPinky1,LPinky2,16334,30,16304,16364,1.7950011069111187,fail
J016,LPinky2,LPinky3,16334,30,16304,16364,0.7479168347273094,warning
J017,LHand,LRing1,16334,30,16304,16364,1.6236927179241056,fail
J018,LRing1,LRing2,16334,30,16304,16364,1.886962856870644,fail
J019,LRing2,LRing3,16334,30,16304,16364,0.7862358141120445,warning
J023,LHand,LThumb1,16334,30,16304,16364,0.8230321527416935,warning
J024,LThumb1,LThumb2,16334,30,16304,16364,0.6308737852019497,warning
J025,LThumb2,LThumb3,16334,30,16304,16364,0.6308744138888771,warning
J029,RUArm,RFArm,16611,30,16581,16641,0.5553326509046814,warning
J032,RHand,RIndex1,16611,30,16581,16641,0.5240989030641023,warning
