column_index,flat_name,type,source_name,source_id,source_parent,property,component,layer2_role,layer2_used,notes
0,frame,,,,,,Frame,frame,False,Frame index column
1,time_seconds,Type,Name,ID,Parent,,Time (Seconds),time,False,Time column
6,col0006__Bone__671_671__Position__X,Bone,671:671,FFBF704EB1411F0:90AFB54A3B8C3080,Root,Position,X,bone_position,False,Bone position ignored for Layer 2
7,col0007__Bone__671_671__Position__Y,Bone,671:671,FFBF704EB1411F0:90AFB54A3B8C3080,Root,Position,Y,bone_position,False,Bone position ignored for Layer 2
8,col0008__Bone__671_671__Position__Z,Bone,671:671,FFBF704EB1411F0:90AFB54A3B8C3080,Root,Position,Z,bone_position,False,Bone position ignored for Layer 2
13,col0013__Bone__671_Ab__Position__X,Bone,671:Ab,FFBF709EB1411F0:90AFB54A3B8C3080,671:671,Position,X,bone_position,False,Bone position ignored for Layer 2
14,col0014__Bone__671_Ab__Position__Y,Bone,671:Ab,FFBF709EB1411F0:90AFB54A3B8C3080,671:671,Position,Y,bone_position,False,Bone position ignored for Layer 2
15,col0015__Bone__671_Ab__Position__Z,Bone,671:Ab,FFBF709EB1411F0:90AFB54A3B8C3080,671:671,Position,Z,bone_position,False,Bone position ignored for Layer 2
20,col0020__Bone__671_Chest__Position__X,Bone,671:Chest,FFBF70AEB1411F0:90AFB54A3B8C3080,671:Ab,Position,X,bone_position,False,Bone position ignored for Layer 2
21,col0021__Bone__671_Chest__Position__Y,Bone,671:Chest,FFBF70AEB1411F0:90AFB54A3B8C3080,671:Ab,Position,Y,bone_position,False,Bone position ignored for Layer 2
22,col0022__Bone__671_Chest__Position__Z,Bone,671:Chest,FFBF70AEB1411F0:90AFB54A3B8C3080,671:Ab,Position,Z,bone_position,False,Bone position ignored for Layer 2
27,col0027__Bone__671_Neck__Position__X,Bone,671:Neck,FFBF70BEB1411F0:90AFB54A3B8C3080,671:Chest,Position,X,bone_position,False,Bone position ignored for Layer 2
28,col0028__Bone__671_Neck__Position__Y,Bone,671:Neck,FFBF70BEB1411F0:90AFB54A3B8C3080,671:Chest,Position,Y,bone_position,False,Bone position ignored for Layer 2
29,col0029__Bone__671_Neck__Position__Z,Bone,671:Neck,FFBF70BEB1411F0:90AFB54A3B8C3080,671:Chest,Position,Z,bone_position,False,Bone position ignored for Layer 2
34,col0034__Bone__671_Head__Position__X,Bone,671:Head,FFBF70CEB1411F0:90AFB54A3B8C3080,671:Neck,Position,X,bone_position,False,Bone position ignored for Layer 2
35,col0035__Bone__671_Head__Position__Y,Bone,671:Head,FFBF70CEB1411F0:90AFB54A3B8C3080,671:Neck,Position,Y,bone_position,False,Bone position ignored for Layer 2
36,col0036__Bone__671_Head__Position__Z,Bone,671:Head,FFBF70CEB1411F0:90AFB54A3B8C3080,671:Neck,Position,Z,bone_position,False,Bone position ignored for Layer 2
41,col0041__Bone__671_LShoulder__Position__X,Bone,671:LShoulder,FFBF70DEB1411F0:90AFB54A3B8C3080,671:Chest,Position,X,bone_position,False,Bone position ignored for Layer 2
42,col0042__Bone__671_LShoulder__Position__Y,Bone,671:LShoulder,FFBF70DEB1411F0:90AFB54A3B8C3080,671:Chest,Position,Y,bone_position,False,Bone position ignored for Layer 2
43,col0043__Bone__671_LShoulder__Position__Z,Bone,671:LShoulder,FFBF70DEB1411F0:90AFB54A3B8C3080,671:Chest,Position,Z,bone_position,False,Bone position ignored for Layer 2
48,col0048__Bone__671_LUArm__Position__X,Bone,671:LUArm,FFBF70EEB1411F0:90AFB54A3B8C3080,671:LShoulder,Position,X,bone_position,False,Bone position ignored for Layer 2
49,col0049__Bone__671_LUArm__Position__Y,Bone,671:LUArm,FFBF70EEB1411F0:90AFB54A3B8C3080,671:LShoulder,Position,Y,bone_position,False,Bone position ignored for Layer 2
50,col0050__Bone__671_LUArm__Position__Z,Bone,671:LUArm,FFBF70EEB1411F0:90AFB54A3B8C3080,671:LShoulder,Position,Z,bone_position,False,Bone position ignored for Layer 2
55,col0055__Bone__671_LFArm__Position__X,Bone,671:LFArm,FFBF70FEB1411F0:90AFB54A3B8C3080,671:LUArm,Position,X,bone_position,False,Bone position ignored for Layer 2
56,col0056__Bone__671_LFArm__Position__Y,Bone,671:LFArm,FFBF70FEB1411F0:90AFB54A3B8C3080,671:LUArm,Position,Y,bone_position,False,Bone position ignored for Layer 2
57,col0057__Bone__671_LFArm__Position__Z,Bone,671:LFArm,FFBF70FEB1411F0:90AFB54A3B8C3080,671:LUArm,Position,Z,bone_position,False,Bone position ignored for Layer 2
62,col0062__Bone__671_LHand__Position__X,Bone,671:LHand,FFBF710EB1411F0:90AFB54A3B8C3080,671:LFArm,Position,X,bone_position,False,Bone position ignored for Layer 2
63,col0063__Bone__671_LHand__Position__Y,Bone,671:LHand,FFBF710EB1411F0:90AFB54A3B8C3080,671:LFArm,Position,Y,bone_position,False,Bone position ignored for Layer 2
64,col0064__Bone__671_LHand__Position__Z,Bone,671:LHand,FFBF710EB1411F0:90AFB54A3B8C3080,671:LFArm,Position,Z,bone_position,False,Bone position ignored for Layer 2
69,col0069__Bone__671_LThumb1__Position__X,Bone,671:LThumb1,FFBF71DEB1411F0:90AFB54A3B8C3080,671:LHand,Position,X,bone_position,False,Bone position ignored for Layer 2
70,col0070__Bone__671_LThumb1__Position__Y,Bone,671:LThumb1,FFBF71DEB1411F0:90AFB54A3B8C3080,671:LHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
71,col0071__Bone__671_LThumb1__Position__Z,Bone,671:LThumb1,FFBF71DEB1411F0:90AFB54A3B8C3080,671:LHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
76,col0076__Bone__671_LThumb2__Position__X,Bone,671:LThumb2,FFBF71EEB1411F0:90AFB54A3B8C3080,671:LThumb1,Position,X,bone_position,False,Bone position ignored for Layer 2
77,col0077__Bone__671_LThumb2__Position__Y,Bone,671:LThumb2,FFBF71EEB1411F0:90AFB54A3B8C3080,671:LThumb1,Position,Y,bone_position,False,Bone position ignored for Layer 2
78,col0078__Bone__671_LThumb2__Position__Z,Bone,671:LThumb2,FFBF71EEB1411F0:90AFB54A3B8C3080,671:LThumb1,Position,Z,bone_position,False,Bone position ignored for Layer 2
83,col0083__Bone__671_LThumb3__Position__X,Bone,671:LThumb3,FFBF71FEB1411F0:90AFB54A3B8C3080,671:LThumb2,Position,X,bone_position,False,Bone position ignored for Layer 2
84,col0084__Bone__671_LThumb3__Position__Y,Bone,671:LThumb3,FFBF71FEB1411F0:90AFB54A3B8C3080,671:LThumb2,Position,Y,bone_position,False,Bone position ignored for Layer 2
85,col0085__Bone__671_LThumb3__Position__Z,Bone,671:LThumb3,FFBF71FEB1411F0:90AFB54A3B8C3080,671:LThumb2,Position,Z,bone_position,False,Bone position ignored for Layer 2
90,col0090__Bone__671_LIndex1__Position__X,Bone,671:LIndex1,FFBF721EB1411F0:90AFB54A3B8C3080,671:LHand,Position,X,bone_position,False,Bone position ignored for Layer 2
91,col0091__Bone__671_LIndex1__Position__Y,Bone,671:LIndex1,FFBF721EB1411F0:90AFB54A3B8C3080,671:LHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
92,col0092__Bone__671_LIndex1__Position__Z,Bone,671:LIndex1,FFBF721EB1411F0:90AFB54A3B8C3080,671:LHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
97,col0097__Bone__671_LIndex2__Position__X,Bone,671:LIndex2,FFBF722EB1411F0:90AFB54A3B8C3080,671:LIndex1,Position,X,bone_position,False,Bone position ignored for Layer 2
98,col0098__Bone__671_LIndex2__Position__Y,Bone,671:LIndex2,FFBF722EB1411F0:90AFB54A3B8C3080,671:LIndex1,Position,Y,bone_position,False,Bone position ignored for Layer 2
99,col0099__Bone__671_LIndex2__Position__Z,Bone,671:LIndex2,FFBF722EB1411F0:90AFB54A3B8C3080,671:LIndex1,Position,Z,bone_position,False,Bone position ignored for Layer 2
104,col0104__Bone__671_LIndex3__Position__X,Bone,671:LIndex3,FFBF723EB1411F0:90AFB54A3B8C3080,671:LIndex2,Position,X,bone_position,False,Bone position ignored for Layer 2
105,col0105__Bone__671_LIndex3__Position__Y,Bone,671:LIndex3,FFBF723EB1411F0:90AFB54A3B8C3080,671:LIndex2,Position,Y,bone_position,False,Bone position ignored for Layer 2
106,col0106__Bone__671_LIndex3__Position__Z,Bone,671:LIndex3,FFBF723EB1411F0:90AFB54A3B8C3080,671:LIndex2,Position,Z,bone_position,False,Bone position ignored for Layer 2
111,col0111__Bone__671_LMiddle1__Position__X,Bone,671:LMiddle1,FFBF725EB1411F0:90AFB54A3B8C3080,671:LHand,Position,X,bone_position,False,Bone position ignored for Layer 2
112,col0112__Bone__671_LMiddle1__Position__Y,Bone,671:LMiddle1,FFBF725EB1411F0:90AFB54A3B8C3080,671:LHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
113,col0113__Bone__671_LMiddle1__Position__Z,Bone,671:LMiddle1,FFBF725EB1411F0:90AFB54A3B8C3080,671:LHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
118,col0118__Bone__671_LMiddle2__Position__X,Bone,671:LMiddle2,FFBF726EB1411F0:90AFB54A3B8C3080,671:LMiddle1,Position,X,bone_position,False,Bone position ignored for Layer 2
119,col0119__Bone__671_LMiddle2__Position__Y,Bone,671:LMiddle2,FFBF726EB1411F0:90AFB54A3B8C3080,671:LMiddle1,Position,Y,bone_position,False,Bone position ignored for Layer 2
120,col0120__Bone__671_LMiddle2__Position__Z,Bone,671:LMiddle2,FFBF726EB1411F0:90AFB54A3B8C3080,671:LMiddle1,Position,Z,bone_position,False,Bone position ignored for Layer 2
