source_bone_name,has_complete_xyzw_columns,total_frames,finite_row_count,non_finite_row_count,missing_x_count,missing_y_count,missing_z_count,missing_w_count,complete_xyzw_row_count,complete_xyzw_percent,min_norm,max_norm,mean_norm,median_norm,std_norm,max_abs_norm_error,norm_outside_tolerance_count,norm_outside_tolerance_percent,zero_norm_count,near_zero_norm_count,invalid_row_count,first_invalid_row_index,last_invalid_row_index,first_invalid_frame,last_invalid_frame,invalid_gap_count,longest_invalid_gap_length,qc_status,qc_fail_reasons,qc_warning_reasons,stage05_may_proceed
671:671,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992958542521,1.0000007313122325,1.0000000380466068,1.0000000370039992,2.9051084054562157e-07,7.313122325491861e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:Ab,True,30235,30235,0,0,0,0,0,30235,100.0,0.999999281843242,1.0000007645667077,1.000000036189003,1.0000000332334995,2.925487210093157e-07,7.645667077227358e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:Chest,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992875612462,1.0000007751806994,1.0000000426540585,1.000000044973499,2.911561964749214e-07,7.751806994082955e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:Head,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992186701948,1.0000008488311398,1.0000000354466232,1.0000000320749995,2.9005558435760467e-07,8.48831139821371e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LFArm,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991794206633,1.000000919787577,1.0000000298088088,1.0000000283629995,2.9094890849808433e-07,9.197875769917374e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LFoot,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992110551889,1.0000007244347375,1.0000000390131774,1.0000000385579992,2.896561327183724e-07,7.889448111475517e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LHand,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991367686274,1.0000009136695827,1.0000000305769066,1.0000000297494995,2.912179572767545e-07,9.136695826583718e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LIndex1,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991337401248,1.000000914427082,1.0000000306302874,1.0000000286584996,2.920141249939833e-07,9.144270820549139e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LIndex2,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999990908535867,1.0000009315125662,1.0000000343320796,1.0000000343709994,2.902000937042425e-07,9.315125661935042e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LIndex3,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991485281374,1.0000009207545761,1.0000000312072919,1.0000000348714992,2.9245214548644975e-07,9.2075457613916e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LMiddle1,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999990775700746,1.0000009658320337,1.0000000332176882,1.0000000346769993,2.9127294682173316e-07,9.658320336836113e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LMiddle2,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991496361383,1.0000009116390844,1.00000003107351,1.0000000318549995,2.910713977414994e-07,9.1163908444436e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LMiddle3,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991397446301,1.0000009621745372,1.0000000321831546,1.0000000309339996,2.902149661305986e-07,9.621745371557466e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LPinky1,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991873666698,1.0000009385940594,1.000000031810921,1.0000000311434996,2.9033358765276543e-07,9.385940593631403e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LPinky2,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991476736367,1.0000009073430884,1.0000000311349084,1.0000000294169995,2.920537443776379e-07,9.073430884409817e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LPinky3,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991710221564,1.0000010050634949,1.000000031776108,1.0000000314859996,2.9037761180771437e-07,1.005063494874392e-06,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LRing1,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991795366634,1.0000009503670484,1.0000000319581264,1.0000000330989995,2.908574709860006e-07,9.50367048391243e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LRing2,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991674426534,1.0000008946180998,1.0000000324059881,1.0000000329409995,2.904746788383395e-07,8.946180998226083e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LRing3,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992022001818,1.0000009284230689,1.0000000303762229,1.0000000306354995,2.9072379429514905e-07,9.284230688688666e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LShin,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992849097443,1.0000007851261918,1.0000000411492498,1.0000000412519991,2.9017396369697586e-07,7.851261918379038e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LShoulder,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992628107283,1.0000008258271589,1.0000000394821014,1.0000000400384992,2.905530228084829e-07,8.258271588790222e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
