joint_id,source_parent_bone,source_child_bone,parent_bone,child_bone,total_frames,raw_sign_flip_count,corrected_sign_flip_count,min_raw_consecutive_dot,min_corrected_consecutive_dot,post_correction_valid,correction_applied
J002,671:671,671:Ab,671,Ab,30235,0,0,0.9998539482482233,0.9998539482482233,True,False
J003,671:Ab,671:Chest,Ab,Chest,30235,0,0,0.9998519544554203,0.9998519544554203,True,False
J004,671:Neck,671:Head,Neck,Head,30235,0,0,0.9997246952873815,0.9997246952873815,True,False
J005,671:LUArm,671:LFArm,LUArm,LFArm,30235,0,0,0.9942241710768105,0.9942241710768105,True,False
J006,671:LShin,671:LFoot,LShin,LFoot,30235,0,0,0.9966571776140081,0.9966571776140081,True,False
J007,671:LFArm,671:LHand,LFArm,LHand,30235,0,0,0.9841090852932401,0.9841090852932401,True,False
J008,671:LHand,671:LIndex1,LHand,LIndex1,30235,0,0,0.9993247921015349,0.9993247921015349,True,False
J009,671:LIndex1,671:LIndex2,LIndex1,LIndex2,30235,0,0,0.9993922652809981,0.9993922652809981,True,False
J010,671:LIndex2,671:LIndex3,LIndex2,LIndex3,30235,0,0,0.9998944663783741,0.9998944663783741,True,False
J011,671:LHand,671:LMiddle1,LHand,LMiddle1,30235,0,0,0.9996401789288543,0.9996401789288543,True,False
J012,671:LMiddle1,671:LMiddle2,LMiddle1,LMiddle2,30235,0,0,0.9994862240452566,0.9994862240452566,True,False
J013,671:LMiddle2,671:LMiddle3,LMiddle2,LMiddle3,30235,0,0,0.9999107962962747,0.9999107962962747,True,False
J014,671:LHand,671:LPinky1,LHand,LPinky1,30235,0,0,0.998443498606495,0.998443498606495,True,False
J015,671:LPinky1,671:LPinky2,LPinky1,LPinky2,30235,0,0,0.9978798895196594,0.9978798895196594,True,False
J016,671:LPinky2,671:LPinky3,LPinky2,LPinky3,30235,0,0,0.9996318427419226,0.9996318427419226,True,False
J017,671:LHand,671:LRing1,LHand,LRing1,30235,0,0,0.9992543097861615,0.9992543097861615,True,False
J018,671:LRing1,671:LRing2,LRing1,LRing2,30235,0,0,0.998935841561261,0.998935841561261,True,False
J019,671:LRing2,671:LRing3,LRing2,LRing3,30235,0,0,0.9998152298061321,0.9998152298061321,True,False
J020,671:LThigh,671:LShin,LThigh,LShin,30235,0,0,0.9968105456632492,0.9968105456632492,True,False
J021,671:Chest,671:LShoulder,Chest,LShoulder,30235,0,0,0.9993697083968851,0.9993697083968851,True,False
J022,671:671,671:LThigh,671,LThigh,30235,0,0,0.9992584983037303,0.9992584983037303,True,False
J023,671:LHand,671:LThumb1,LHand,LThumb1,30235,0,0,0.995994651267488,0.995994651267488,True,False
J024,671:LThumb1,671:LThumb2,LThumb1,LThumb2,30235,0,0,0.998369300424723,0.998369300424723,True,False
J025,671:LThumb2,671:LThumb3,LThumb2,LThumb3,30235,0,0,0.9983692694183085,0.9983692694183085,True,False
J026,671:LFoot,671:LToe,LFoot,LToe,30235,0,0,0.9998578292437417,0.9998578292437417,True,False
J027,671:LShoulder,671:LUArm,LShoulder,LUArm,30235,0,0,0.9970921645651838,0.9970921645651838,True,False
J028,671:Chest,671:Neck,Chest,Neck,30235,0,0,0.9997246859705655,0.9997246859705655,True,False
J029,671:RUArm,671:RFArm,RUArm,RFArm,30235,0,0,0.9936701550588435,0.9936701550588435,True,False
J030,671:RShin,671:RFoot,RShin,RFoot,30235,0,0,0.9974693635615881,0.9974693635615881,True,False
J031,671:RFArm,671:RHand,RFArm,RHand,30235,0,0,0.9887773122258563,0.9887773122258563,True,False
J032,671:RHand,671:RIndex1,RHand,RIndex1,30235,0,0,0.9986019200520182,0.9986019200520182,True,False
J033,671:RIndex1,671:RIndex2,RIndex1,RIndex2,30235,0,0,0.999226087007197,0.999226087007197,True,False
