joint_id,parent_bone,child_bone,link_group,core_candidate,excluded_candidate,total_frames,non_finite_rotvec_rows,max_rotvec_norm,p95_rotvec_norm,p99_rotvec_norm,near_pi_count,near_pi_percent,branch_cut_status,stage08_may_proceed_for_link
J002,671,Ab,review_provisional,False,False,30356,0,0.39042102811650276,0.2744168813682165,0.38046097772827625,0,0.0,pass,True
J003,Ab,Chest,review_provisional,False,False,30356,0,0.39987941427303675,0.2772686187736164,0.3816106149154856,0,0.0,pass,True
J004,Neck,Head,core_candidate,True,False,30356,0,0.6902320453281156,0.5457521418178656,0.5888800673399374,0,0.0,pass,True
J005,LUArm,LFArm,core_candidate,True,False,30356,0,2.2792073533703303,1.970682149242966,2.101575736863708,0,0.0,pass,True
J006,LShin,LFoot,core_candidate,True,False,30356,0,1.0926130963295946,0.7690436255912073,1.0051713914663858,0,0.0,pass,True
J007,LFArm,LHand,core_candidate,True,False,30356,0,1.7951498288388306,1.3406938525640997,1.4050423800902734,0,0.0,pass,True
J008,LHand,LIndex1,excluded,False,True,30356,0,0.4711012192027449,0.22058615096318354,0.28958140820242423,0,0.0,pass,True
J009,LIndex1,LIndex2,excluded,False,True,30356,0,0.5257354439561627,0.1200019564718682,0.25191446008657986,0,0.0,pass,True
J010,LIndex2,LIndex3,excluded,False,True,30356,0,0.21905882014011172,0.050001958374791745,0.10496400041719675,0,0.0,pass,True
J011,LHand,LMiddle1,excluded,False,True,30356,0,0.7322651636601412,0.31342518046623213,0.4518961575637711,0,0.0,pass,True
J012,LMiddle1,LMiddle2,excluded,False,True,30356,0,0.8717848264361868,0.3376450159165253,0.5164381198126372,0,0.0,pass,True
J013,LMiddle2,LMiddle3,excluded,False,True,30356,0,0.36324463643447297,0.14068637437136983,0.21518123212535592,0,0.0,pass,True
J014,LHand,LPinky1,excluded,False,True,30356,0,1.405283539920355,0.7344231682733364,0.9641810464726223,0,0.0,pass,True
J015,LPinky1,LPinky2,excluded,False,True,30356,0,1.6582283606469324,0.8556967944661287,1.137795357889936,0,0.0,pass,True
J016,LPinky2,LPinky3,excluded,False,True,30356,0,0.6909289971086867,0.35653948138731706,0.47408162323653114,0,0.0,pass,True
J017,LHand,LRing1,excluded,False,True,30356,0,1.0513030387668447,0.5086035186048379,0.6925276871046088,0,0.0,pass,True
J018,LRing1,LRing2,excluded,False,True,30356,0,1.2542001053936684,0.5940586825355404,0.8206119419394503,0,0.0,pass,True
J019,LRing2,LRing3,excluded,False,True,30356,0,0.5225843181299843,0.24752416516191902,0.3419209497752541,0,0.0,pass,True
J020,LThigh,LShin,core_candidate,True,False,30356,0,2.331875509533233,1.2417483852664906,1.7997373440122313,0,0.0,pass,True
J021,Chest,LShoulder,core_candidate,True,False,30356,0,0.618048488606199,0.46435849004034496,0.5688505689180647,0,0.0,pass,True
J022,671,LThigh,core_candidate,True,False,30356,0,1.6700651593967923,0.8946112066679384,1.402066882556349,0,0.0,pass,True
J023,LHand,LThumb1,excluded,False,True,30356,0,1.6877595771581737,1.1453936502818296,1.4101188964504017,0,0.0,pass,True
J024,LThumb1,LThumb2,excluded,False,True,30356,0,0.9794717495350429,0.6086752708870895,0.6439702216830517,0,0.0,pass,True
J025,LThumb2,LThumb3,excluded,False,True,30356,0,0.500001755568619,0.17707924222984117,0.3030188036719211,0,0.0,pass,True
J026,LFoot,LToe,excluded,False,True,30356,0,0.3907521733412318,0.09931198039413476,0.19352435528420345,0,0.0,pass,True
J027,LShoulder,LUArm,core_candidate,True,False,30356,0,1.5378721093675822,1.2917000547569732,1.3139142933574928,0,0.0,pass,True
J028,Chest,Neck,core_candidate,True,False,30356,0,0.6902318444484034,0.5457511877117744,0.5888808730635261,0,0.0,pass,True
J029,RUArm,RFArm,core_candidate,True,False,30356,0,2.4743873928737568,2.1321635630441587,2.295208221402698,0,0.0,pass,True
J030,RShin,RFoot,core_candidate,True,False,30356,0,1.2159385275307917,0.8656005122065701,1.1399943515808317,0,0.0,pass,True
J031,RFArm,RHand,core_candidate,True,False,30356,0,1.8801974776333108,1.5157651108759669,1.7500726434458949,0,0.0,pass,True
J032,RHand,RIndex1,excluded,False,True,30356,0,1.752432479570663,1.7160780728486698,1.726081777654912,0,0.0,pass,True
J033,RIndex1,RIndex2,excluded,False,True,30356,0,2.040002859469404,2.0400015310020976,2.040001996583437,0,0.0,pass,True
J034,RIndex2,RIndex3,excluded,False,True,30356,0,0.8500027886870376,0.8500013405099688,0.8500018126509296,0,0.0,pass,True
