session_id,run_label,template_name,link_id,parent_canonical,child_canonical,feature_scope,stage04_parent_qc_status,stage04_child_qc_status,stage05_parent_sign_status,stage05_child_sign_status,stage06_reconstruction_status,stage06_max_reconstruction_error_deg,stage06_relative_sign_status,stage07_branch_cut_status,stage07_max_rotvec_norm,stage07_jump_status,stage07_max_jump_rad,stage08_policy,notes
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J002,671,Ab,review_provisional,pass,pass,pass,pass,pass,2.3352222832902647e-14,pass,pass,0.39042102811650276,pass,0.04124272944272075,manual_review_required,trunk/spine link provisional; Core + Passive Fingers (54) vs Biomech (57) topology differs — not a final analysis feature
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J003,Ab,Chest,review_provisional,pass,pass,pass,pass,pass,2.8236218983026043e-14,pass,pass,0.39987941427303675,pass,0.04120896159748339,manual_review_required,trunk/spine link provisional; Core + Passive Fingers (54) vs Biomech (57) topology differs — not a final analysis feature
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J004,Neck,Head,core_candidate,pass,pass,pass,pass,pass,2.4642968125240244e-14,pass,pass,0.6902320453281156,pass,0.050809752713694575,allow_filter,head/neck core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J005,LUArm,LFArm,core_candidate,pass,pass,pass,pass,pass,3.3818729869224295e-14,pass,pass,2.2792073533703303,pass,0.3555506112889059,allow_filter,forearm core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J006,LShin,LFoot,core_candidate,pass,pass,pass,pass,pass,2.6017496721509654e-14,pass,pass,1.0926130963295946,pass,0.13807299553349708,allow_filter,foot core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J007,LFArm,LHand,core_candidate,pass,pass,pass,pass,pass,3.0652707679343667e-14,pass,pass,1.7951498288388306,pass,0.31589541879822514,allow_filter,hand core candidate (provisional V0)
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J008,LHand,LIndex1,excluded_distal,pass,pass,pass,pass,pass,2.6653346412560296e-14,pass,pass,0.4711012192027449,pass,0.08382930978401147,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J009,LIndex1,LIndex2,excluded_distal,pass,pass,pass,pass,pass,3.072599480440086e-14,pass,pass,0.5257354439561627,pass,0.09925062127521486,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J010,LIndex2,LIndex3,excluded_distal,pass,pass,pass,pass,pass,3.1118967458051574e-14,pass,pass,0.21905882014011172,pass,0.04135506998916974,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J011,LHand,LMiddle1,excluded_distal,pass,pass,pass,pass,pass,2.8205404403648275e-14,pass,pass,0.7322651636601412,pass,0.07728107595410666,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J012,LMiddle1,LMiddle2,excluded_distal,pass,pass,pass,pass,pass,2.6472893238700995e-14,pass,pass,0.8717848264361868,pass,0.09184631398635053,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J013,LMiddle2,LMiddle3,excluded_distal,pass,pass,pass,pass,pass,2.844334207344037e-14,pass,pass,0.36324463643447297,pass,0.03826798406379045,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J014,LHand,LPinky1,excluded_distal,pass,pass,pass,pass,pass,2.9849243628978267e-14,pass,pass,1.405283539920355,pass,0.19440100287371767,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J015,LPinky1,LPinky2,excluded_distal,pass,pass,pass,pass,pass,3.0080255610251596e-14,pass,pass,1.6582283606469324,pass,0.22818584757264465,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
