column_index,flat_name,type,source_name,source_id,source_parent,property,component,layer2_role,layer2_used,notes
0,frame,,,,,,Frame,frame,False,Frame index column
1,time_seconds,Type,Name,ID,Parent,,Time (Seconds),time,False,Time column
2,col0002__Bone__671_671__Rotation__X,Bone,671:671,FA716B48F22E11F0:90AFB54A3B8C3080,Root,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
3,col0003__Bone__671_671__Rotation__Y,Bone,671:671,FA716B48F22E11F0:90AFB54A3B8C3080,Root,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
4,col0004__Bone__671_671__Rotation__Z,Bone,671:671,FA716B48F22E11F0:90AFB54A3B8C3080,Root,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
5,col0005__Bone__671_671__Rotation__W,Bone,671:671,FA716B48F22E11F0:90AFB54A3B8C3080,Root,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
6,col0006__Bone__671_671__Position__X,Bone,671:671,FA716B48F22E11F0:90AFB54A3B8C3080,Root,Position,X,bone_position,False,Bone position ignored for Layer 2
7,col0007__Bone__671_671__Position__Y,Bone,671:671,FA716B48F22E11F0:90AFB54A3B8C3080,Root,Position,Y,bone_position,False,Bone position ignored for Layer 2
8,col0008__Bone__671_671__Position__Z,Bone,671:671,FA716B48F22E11F0:90AFB54A3B8C3080,Root,Position,Z,bone_position,False,Bone position ignored for Layer 2
9,col0009__Bone__671_Ab__Rotation__X,Bone,671:Ab,FA716B4AF22E11F0:90AFB54A3B8C3080,671:671,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
10,col0010__Bone__671_Ab__Rotation__Y,Bone,671:Ab,FA716B4AF22E11F0:90AFB54A3B8C3080,671:671,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
11,col0011__Bone__671_Ab__Rotation__Z,Bone,671:Ab,FA716B4AF22E11F0:90AFB54A3B8C3080,671:671,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
12,col0012__Bone__671_Ab__Rotation__W,Bone,671:Ab,FA716B4AF22E11F0:90AFB54A3B8C3080,671:671,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
13,col0013__Bone__671_Ab__Position__X,Bone,671:Ab,FA716B4AF22E11F0:90AFB54A3B8C3080,671:671,Position,X,bone_position,False,Bone position ignored for Layer 2
14,col0014__Bone__671_Ab__Position__Y,Bone,671:Ab,FA716B4AF22E11F0:90AFB54A3B8C3080,671:671,Position,Y,bone_position,False,Bone position ignored for Layer 2
15,col0015__Bone__671_Ab__Position__Z,Bone,671:Ab,FA716B4AF22E11F0:90AFB54A3B8C3080,671:671,Position,Z,bone_position,False,Bone position ignored for Layer 2
16,col0016__Bone__671_Chest__Rotation__X,Bone,671:Chest,FA716B4BF22E11F0:90AFB54A3B8C3080,671:Ab,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
17,col0017__Bone__671_Chest__Rotation__Y,Bone,671:Chest,FA716B4BF22E11F0:90AFB54A3B8C3080,671:Ab,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
18,col0018__Bone__671_Chest__Rotation__Z,Bone,671:Chest,FA716B4BF22E11F0:90AFB54A3B8C3080,671:Ab,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
19,col0019__Bone__671_Chest__Rotation__W,Bone,671:Chest,FA716B4BF22E11F0:90AFB54A3B8C3080,671:Ab,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
20,col0020__Bone__671_Chest__Position__X,Bone,671:Chest,FA716B4BF22E11F0:90AFB54A3B8C3080,671:Ab,Position,X,bone_position,False,Bone position ignored for Layer 2
21,col0021__Bone__671_Chest__Position__Y,Bone,671:Chest,FA716B4BF22E11F0:90AFB54A3B8C3080,671:Ab,Position,Y,bone_position,False,Bone position ignored for Layer 2
22,col0022__Bone__671_Chest__Position__Z,Bone,671:Chest,FA716B4BF22E11F0:90AFB54A3B8C3080,671:Ab,Position,Z,bone_position,False,Bone position ignored for Layer 2
23,col0023__Bone__671_Neck__Rotation__X,Bone,671:Neck,FA716B4CF22E11F0:90AFB54A3B8C3080,671:Chest,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
24,col0024__Bone__671_Neck__Rotation__Y,Bone,671:Neck,FA716B4CF22E11F0:90AFB54A3B8C3080,671:Chest,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
25,col0025__Bone__671_Neck__Rotation__Z,Bone,671:Neck,FA716B4CF22E11F0:90AFB54A3B8C3080,671:Chest,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
26,col0026__Bone__671_Neck__Rotation__W,Bone,671:Neck,FA716B4CF22E11F0:90AFB54A3B8C3080,671:Chest,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
27,col0027__Bone__671_Neck__Position__X,Bone,671:Neck,FA716B4CF22E11F0:90AFB54A3B8C3080,671:Chest,Position,X,bone_position,False,Bone position ignored for Layer 2
28,col0028__Bone__671_Neck__Position__Y,Bone,671:Neck,FA716B4CF22E11F0:90AFB54A3B8C3080,671:Chest,Position,Y,bone_position,False,Bone position ignored for Layer 2
29,col0029__Bone__671_Neck__Position__Z,Bone,671:Neck,FA716B4CF22E11F0:90AFB54A3B8C3080,671:Chest,Position,Z,bone_position,False,Bone position ignored for Layer 2
30,col0030__Bone__671_Head__Rotation__X,Bone,671:Head,FA716B4DF22E11F0:90AFB54A3B8C3080,671:Neck,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
31,col0031__Bone__671_Head__Rotation__Y,Bone,671:Head,FA716B4DF22E11F0:90AFB54A3B8C3080,671:Neck,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
32,col0032__Bone__671_Head__Rotation__Z,Bone,671:Head,FA716B4DF22E11F0:90AFB54A3B8C3080,671:Neck,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
33,col0033__Bone__671_Head__Rotation__W,Bone,671:Head,FA716B4DF22E11F0:90AFB54A3B8C3080,671:Neck,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
34,col0034__Bone__671_Head__Position__X,Bone,671:Head,FA716B4DF22E11F0:90AFB54A3B8C3080,671:Neck,Position,X,bone_position,False,Bone position ignored for Layer 2
35,col0035__Bone__671_Head__Position__Y,Bone,671:Head,FA716B4DF22E11F0:90AFB54A3B8C3080,671:Neck,Position,Y,bone_position,False,Bone position ignored for Layer 2
36,col0036__Bone__671_Head__Position__Z,Bone,671:Head,FA716B4DF22E11F0:90AFB54A3B8C3080,671:Neck,Position,Z,bone_position,False,Bone position ignored for Layer 2
37,col0037__Bone__671_LShoulder__Rotation__X,Bone,671:LShoulder,FA716B4EF22E11F0:90AFB54A3B8C3080,671:Chest,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
38,col0038__Bone__671_LShoulder__Rotation__Y,Bone,671:LShoulder,FA716B4EF22E11F0:90AFB54A3B8C3080,671:Chest,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
39,col0039__Bone__671_LShoulder__Rotation__Z,Bone,671:LShoulder,FA716B4EF22E11F0:90AFB54A3B8C3080,671:Chest,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
40,col0040__Bone__671_LShoulder__Rotation__W,Bone,671:LShoulder,FA716B4EF22E11F0:90AFB54A3B8C3080,671:Chest,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
41,col0041__Bone__671_LShoulder__Position__X,Bone,671:LShoulder,FA716B4EF22E11F0:90AFB54A3B8C3080,671:Chest,Position,X,bone_position,False,Bone position ignored for Layer 2
42,col0042__Bone__671_LShoulder__Position__Y,Bone,671:LShoulder,FA716B4EF22E11F0:90AFB54A3B8C3080,671:Chest,Position,Y,bone_position,False,Bone position ignored for Layer 2
43,col0043__Bone__671_LShoulder__Position__Z,Bone,671:LShoulder,FA716B4EF22E11F0:90AFB54A3B8C3080,671:Chest,Position,Z,bone_position,False,Bone position ignored for Layer 2
44,col0044__Bone__671_LUArm__Rotation__X,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
45,col0045__Bone__671_LUArm__Rotation__Y,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
46,col0046__Bone__671_LUArm__Rotation__Z,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
47,col0047__Bone__671_LUArm__Rotation__W,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
48,col0048__Bone__671_LUArm__Position__X,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Position,X,bone_position,False,Bone position ignored for Layer 2
49,col0049__Bone__671_LUArm__Position__Y,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Position,Y,bone_position,False,Bone position ignored for Layer 2
50,col0050__Bone__671_LUArm__Position__Z,Bone,671:LUArm,FA716B4FF22E11F0:90AFB54A3B8C3080,671:LShoulder,Position,Z,bone_position,False,Bone position ignored for Layer 2
