source_bone_name,canonical_bone_name,source_parent_name,canonical_parent_name,subject_prefix,prefix_rule,rotation_components_present,rotation_complete,is_root_bone,parent_is_root
671:671,671,Root,Root,671,colon_suffix,"W,X,Y,Z",True,True,True
671:Ab,Ab,671:671,671,671,colon_suffix,"W,X,Y,Z",True,False,False
671:Chest,Chest,671:Ab,Ab,671,colon_suffix,"W,X,Y,Z",True,False,False
671:Head,Head,671:Neck,Neck,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LFArm,LFArm,671:LUArm,LUArm,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LFoot,LFoot,671:LShin,LShin,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LHand,LHand,671:LFArm,LFArm,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LIndex1,LIndex1,671:LHand,LHand,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LIndex2,LIndex2,671:LIndex1,LIndex1,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LIndex3,LIndex3,671:LIndex2,LIndex2,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LMiddle1,LMiddle1,671:LHand,LHand,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LMiddle2,LMiddle2,671:LMiddle1,LMiddle1,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LMiddle3,LMiddle3,671:LMiddle2,LMiddle2,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LPinky1,LPinky1,671:LHand,LHand,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LPinky2,LPinky2,671:LPinky1,LPinky1,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LPinky3,LPinky3,671:LPinky2,LPinky2,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LRing1,LRing1,671:LHand,LHand,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LRing2,LRing2,671:LRing1,LRing1,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LRing3,LRing3,671:LRing2,LRing2,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LShin,LShin,671:LThigh,LThigh,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LShoulder,LShoulder,671:Chest,Chest,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LThigh,LThigh,671:671,671,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LThumb1,LThumb1,671:LHand,LHand,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LThumb2,LThumb2,671:LThumb1,LThumb1,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LThumb3,LThumb3,671:LThumb2,LThumb2,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LToe,LToe,671:LFoot,LFoot,671,colon_suffix,"W,X,Y,Z",True,False,False
671:LUArm,LUArm,671:LShoulder,LShoulder,671,colon_suffix,"W,X,Y,Z",True,False,False
671:Neck,Neck,671:Chest,Chest,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RFArm,RFArm,671:RUArm,RUArm,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RFoot,RFoot,671:RShin,RShin,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RHand,RHand,671:RFArm,RFArm,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RIndex1,RIndex1,671:RHand,RHand,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RIndex2,RIndex2,671:RIndex1,RIndex1,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RIndex3,RIndex3,671:RIndex2,RIndex2,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RMiddle1,RMiddle1,671:RHand,RHand,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RMiddle2,RMiddle2,671:RMiddle1,RMiddle1,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RMiddle3,RMiddle3,671:RMiddle2,RMiddle2,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RPinky1,RPinky1,671:RHand,RHand,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RPinky2,RPinky2,671:RPinky1,RPinky1,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RPinky3,RPinky3,671:RPinky2,RPinky2,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RRing1,RRing1,671:RHand,RHand,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RRing2,RRing2,671:RRing1,RRing1,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RRing3,RRing3,671:RRing2,RRing2,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RShin,RShin,671:RThigh,RThigh,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RShoulder,RShoulder,671:Chest,Chest,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RThigh,RThigh,671:671,671,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RThumb1,RThumb1,671:RHand,RHand,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RThumb2,RThumb2,671:RThumb1,RThumb1,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RThumb3,RThumb3,671:RThumb2,RThumb2,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RToe,RToe,671:RFoot,RFoot,671,colon_suffix,"W,X,Y,Z",True,False,False
671:RUArm,RUArm,671:RShoulder,RShoulder,671,colon_suffix,"W,X,Y,Z",True,False,False
