link_id,finite_raw_frames,filter_applied_frames,native_finite_filtered_frames,analysis_finite_filtered_frames,jump_context_frames,branch_cut_context_frames,analysis_eligible_frames,stage08_filter_status
J002,30479,30479,30479,30479,0,0,0,provisional_manual_review
J003,30479,30479,30479,30479,0,0,0,provisional_manual_review
J004,30479,30479,30479,30479,0,0,30479,pass
J005,30479,30479,30479,30479,0,0,30479,pass
J006,30479,30479,30479,30479,0,0,30479,pass
J007,30479,30479,30479,30479,0,0,30479,pass
J008,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J009,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J010,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J011,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J012,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J013,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J014,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J015,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J016,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J017,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J018,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J019,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J020,30479,30479,30479,30479,0,0,30479,pass
J021,30479,30479,30479,30479,0,0,30479,pass
J022,30479,30479,30479,30479,0,0,30479,pass
J023,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J024,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J025,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J026,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J027,30479,30479,30479,30479,0,0,30479,pass
J028,30479,30479,30479,30479,0,0,30479,pass
J029,30479,30479,30479,30479,0,0,30479,pass
J030,30479,30479,30479,30479,0,0,30479,pass
J031,30479,30479,30479,30479,0,0,30479,pass
J032,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J033,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J034,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J035,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J036,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J037,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J038,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J039,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J040,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J041,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J042,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J043,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J044,30479,30479,30479,30479,0,0,30479,pass
J045,30479,30479,30479,30479,0,0,30479,pass
J046,30479,30479,30479,30479,0,0,30479,pass
J047,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J048,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J049,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J050,30479,30479,30479,30479,0,0,0,excluded_from_analysis
J051,30479,30479,30479,30479,0,0,30479,pass
