link_id,parent_canonical,child_canonical,jump_event_frame,context_window_frames,context_start_frame,context_end_frame,stage07_jump_magnitude_rad,stage07_row_qc_status,session_id,run_label,stage08_analysis_eligible,stage08_filter_status,stage08_mask_reason,reason
J004,LUArm,LFArm,18914,30,18884,18944,1.3331956407914098,fail,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,True,filtered_but_jump_context_flagged,,value_kept_numeric_row_flagged_for_downstream_review
J006,LFArm,LHand,18914,30,18884,18944,1.4497434147009356,fail,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,True,filtered_but_jump_context_flagged,,value_kept_numeric_row_flagged_for_downstream_review
J007,LHand,LIndex1,18914,30,18884,18944,0.6607018149989047,warning,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J007,LHand,LIndex1,26397,30,26367,26427,1.6819577328661888,fail,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J008,LIndex1,LIndex2,18914,30,18884,18944,0.7912432388628144,warning,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J008,LIndex1,LIndex2,26397,30,26367,26427,2.0068197335255222,fail,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J009,LIndex2,LIndex3,26397,30,26367,26427,0.8361732123135457,warning,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J010,LHand,LMiddle1,26397,30,26367,26427,1.081783432611202,fail,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J011,LMiddle1,LMiddle2,18914,30,18884,18944,0.5587875019304653,warning,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J011,LMiddle1,LMiddle2,26397,30,26367,26427,1.2857605329342323,fail,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J012,LMiddle2,LMiddle3,26397,30,26367,26427,0.5357332993038284,warning,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J017,LRing1,LRing2,26397,30,26367,26427,0.5690148514236942,warning,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J022,LHand,LThumb1,26397,30,26367,26427,0.9729141046152449,warning,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J031,RFArm,RHand,18914,30,18884,18944,0.9056860852059384,warning,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,True,filtered_but_jump_context_flagged,,value_kept_numeric_row_flagged_for_downstream_review
J031,RFArm,RHand,26397,30,26367,26427,1.7399371866532016,fail,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,True,filtered_but_jump_context_flagged,,value_kept_numeric_row_flagged_for_downstream_review
J036,RMiddle1,RMiddle2,18914,30,18884,18944,0.5367883549967615,warning,671_T3_P1_R1,671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
