column_index,flat_name,type,source_name,source_id,source_parent,property,component,layer2_role,layer2_used,notes
2,col0002__Bone__T3_671_T3_671__Rotation__X,Bone,T3_671:T3_671,47C68B89012911F1:90AFB54A3B8C3180,Root,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
3,col0003__Bone__T3_671_T3_671__Rotation__Y,Bone,T3_671:T3_671,47C68B89012911F1:90AFB54A3B8C3180,Root,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
4,col0004__Bone__T3_671_T3_671__Rotation__Z,Bone,T3_671:T3_671,47C68B89012911F1:90AFB54A3B8C3180,Root,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
5,col0005__Bone__T3_671_T3_671__Rotation__W,Bone,T3_671:T3_671,47C68B89012911F1:90AFB54A3B8C3180,Root,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
9,col0009__Bone__T3_671_Ab__Rotation__X,Bone,T3_671:Ab,47C68B8B012911F1:90AFB54A3B8C3180,T3_671:T3_671,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
10,col0010__Bone__T3_671_Ab__Rotation__Y,Bone,T3_671:Ab,47C68B8B012911F1:90AFB54A3B8C3180,T3_671:T3_671,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
11,col0011__Bone__T3_671_Ab__Rotation__Z,Bone,T3_671:Ab,47C68B8B012911F1:90AFB54A3B8C3180,T3_671:T3_671,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
12,col0012__Bone__T3_671_Ab__Rotation__W,Bone,T3_671:Ab,47C68B8B012911F1:90AFB54A3B8C3180,T3_671:T3_671,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
16,col0016__Bone__T3_671_Spine2__Rotation__X,Bone,T3_671:Spine2,47C68C35012911F1:90AFB54A3B8C3180,T3_671:Ab,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
17,col0017__Bone__T3_671_Spine2__Rotation__Y,Bone,T3_671:Spine2,47C68C35012911F1:90AFB54A3B8C3180,T3_671:Ab,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
18,col0018__Bone__T3_671_Spine2__Rotation__Z,Bone,T3_671:Spine2,47C68C35012911F1:90AFB54A3B8C3180,T3_671:Ab,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
19,col0019__Bone__T3_671_Spine2__Rotation__W,Bone,T3_671:Spine2,47C68C35012911F1:90AFB54A3B8C3180,T3_671:Ab,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
23,col0023__Bone__T3_671_Spine3__Rotation__X,Bone,T3_671:Spine3,47C68C36012911F1:90AFB54A3B8C3180,T3_671:Spine2,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
24,col0024__Bone__T3_671_Spine3__Rotation__Y,Bone,T3_671:Spine3,47C68C36012911F1:90AFB54A3B8C3180,T3_671:Spine2,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
25,col0025__Bone__T3_671_Spine3__Rotation__Z,Bone,T3_671:Spine3,47C68C36012911F1:90AFB54A3B8C3180,T3_671:Spine2,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
