line_number,role,is_blank,num_columns,first_cells
1,metadata,False,24,Format Version|1.25|Take Name|671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005|Take Notes|
2,blank,True,0,
3,type,False,894,|Type|Bone|Bone|Bone|Bone
4,name,False,894,|Name|T3_671:T3_671|T3_671:T3_671|T3_671:T3_671|T3_671:T3_671
5,id,False,894,|ID|47C68B89012911F1:90AFB54A3B8C3180|47C68B89012911F1:90AFB54A3B8C3180|47C68B89012911F1:90AFB54A3B8C3180|47C68B89012911F1:90AFB54A3B8C3180
6,parent,False,894,|Parent|Root|Root|Root|Root
7,property,False,894,||Rotation|Rotation|Rotation|Rotation
8,component,False,894,Frame|Time (Seconds)|X|Y|Z|W
9,data,False,894,0|0.000000|0.016082|0.017904|0.003148|0.999705
10,data,False,894,1|0.008333|0.016032|0.017900|0.003190|0.999706
11,data,False,894,2|0.016667|0.015982|0.017882|0.003233|0.999707
12,data,False,894,3|0.025000|0.015933|0.017860|0.003276|0.999708
13,data,False,894,4|0.033333|0.015880|0.017847|0.003322|0.999709
14,data,False,894,5|0.041667|0.015828|0.017840|0.003369|0.999710
15,data,False,894,6|0.050000|0.015772|0.017827|0.003417|0.999711
16,data,False,894,7|0.058333|0.015715|0.017807|0.003462|0.999712
17,data,False,894,8|0.066667|0.015653|0.017784|0.003511|0.999713
18,data,False,894,9|0.075000|0.015593|0.017764|0.003560|0.999714
19,data,False,894,10|0.083333|0.015481|0.017722|0.003660|0.999716
20,data,False,894,11|0.091667|0.015384|0.017680|0.003729|0.999718
