joint_id,parent_bone,child_bone,source_parent_bone,source_child_bone,included_in_v0,selection_status,requires_manual_review,link_classification,core_candidate,excluded_candidate,link_group,total_frames,finite_rotvec_rows,non_finite_rotvec_rows,min_rotvec_norm,mean_rotvec_norm,median_rotvec_norm,max_rotvec_norm,p95_rotvec_norm,p99_rotvec_norm,near_pi_count,near_pi_percent,max_frame_to_frame_jump,p95_frame_to_frame_jump,p99_frame_to_frame_jump,large_jump_count,large_jump_percent,first_large_jump_frame,branch_cut_status,jump_status,stage08_may_proceed_for_link
J001,T3_671,Ab,T3_671:T3_671,T3_671:Ab,False,provisional_v0,True,trunk_spine,False,False,review_provisional,31392,31392,0,0.09432346653757191,0.19416184104556963,0.17920014452070776,0.3765016861502509,0.27562974165895987,0.36780116948443564,0,0.0,0.018026901246914733,0.004800336956795259,0.009149450049472698,0,0.0,,pass,pass,True
J002,Spine4,Chest,T3_671:Spine4,T3_671:Chest,False,provisional_v0,True,trunk_spine,False,False,review_provisional,31392,31392,0,0.0013828158581518006,0.07147496785725435,0.062100777995118886,0.18784908943667347,0.139676236480182,0.1621057876711383,0,0.0,0.01852894639598053,0.005468392897755019,0.009723573597455537,0,0.0,,pass,pass,True
J003,Neck2,Head,T3_671:Neck2,T3_671:Head,True,provisional_v0,False,head_neck,True,False,core_candidate,31392,31392,0,0.01195281170183802,0.18436346117306576,0.16607434790913217,0.46321095227015807,0.41560257813235024,0.45398816871032666,0,0.0,0.03085488145504301,0.009775154145102327,0.015106771015270842,0,0.0,,pass,pass,True
J004,LUArm,LFArm,T3_671:LUArm,T3_671:LFArm,True,provisional_v0,False,forearm,True,False,core_candidate,31392,31392,0,0.30801014398448434,1.663631201735979,1.586127394661684,2.6453381812844876,2.419778644037008,2.5371592155644747,0,0.0,0.36388768169275976,0.09234076819145504,0.1799949863967769,0,0.0,,pass,pass,True
J005,LShin,LFoot,T3_671:LShin,T3_671:LFoot,True,provisional_v0,False,foot,True,False,core_candidate,31392,31392,0,0.03212861991241281,0.2919334577006868,0.22214566793063523,0.9797404725107933,0.6441861386785888,0.757136719492972,0,0.0,0.19004403069078749,0.022734036856003927,0.04435334207694533,0,0.0,,pass,pass,True
J006,LFArm,LHand,T3_671:LFArm,T3_671:LHand,True,provisional_v0,False,hand,True,False,core_candidate,31392,31392,0,0.848530002900458,1.3390309427651037,1.3789364729504787,2.1122171354844785,1.5422892112460422,1.777441903841804,0,0.0,0.8182085932058963,0.060655279420623404,0.12385408839349735,1,0.0031856264534420695,8072.0,pass,warning,True
J007,LHand,LIndex1,T3_671:LHand,T3_671:LIndex1,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,0.1745306665537301,0.9539832490349721,0.6046842759558064,1.7524335864463167,1.7524125328293942,1.7524318617871069,0,0.0,0.6480093651544921,0.023709956740787345,0.04566020819986785,1,0.0031856264534420695,16102.0,pass,warning,True
J008,LIndex1,LIndex2,T3_671:LIndex1,T3_671:LIndex2,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,6.57099230429258e-18,1.0869671075019665,0.6748564069212579,2.0400035603557125,2.0400009791345712,2.040001668105219,0,0.0,0.7680029529289848,0.010490764995889294,0.026818506876476172,1,0.0031856264534420695,16102.0,pass,warning,True
J009,LIndex2,LIndex3,T3_671:LIndex2,T3_671:LIndex3,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,6.57099230429258e-18,0.4529029307151174,0.28119032166640917,0.8500026685424135,0.8500007589506658,0.8500014688770263,0,0.0,0.3200014256587701,0.004370836285808515,0.011175573164546074,0,0.0,,pass,pass,True
J010,LHand,LMiddle1,T3_671:LHand,T3_671:LMiddle1,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,0.08727744055428521,0.7111631972522454,0.3725964464689807,1.554912611823018,1.4364135209866256,1.491359668216323,0,0.0,0.44300482091814014,0.01643727437706921,0.030775693740710937,0,0.0,,pass,pass,True
J011,LMiddle1,LMiddle2,T3_671:LMiddle1,T3_671:LMiddle2,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,0.00047916717573936904,0.7987727568040472,0.40956974450371586,1.8277154703975458,1.6873250775010071,1.7423513891531666,0,0.0,0.511488977628142,0.008320214878230273,0.01979583401378169,1,0.0031856264534420695,16102.0,pass,warning,True
