joint_id,source_parent_bone,source_child_bone,parent_bone,child_bone,total_frames,raw_sign_flip_count,corrected_sign_flip_count,min_raw_consecutive_dot,min_corrected_consecutive_dot,post_correction_valid,correction_applied
J002,671:671,671:Ab,671,Ab,30604,0,0,0.9997800089168977,0.9997800089168977,True,False
J003,671:Ab,671:Chest,Ab,Chest,30604,0,0,0.9997790311217102,0.9997790311217102,True,False
J004,671:Neck,671:Head,Neck,Head,30604,0,0,0.9992490330098144,0.9992490330098144,True,False
J005,671:LUArm,671:LFArm,LUArm,LFArm,30604,0,0,0.9477983367261357,0.9477983367261357,True,False
J006,671:LShin,671:LFoot,LShin,LFoot,30604,0,0,0.9972408726886925,0.9972408726886925,True,False
J007,671:LFArm,671:LHand,LFArm,LHand,30604,0,0,0.7418509804271747,0.7418509804271747,True,False
J008,671:LHand,671:LIndex1,LHand,LIndex1,30604,0,0,0.6494804722098908,0.6494804722098908,True,False
J009,671:LIndex1,671:LIndex2,LIndex1,LIndex2,30604,0,0,0.5103801740970189,0.5103801740970189,True,False
J010,671:LIndex2,671:LIndex3,LIndex2,LIndex3,30604,1,0,-0.9084143138423112,0.9084143138423112,True,True
J011,671:LHand,671:LMiddle1,LHand,LMiddle1,30604,0,0,0.6723715006241839,0.6723715006241839,True,False
J012,671:LMiddle1,671:LMiddle2,LMiddle1,LMiddle2,30604,0,0,0.5493674658143427,0.5493674658143427,True,False
J013,671:LMiddle2,671:LMiddle3,LMiddle2,LMiddle3,30604,1,0,-0.9162570151645374,0.9162570151645374,True,True
J014,671:LHand,671:LPinky1,LHand,LPinky1,30604,0,0,0.6976144273874008,0.6976144273874008,True,False
J015,671:LPinky1,671:LPinky2,LPinky1,LPinky2,30604,0,0,0.6235659082993942,0.6235659082993942,True,False
J016,671:LPinky2,671:LPinky3,LPinky2,LPinky3,30604,1,0,-0.930888620198597,0.930888620198597,True,True
J017,671:LHand,671:LRing1,LHand,LRing1,30604,0,0,0.6885222066600828,0.6885222066600828,True,False
J018,671:LRing1,671:LRing2,LRing1,LRing2,30604,0,0,0.5869730007633475,0.5869730007633475,True,False
J019,671:LRing2,671:LRing3,LRing2,LRing3,30604,1,0,-0.9237191739596927,0.9237191739596927,True,True
J020,671:LThigh,671:LShin,LThigh,LShin,30604,0,0,0.9958379958736986,0.9958379958736986,True,False
J021,671:Chest,671:LShoulder,Chest,LShoulder,30604,0,0,0.9966295004872324,0.9966295004872324,True,False
J022,671:671,671:LThigh,671,LThigh,30604,0,0,0.9995757352908692,0.9995757352908692,True,False
J023,671:LHand,671:LThumb1,LHand,LThumb1,30604,0,0,0.9231569435429525,0.9231569435429525,True,False
J024,671:LThumb1,671:LThumb2,LThumb1,LThumb2,30604,0,0,0.9506609316527279,0.9506609316527279,True,False
J025,671:LThumb2,671:LThumb3,LThumb2,LThumb3,30604,0,0,0.9506608341333312,0.9506608341333312,True,False
J026,671:LFoot,671:LToe,LFoot,LToe,30604,0,0,0.9997119422260183,0.9997119422260183,True,False
