session_id,run_label,template_name,link_id,parent_canonical,child_canonical,feature_scope,stage04_parent_qc_status,stage04_child_qc_status,stage05_parent_sign_status,stage05_child_sign_status,stage06_reconstruction_status,stage06_max_reconstruction_error_deg,stage06_relative_sign_status,stage07_branch_cut_status,stage07_max_rotvec_norm,stage07_jump_status,stage07_max_jump_rad,stage08_policy,notes
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J002,671,Ab,review_provisional,pass,pass,pass,pass,pass,2.6654533093325413e-14,pass,pass,0.4014284666654975,pass,0.04197320555392092,manual_review_required,trunk/spine link provisional; Core + Passive Fingers (54) vs Biomech (57) topology differs — not a final analysis feature
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J003,Ab,Chest,review_provisional,pass,pass,pass,pass,pass,2.854893503285695e-14,pass,pass,0.40126856333497785,pass,0.04206633986270356,manual_review_required,trunk/spine link provisional; Core + Passive Fingers (54) vs Biomech (57) topology differs — not a final analysis feature
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J004,Neck,Head,core_candidate,pass,pass,pass,pass,pass,2.7284891663206055e-14,pass,pass,0.7819647458199779,pass,0.07775202621745098,allow_filter,head/neck core candidate
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J005,LUArm,LFArm,core_candidate,pass,pass,pass,pass,pass,3.05751757361645e-14,pass,pass,2.6809826243076738,warning,0.6736240290657813,allow_filter_with_warning,forearm core candidate
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J006,LShin,LFoot,core_candidate,pass,pass,pass,pass,pass,2.4471119740397787e-14,pass,pass,1.1044228088499533,pass,0.14941711054138215,allow_filter,foot core candidate
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J007,LFArm,LHand,core_candidate,pass,pass,pass,pass,pass,3.0620147809339954e-14,pass,pass,1.610708149516934,fail,1.4740064916106252,block_filter,hand core candidate (provisional V0)
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J008,LHand,LIndex1,excluded_distal,pass,pass,pass,pass,pass,3.0763120399577555e-14,pass,pass,1.75243325786848,fail,1.7301598078745568,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J009,LIndex1,LIndex2,excluded_distal,pass,pass,pass,pass,pass,2.6804543742910763e-14,pass,pass,2.040002627670167,fail,2.070339010611674,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J010,LIndex2,LIndex3,excluded_distal,pass,pass,pass,pass,pass,2.952772513412032e-14,pass,pass,0.850002458623034,warning,0.8626417922439963,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J011,LHand,LMiddle1,excluded_distal,pass,pass,pass,pass,pass,2.9875808247089675e-14,pass,pass,1.7535018296705434,fail,1.6674424235054623,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J012,LMiddle1,LMiddle2,excluded_distal,pass,pass,pass,pass,pass,3.0584707423747874e-14,pass,pass,2.0400025117694582,fail,1.9783785536729492,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J013,LMiddle2,LMiddle3,excluded_distal,pass,pass,pass,pass,pass,2.9729276143844906e-14,pass,pass,0.8500020019748636,warning,0.8243233586173524,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J014,LHand,LPinky1,excluded_distal,pass,pass,pass,pass,pass,3.2258046667655644e-14,pass,pass,1.833565112340129,fail,1.6008443401811188,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J015,LPinky1,LPinky2,excluded_distal,pass,pass,pass,pass,pass,4.1081380140780184e-14,pass,pass,2.0400028666237886,fail,1.7950011069111187,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
