link_id,finite_raw_frames,filter_applied_frames,native_finite_filtered_frames,analysis_finite_filtered_frames,jump_context_frames,analysis_eligible_frames,stage08_filter_status
J002,30604,30604,30604,0,0,0,provisional_manual_review
J003,30604,30604,30604,0,0,0,provisional_manual_review
J004,30604,30604,30604,30604,0,30604,pass
J005,30604,30604,30604,30543,61,30543,filtered_but_jump_context_masked
J006,30604,30604,30604,30604,0,30604,pass
J007,30604,30604,30604,0,61,0,blocked_needs_review
J008,30604,30604,30604,0,61,0,excluded_from_analysis
J009,30604,30604,30604,0,61,0,excluded_from_analysis
J010,30604,30604,30604,0,61,0,excluded_from_analysis
J011,30604,30604,30604,0,61,0,excluded_from_analysis
J012,30604,30604,30604,0,61,0,excluded_from_analysis
J013,30604,30604,30604,0,61,0,excluded_from_analysis
J014,30604,30604,30604,0,61,0,excluded_from_analysis
J015,30604,30604,30604,0,61,0,excluded_from_analysis
J016,30604,30604,30604,0,61,0,excluded_from_analysis
J017,30604,30604,30604,0,61,0,excluded_from_analysis
J018,30604,30604,30604,0,61,0,excluded_from_analysis
J019,30604,30604,30604,0,61,0,excluded_from_analysis
J020,30604,30604,30604,30604,0,30604,pass
J021,30604,30604,30604,30604,0,30604,pass
J022,30604,30604,30604,30604,0,30604,pass
J023,30604,30604,30604,0,61,0,excluded_from_analysis
J024,30604,30604,30604,0,61,0,excluded_from_analysis
J025,30604,30604,30604,0,61,0,excluded_from_analysis
J026,30604,30604,30604,0,0,0,excluded_from_analysis
J027,30604,30604,30604,30604,0,30604,pass
J028,30604,30604,30604,30604,0,30604,pass
J029,30604,30604,30604,30543,61,30543,filtered_but_jump_context_masked
J030,30604,30604,30604,30604,0,30604,pass
J031,30604,30604,30604,30604,0,30604,pass
J032,30604,30604,30604,0,61,0,excluded_from_analysis
J033,30604,30604,30604,0,0,0,excluded_from_analysis
J034,30604,30604,30604,0,0,0,excluded_from_analysis
J035,30604,30604,30604,0,0,0,excluded_from_analysis
J036,30604,30604,30604,0,0,0,excluded_from_analysis
J037,30604,30604,30604,0,0,0,excluded_from_analysis
J038,30604,30604,30604,0,0,0,excluded_from_analysis
J039,30604,30604,30604,0,0,0,excluded_from_analysis
J040,30604,30604,30604,0,0,0,excluded_from_analysis
J041,30604,30604,30604,0,0,0,excluded_from_analysis
J042,30604,30604,30604,0,0,0,excluded_from_analysis
J043,30604,30604,30604,0,0,0,excluded_from_analysis
J044,30604,30604,30604,30604,0,30604,pass
J045,30604,30604,30604,30604,0,30604,pass
J046,30604,30604,30604,30604,0,30604,pass
J047,30604,30604,30604,0,0,0,excluded_from_analysis
J048,30604,30604,30604,0,0,0,excluded_from_analysis
J049,30604,30604,30604,0,0,0,excluded_from_analysis
J050,30604,30604,30604,0,0,0,excluded_from_analysis
J051,30604,30604,30604,30604,0,30604,pass
