line_number,role,is_blank,num_columns,first_cells
1,metadata,False,24,Format Version|1.25|Take Name|671_T1_P1_R2_Take 2026-01-06 03.57.12 PM_003|Take Notes|
2,blank,True,0,
3,type,False,782,|Type|Bone|Bone|Bone|Bone
4,name,False,782,|Name|671:671|671:671|671:671|671:671
5,id,False,782,|ID|FFBF704EB1411F0:90AFB54A3B8C3080|FFBF704EB1411F0:90AFB54A3B8C3080|FFBF704EB1411F0:90AFB54A3B8C3080|FFBF704EB1411F0:90AFB54A3B8C3080
6,parent,False,782,|Parent|Root|Root|Root|Root
7,property,False,782,||Rotation|Rotation|Rotation|Rotation
8,component,False,782,Frame|Time (Seconds)|X|Y|Z|W
9,data,False,782,0|0.000000|0.002544|-0.004096|0.007462|0.999961
10,data,False,782,1|0.008333|0.002487|-0.004054|0.007459|0.999961
11,data,False,782,2|0.016667|0.002419|-0.004008|0.007460|0.999961
12,data,False,782,3|0.025000|0.002335|-0.003972|0.007471|0.999961
13,data,False,782,4|0.033333|0.002240|-0.003948|0.007484|0.999962
14,data,False,782,5|0.041667|0.002130|-0.003921|0.007500|0.999962
15,data,False,782,6|0.050000|0.001866|-0.003935|0.007519|0.999962
16,data,False,782,7|0.058333|0.001649|-0.003941|0.007525|0.999963
17,data,False,782,8|0.066667|0.001452|-0.003948|0.007527|0.999963
18,data,False,782,9|0.075000|0.001267|-0.003957|0.007518|0.999963
19,data,False,782,10|0.083333|0.001086|-0.003978|0.007509|0.999963
20,data,False,782,11|0.091667|0.000912|-0.003994|0.007501|0.999964
