joint_id,source_parent_bone,source_child_bone,parent_bone,child_bone,included,exclusion_reason,selection_rule,requires_manual_review
J001,Root,671:671,Root,671,False,parent_is_root,exclude_root_children_by_default,True
J002,671:671,671:Ab,671,Ab,False,,trunk_or_root_candidate,True
J003,671:Ab,671:Chest,Ab,Chest,False,,trunk_or_root_candidate,True
J004,671:Neck,671:Head,Neck,Head,True,,default_include,False
J005,671:LUArm,671:LFArm,LUArm,LFArm,True,,default_include,False
J006,671:LShin,671:LFoot,LShin,LFoot,True,,default_include,False
J007,671:LFArm,671:LHand,LFArm,LHand,True,,default_include,False
J008,671:LHand,671:LIndex1,LHand,LIndex1,False,distal_keyword:Index,distal_exclusion.keywords,False
J009,671:LIndex1,671:LIndex2,LIndex1,LIndex2,False,distal_keyword:Index,distal_exclusion.keywords,False
J010,671:LIndex2,671:LIndex3,LIndex2,LIndex3,False,distal_keyword:Index,distal_exclusion.keywords,False
J011,671:LHand,671:LMiddle1,LHand,LMiddle1,False,distal_keyword:Middle,distal_exclusion.keywords,False
J012,671:LMiddle1,671:LMiddle2,LMiddle1,LMiddle2,False,distal_keyword:Middle,distal_exclusion.keywords,False
J013,671:LMiddle2,671:LMiddle3,LMiddle2,LMiddle3,False,distal_keyword:Middle,distal_exclusion.keywords,False
J014,671:LHand,671:LPinky1,LHand,LPinky1,False,distal_keyword:Pinky,distal_exclusion.keywords,False
J015,671:LPinky1,671:LPinky2,LPinky1,LPinky2,False,distal_keyword:Pinky,distal_exclusion.keywords,False
J016,671:LPinky2,671:LPinky3,LPinky2,LPinky3,False,distal_keyword:Pinky,distal_exclusion.keywords,False
J017,671:LHand,671:LRing1,LHand,LRing1,False,distal_keyword:Ring,distal_exclusion.keywords,False
J018,671:LRing1,671:LRing2,LRing1,LRing2,False,distal_keyword:Ring,distal_exclusion.keywords,False
J019,671:LRing2,671:LRing3,LRing2,LRing3,False,distal_keyword:Ring,distal_exclusion.keywords,False
J020,671:LThigh,671:LShin,LThigh,LShin,True,,default_include,False
J021,671:Chest,671:LShoulder,Chest,LShoulder,True,,default_include,False
J022,671:671,671:LThigh,671,LThigh,True,,default_include,False
J023,671:LHand,671:LThumb1,LHand,LThumb1,False,distal_keyword:Thumb,distal_exclusion.keywords,False
J024,671:LThumb1,671:LThumb2,LThumb1,LThumb2,False,distal_keyword:Thumb,distal_exclusion.keywords,False
J025,671:LThumb2,671:LThumb3,LThumb2,LThumb3,False,distal_keyword:Thumb,distal_exclusion.keywords,False
J026,671:LFoot,671:LToe,LFoot,LToe,False,cautious_keyword:Toe,distal_exclusion.cautious_keywords,True
J027,671:LShoulder,671:LUArm,LShoulder,LUArm,True,,default_include,False
J028,671:Chest,671:Neck,Chest,Neck,True,,default_include,False
J029,671:RUArm,671:RFArm,RUArm,RFArm,True,,default_include,False
J030,671:RShin,671:RFoot,RShin,RFoot,True,,default_include,False
J031,671:RFArm,671:RHand,RFArm,RHand,True,,default_include,False
J032,671:RHand,671:RIndex1,RHand,RIndex1,False,distal_keyword:Index,distal_exclusion.keywords,False
J033,671:RIndex1,671:RIndex2,RIndex1,RIndex2,False,distal_keyword:Index,distal_exclusion.keywords,False
J034,671:RIndex2,671:RIndex3,RIndex2,RIndex3,False,distal_keyword:Index,distal_exclusion.keywords,False
J035,671:RHand,671:RMiddle1,RHand,RMiddle1,False,distal_keyword:Middle,distal_exclusion.keywords,False
J036,671:RMiddle1,671:RMiddle2,RMiddle1,RMiddle2,False,distal_keyword:Middle,distal_exclusion.keywords,False
J037,671:RMiddle2,671:RMiddle3,RMiddle2,RMiddle3,False,distal_keyword:Middle,distal_exclusion.keywords,False
J038,671:RHand,671:RPinky1,RHand,RPinky1,False,distal_keyword:Pinky,distal_exclusion.keywords,False
J039,671:RPinky1,671:RPinky2,RPinky1,RPinky2,False,distal_keyword:Pinky,distal_exclusion.keywords,False
J040,671:RPinky2,671:RPinky3,RPinky2,RPinky3,False,distal_keyword:Pinky,distal_exclusion.keywords,False
J041,671:RHand,671:RRing1,RHand,RRing1,False,distal_keyword:Ring,distal_exclusion.keywords,False
J042,671:RRing1,671:RRing2,RRing1,RRing2,False,distal_keyword:Ring,distal_exclusion.keywords,False
J043,671:RRing2,671:RRing3,RRing2,RRing3,False,distal_keyword:Ring,distal_exclusion.keywords,False
J044,671:RThigh,671:RShin,RThigh,RShin,True,,default_include,False
J045,671:Chest,671:RShoulder,Chest,RShoulder,True,,default_include,False
J046,671:671,671:RThigh,671,RThigh,True,,default_include,False
J047,671:RHand,671:RThumb1,RHand,RThumb1,False,distal_keyword:Thumb,distal_exclusion.keywords,False
J048,671:RThumb1,671:RThumb2,RThumb1,RThumb2,False,distal_keyword:Thumb,distal_exclusion.keywords,False
J049,671:RThumb2,671:RThumb3,RThumb2,RThumb3,False,distal_keyword:Thumb,distal_exclusion.keywords,False
J050,671:RFoot,671:RToe,RFoot,RToe,False,cautious_keyword:Toe,distal_exclusion.cautious_keywords,True
J051,671:RShoulder,671:RUArm,RShoulder,RUArm,True,,default_include,False
