source_bone_name,has_complete_xyzw_columns,total_frames,finite_row_count,non_finite_row_count,missing_x_count,missing_y_count,missing_z_count,missing_w_count,complete_xyzw_row_count,complete_xyzw_percent,min_norm,max_norm,mean_norm,median_norm,std_norm,max_abs_norm_error,norm_outside_tolerance_count,norm_outside_tolerance_percent,zero_norm_count,near_zero_norm_count,invalid_row_count,first_invalid_row_index,last_invalid_row_index,first_invalid_frame,last_invalid_frame,invalid_gap_count,longest_invalid_gap_length,qc_status,qc_fail_reasons,qc_warning_reasons,stage05_may_proceed
671:671,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999992650412299,1.0000007725782016,1.0000000379879772,1.0000000333009993,2.906052312056568e-07,7.725782016354543e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:Ab,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999993394097818,1.000000740384226,1.0000000361846113,1.0000000357019994,2.890925396720528e-07,7.403842259279259e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:Chest,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999992314467047,1.0000008045946762,1.0000000406045095,1.0000000416684993,2.914254235771451e-07,8.045946762180733e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:Head,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999992925222497,1.0000007793931962,1.0000000385855474,1.0000000379267493,2.9142374656336006e-07,7.793931962041256e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LFArm,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991194351123,1.00000091670858,1.0000000332592993,1.0000000356907495,2.9114941147417274e-07,9.167085799344221e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LFoot,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999992020206816,1.0000008493581394,1.0000000391624753,1.0000000364619994,2.904886341303948e-07,8.493581393764771e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LHand,True,30356,30356,0,0,0,0,0,30356,100.0,0.999999098934594,1.0000009038445914,1.0000000332937635,1.0000000319619995,2.9127803190155016e-07,9.038445913933657e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LIndex1,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991321171234,1.0000009040785913,1.0000000329218661,1.0000000328677494,2.8957366153104594e-07,9.040785913239091e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LIndex2,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991880696704,1.0000009499550488,1.0000000292957103,1.0000000290752495,2.8953140765619854e-07,9.499550488456521e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LIndex3,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991027470975,1.0000009418845563,1.000000029648353,1.0000000295402496,2.9267954119805645e-07,9.418845563491374e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LMiddle1,True,30356,30356,0,0,0,0,0,30356,100.0,0.999999192588174,1.0000009547965443,1.0000000330728067,1.0000000338514994,2.9090795689729583e-07,9.547965442724404e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LMiddle2,True,30356,30356,0,0,0,0,0,30356,100.0,0.999999150252639,1.0000008914221028,1.0000000319612163,1.0000000334297494,2.896075900736207e-07,8.914221028000213e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LMiddle3,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991787221627,1.000000977796522,1.0000000313150785,1.0000000324607496,2.915572954105256e-07,9.77796521972607e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LPinky1,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991453301348,1.000000907906588,1.0000000327835972,1.0000000328034995,2.9015218176994475e-07,9.079065879102899e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LPinky2,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991746376594,1.000000885436608,1.0000000354993515,1.0000000352657494,2.9124851052807646e-07,8.854366080335296e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LPinky3,True,30356,30356,0,0,0,0,0,30356,100.0,0.999999182624166,1.0000008893816046,1.000000032563681,1.0000000324607496,2.909297168009239e-07,8.893816045851821e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LRing1,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991131806067,1.0000009156560807,1.0000000348631233,1.0000000363149995,2.9016617676851803e-07,9.156560807355163e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LRing2,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991360581268,1.0000009390190592,1.0000000325606335,1.0000000330994996,2.9141094255547385e-07,9.390190591762604e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:LRing3,True,30356,30356,0,0,0,0,0,30356,100.0,0.9999991354131262,1.000000881010612,1.0000000332822454,1.0000000333362493,2.90658728765762e-07,8.81010612019395e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
