link_id,parent_canonical,child_canonical,jump_event_frame,context_window_frames,context_start_frame,context_end_frame,stage07_jump_magnitude_rad,stage07_row_qc_status
J023,LHand,LThumb1,17307,30,17277,17337,1.142264993826455,fail
J029,RUArm,RFArm,17307,30,17277,17337,0.7187676308631565,warning
J031,RFArm,RHand,17307,30,17277,17337,0.7017348056699987,warning
J032,RHand,RIndex1,17307,30,17277,17337,1.6511186095817627,fail
J033,RIndex1,RIndex2,17307,30,17277,17337,1.9718061304534047,fail
J034,RIndex2,RIndex3,17307,30,17277,17337,0.8215848270749663,warning
J035,RHand,RMiddle1,17307,30,17277,17337,1.2610165622862854,fail
J036,RMiddle1,RMiddle2,17307,30,17277,17337,1.5115201715580584,fail
J037,RMiddle2,RMiddle3,17307,30,17277,17337,0.6297983938464198,warning
J038,RHand,RPinky1,17307,30,17277,17337,0.5157438194666941,warning
J039,RPinky1,RPinky2,17307,30,17277,17337,0.5937067339667228,warning
J041,RHand,RRing1,17307,30,17277,17337,0.8797141637988538,warning
J042,RRing1,RRing2,17307,30,17277,17337,1.0539911722473223,fail
