source_bone_name,canonical_bone_name,column_index_x,column_index_y,column_index_z,column_index_w,total_frames,complete_xyzw_frame_count,complete_xyzw_percent,population_status,notes
671:671,671,2,3,4,5,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:Ab,Ab,9,10,11,12,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:Chest,Chest,16,17,18,19,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:Head,Head,30,31,32,33,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LFArm,LFArm,51,52,53,54,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LFoot,LFoot,317,318,319,320,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LHand,LHand,58,59,60,61,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LIndex1,LIndex1,86,87,88,89,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LIndex2,LIndex2,93,94,95,96,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LIndex3,LIndex3,100,101,102,103,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LMiddle1,LMiddle1,107,108,109,110,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LMiddle2,LMiddle2,114,115,116,117,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LMiddle3,LMiddle3,121,122,123,124,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LPinky1,LPinky1,149,150,151,152,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LPinky2,LPinky2,156,157,158,159,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LPinky3,LPinky3,163,164,165,166,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LRing1,LRing1,128,129,130,131,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LRing2,LRing2,135,136,137,138,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LRing3,LRing3,142,143,144,145,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LShin,LShin,310,311,312,313,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LShoulder,LShoulder,37,38,39,40,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LThigh,LThigh,303,304,305,306,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LThumb1,LThumb1,65,66,67,68,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LThumb2,LThumb2,72,73,74,75,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LThumb3,LThumb3,79,80,81,82,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LToe,LToe,324,325,326,327,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:LUArm,LUArm,44,45,46,47,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:Neck,Neck,23,24,25,26,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RFArm,RFArm,184,185,186,187,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RFoot,RFoot,345,346,347,348,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RHand,RHand,191,192,193,194,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RIndex1,RIndex1,219,220,221,222,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RIndex2,RIndex2,226,227,228,229,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RIndex3,RIndex3,233,234,235,236,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RMiddle1,RMiddle1,240,241,242,243,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RMiddle2,RMiddle2,247,248,249,250,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RMiddle3,RMiddle3,254,255,256,257,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RPinky1,RPinky1,282,283,284,285,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RPinky2,RPinky2,289,290,291,292,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RPinky3,RPinky3,296,297,298,299,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RRing1,RRing1,261,262,263,264,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RRing2,RRing2,268,269,270,271,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RRing3,RRing3,275,276,277,278,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RShin,RShin,338,339,340,341,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RShoulder,RShoulder,170,171,172,173,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RThigh,RThigh,331,332,333,334,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RThumb1,RThumb1,198,199,200,201,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RThumb2,RThumb2,205,206,207,208,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RThumb3,RThumb3,212,213,214,215,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RToe,RToe,352,353,354,355,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
671:RUArm,RUArm,177,178,179,180,30479,30479,100.0,pass,Structural population check only; not quaternion norm or component-order validation
