joint_id,parent_bone,child_bone,source_parent_bone,source_child_bone
J003,Neck2,Head,T3_671:Neck2,T3_671:Head
J004,LUArm,LFArm,T3_671:LUArm,T3_671:LFArm
J005,LShin,LFoot,T3_671:LShin,T3_671:LFoot
J006,LFArm,LHand,T3_671:LFArm,T3_671:LHand
J019,LThigh,LShin,T3_671:LThigh,T3_671:LShin
J020,Chest,LShoulder,T3_671:Chest,T3_671:LShoulder
J021,T3_671,LThigh,T3_671:T3_671,T3_671:LThigh
J026,LShoulder,LUArm,T3_671:LShoulder,T3_671:LUArm
J027,Chest,Neck,T3_671:Chest,T3_671:Neck
J028,Neck,Neck2,T3_671:Neck,T3_671:Neck2
J029,RUArm,RFArm,T3_671:RUArm,T3_671:RFArm
J030,RShin,RFoot,T3_671:RShin,T3_671:RFoot
J031,RFArm,RHand,T3_671:RFArm,T3_671:RHand
J044,RThigh,RShin,T3_671:RThigh,T3_671:RShin
J045,Chest,RShoulder,T3_671:Chest,T3_671:RShoulder
J046,T3_671,RThigh,T3_671:T3_671,T3_671:RThigh
J051,RShoulder,RUArm,T3_671:RShoulder,T3_671:RUArm
