source_bone_name,column_index_x,column_index_y,column_index_z,column_index_w,has_complete_xyzw_columns,motive_component_labels,scipy_component_order,selected_scipy_order,labels_compatible_with_scipy,sample_size,constructible_count,construction_error_count,non_finite_row_count,constructability_status,primary_constructibility_rate,alternative_order_label,alternative_constructible_count,alternative_construction_error_count,alternative_constructibility_rate,first_construction_error,missing_components,stage03_may_proceed,notes
T3_671:Ab,9,10,11,12,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:Chest,37,38,39,40,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:Head,58,59,60,61,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LFArm,79,80,81,82,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LFoot,345,346,347,348,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LHand,86,87,88,89,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LIndex1,114,115,116,117,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LIndex2,121,122,123,124,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LIndex3,128,129,130,131,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LMiddle1,135,136,137,138,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LMiddle2,142,143,144,145,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LMiddle3,149,150,151,152,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LPinky1,177,178,179,180,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LPinky2,184,185,186,187,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LPinky3,191,192,193,194,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LRing1,156,157,158,159,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LRing2,163,164,165,166,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LRing3,170,171,172,173,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LShin,338,339,340,341,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LShoulder,65,66,67,68,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LThigh,331,332,333,334,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LThumb1,93,94,95,96,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LThumb2,100,101,102,103,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LThumb3,107,108,109,110,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LToe,352,353,354,355,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:LUArm,72,73,74,75,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:Neck,44,45,46,47,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:Neck2,51,52,53,54,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RFArm,212,213,214,215,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RFoot,373,374,375,376,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RHand,219,220,221,222,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RIndex1,247,248,249,250,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RIndex2,254,255,256,257,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RIndex3,261,262,263,264,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RMiddle1,268,269,270,271,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RMiddle2,275,276,277,278,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RMiddle3,282,283,284,285,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RPinky1,310,311,312,313,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RPinky2,317,318,319,320,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RPinky3,324,325,326,327,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RRing1,289,290,291,292,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RRing2,296,297,298,299,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RRing3,303,304,305,306,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RShin,366,367,368,369,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RShoulder,198,199,200,201,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RThigh,359,360,361,362,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RThumb1,226,227,228,229,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RThumb2,233,234,235,236,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RThumb3,240,241,242,243,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RToe,380,381,382,383,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:RUArm,205,206,207,208,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:Spine2,16,17,18,19,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:Spine3,23,24,25,26,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:Spine4,30,31,32,33,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
T3_671:T3_671,2,3,4,5,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,31674,31674,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,31674,0,1.0,,,True,Component-order / SciPy constructability pass
