source_bone_name,canonical_bone_name,source_parent_name,canonical_parent_name,subject_prefix,is_root_bone,parent_is_root
T3_671:Ab,Ab,T3_671:T3_671,T3_671,T3_671,False,False
T3_671:Chest,Chest,T3_671:Spine4,Spine4,T3_671,False,False
T3_671:Head,Head,T3_671:Neck2,Neck2,T3_671,False,False
T3_671:LFArm,LFArm,T3_671:LUArm,LUArm,T3_671,False,False
T3_671:LFoot,LFoot,T3_671:LShin,LShin,T3_671,False,False
T3_671:LHand,LHand,T3_671:LFArm,LFArm,T3_671,False,False
T3_671:LIndex1,LIndex1,T3_671:LHand,LHand,T3_671,False,False
T3_671:LIndex2,LIndex2,T3_671:LIndex1,LIndex1,T3_671,False,False
T3_671:LIndex3,LIndex3,T3_671:LIndex2,LIndex2,T3_671,False,False
T3_671:LMiddle1,LMiddle1,T3_671:LHand,LHand,T3_671,False,False
T3_671:LMiddle2,LMiddle2,T3_671:LMiddle1,LMiddle1,T3_671,False,False
T3_671:LMiddle3,LMiddle3,T3_671:LMiddle2,LMiddle2,T3_671,False,False
T3_671:LPinky1,LPinky1,T3_671:LHand,LHand,T3_671,False,False
T3_671:LPinky2,LPinky2,T3_671:LPinky1,LPinky1,T3_671,False,False
T3_671:LPinky3,LPinky3,T3_671:LPinky2,LPinky2,T3_671,False,False
T3_671:LRing1,LRing1,T3_671:LHand,LHand,T3_671,False,False
T3_671:LRing2,LRing2,T3_671:LRing1,LRing1,T3_671,False,False
T3_671:LRing3,LRing3,T3_671:LRing2,LRing2,T3_671,False,False
T3_671:LShin,LShin,T3_671:LThigh,LThigh,T3_671,False,False
T3_671:LShoulder,LShoulder,T3_671:Chest,Chest,T3_671,False,False
T3_671:LThigh,LThigh,T3_671:T3_671,T3_671,T3_671,False,False
T3_671:LThumb1,LThumb1,T3_671:LHand,LHand,T3_671,False,False
T3_671:LThumb2,LThumb2,T3_671:LThumb1,LThumb1,T3_671,False,False
T3_671:LThumb3,LThumb3,T3_671:LThumb2,LThumb2,T3_671,False,False
T3_671:LToe,LToe,T3_671:LFoot,LFoot,T3_671,False,False
T3_671:LUArm,LUArm,T3_671:LShoulder,LShoulder,T3_671,False,False
T3_671:Neck,Neck,T3_671:Chest,Chest,T3_671,False,False
T3_671:Neck2,Neck2,T3_671:Neck,Neck,T3_671,False,False
T3_671:RFArm,RFArm,T3_671:RUArm,RUArm,T3_671,False,False
T3_671:RFoot,RFoot,T3_671:RShin,RShin,T3_671,False,False
T3_671:RHand,RHand,T3_671:RFArm,RFArm,T3_671,False,False
T3_671:RIndex1,RIndex1,T3_671:RHand,RHand,T3_671,False,False
T3_671:RIndex2,RIndex2,T3_671:RIndex1,RIndex1,T3_671,False,False
T3_671:RIndex3,RIndex3,T3_671:RIndex2,RIndex2,T3_671,False,False
T3_671:RMiddle1,RMiddle1,T3_671:RHand,RHand,T3_671,False,False
T3_671:RMiddle2,RMiddle2,T3_671:RMiddle1,RMiddle1,T3_671,False,False
T3_671:RMiddle3,RMiddle3,T3_671:RMiddle2,RMiddle2,T3_671,False,False
T3_671:RPinky1,RPinky1,T3_671:RHand,RHand,T3_671,False,False
T3_671:RPinky2,RPinky2,T3_671:RPinky1,RPinky1,T3_671,False,False
T3_671:RPinky3,RPinky3,T3_671:RPinky2,RPinky2,T3_671,False,False
T3_671:RRing1,RRing1,T3_671:RHand,RHand,T3_671,False,False
T3_671:RRing2,RRing2,T3_671:RRing1,RRing1,T3_671,False,False
T3_671:RRing3,RRing3,T3_671:RRing2,RRing2,T3_671,False,False
T3_671:RShin,RShin,T3_671:RThigh,RThigh,T3_671,False,False
T3_671:RShoulder,RShoulder,T3_671:Chest,Chest,T3_671,False,False
T3_671:RThigh,RThigh,T3_671:T3_671,T3_671,T3_671,False,False
T3_671:RThumb1,RThumb1,T3_671:RHand,RHand,T3_671,False,False
T3_671:RThumb2,RThumb2,T3_671:RThumb1,RThumb1,T3_671,False,False
T3_671:RThumb3,RThumb3,T3_671:RThumb2,RThumb2,T3_671,False,False
T3_671:RToe,RToe,T3_671:RFoot,RFoot,T3_671,False,False
T3_671:RUArm,RUArm,T3_671:RShoulder,RShoulder,T3_671,False,False
T3_671:Spine2,Spine2,T3_671:Ab,Ab,T3_671,False,False
T3_671:Spine3,Spine3,T3_671:Spine2,Spine2,T3_671,False,False
T3_671:Spine4,Spine4,T3_671:Spine3,Spine3,T3_671,False,False
T3_671:T3_671,T3_671,Root,Root,T3_671,True,True
