source_bone_name,canonical_bone_name,component,column_index,flat_name
T3_671:T3_671,T3_671,X,2,col0002__Bone__T3_671_T3_671__Rotation__X
T3_671:T3_671,T3_671,Y,3,col0003__Bone__T3_671_T3_671__Rotation__Y
T3_671:T3_671,T3_671,Z,4,col0004__Bone__T3_671_T3_671__Rotation__Z
T3_671:T3_671,T3_671,W,5,col0005__Bone__T3_671_T3_671__Rotation__W
T3_671:Ab,Ab,X,9,col0009__Bone__T3_671_Ab__Rotation__X
T3_671:Ab,Ab,Y,10,col0010__Bone__T3_671_Ab__Rotation__Y
T3_671:Ab,Ab,Z,11,col0011__Bone__T3_671_Ab__Rotation__Z
T3_671:Ab,Ab,W,12,col0012__Bone__T3_671_Ab__Rotation__W
T3_671:Spine2,Spine2,X,16,col0016__Bone__T3_671_Spine2__Rotation__X
T3_671:Spine2,Spine2,Y,17,col0017__Bone__T3_671_Spine2__Rotation__Y
T3_671:Spine2,Spine2,Z,18,col0018__Bone__T3_671_Spine2__Rotation__Z
T3_671:Spine2,Spine2,W,19,col0019__Bone__T3_671_Spine2__Rotation__W
T3_671:Spine3,Spine3,X,23,col0023__Bone__T3_671_Spine3__Rotation__X
T3_671:Spine3,Spine3,Y,24,col0024__Bone__T3_671_Spine3__Rotation__Y
T3_671:Spine3,Spine3,Z,25,col0025__Bone__T3_671_Spine3__Rotation__Z
T3_671:Spine3,Spine3,W,26,col0026__Bone__T3_671_Spine3__Rotation__W
T3_671:Spine4,Spine4,X,30,col0030__Bone__T3_671_Spine4__Rotation__X
T3_671:Spine4,Spine4,Y,31,col0031__Bone__T3_671_Spine4__Rotation__Y
T3_671:Spine4,Spine4,Z,32,col0032__Bone__T3_671_Spine4__Rotation__Z
T3_671:Spine4,Spine4,W,33,col0033__Bone__T3_671_Spine4__Rotation__W
T3_671:Chest,Chest,X,37,col0037__Bone__T3_671_Chest__Rotation__X
T3_671:Chest,Chest,Y,38,col0038__Bone__T3_671_Chest__Rotation__Y
T3_671:Chest,Chest,Z,39,col0039__Bone__T3_671_Chest__Rotation__Z
T3_671:Chest,Chest,W,40,col0040__Bone__T3_671_Chest__Rotation__W
T3_671:Neck,Neck,X,44,col0044__Bone__T3_671_Neck__Rotation__X
T3_671:Neck,Neck,Y,45,col0045__Bone__T3_671_Neck__Rotation__Y
T3_671:Neck,Neck,Z,46,col0046__Bone__T3_671_Neck__Rotation__Z
T3_671:Neck,Neck,W,47,col0047__Bone__T3_671_Neck__Rotation__W
T3_671:Neck2,Neck2,X,51,col0051__Bone__T3_671_Neck2__Rotation__X
T3_671:Neck2,Neck2,Y,52,col0052__Bone__T3_671_Neck2__Rotation__Y
