joint_id,parent_bone,child_bone,source_parent_bone,source_child_bone,included,requires_manual_review
J001,T3_671,Ab,T3_671:T3_671,T3_671:Ab,False,True
J002,Spine4,Chest,T3_671:Spine4,T3_671:Chest,False,True
J003,Neck2,Head,T3_671:Neck2,T3_671:Head,True,False
J004,LUArm,LFArm,T3_671:LUArm,T3_671:LFArm,True,False
J005,LShin,LFoot,T3_671:LShin,T3_671:LFoot,True,False
J006,LFArm,LHand,T3_671:LFArm,T3_671:LHand,True,False
J007,LHand,LIndex1,T3_671:LHand,T3_671:LIndex1,False,False
J008,LIndex1,LIndex2,T3_671:LIndex1,T3_671:LIndex2,False,False
J009,LIndex2,LIndex3,T3_671:LIndex2,T3_671:LIndex3,False,False
J010,LHand,LMiddle1,T3_671:LHand,T3_671:LMiddle1,False,False
J011,LMiddle1,LMiddle2,T3_671:LMiddle1,T3_671:LMiddle2,False,False
J012,LMiddle2,LMiddle3,T3_671:LMiddle2,T3_671:LMiddle3,False,False
J013,LHand,LPinky1,T3_671:LHand,T3_671:LPinky1,False,False
J014,LPinky1,LPinky2,T3_671:LPinky1,T3_671:LPinky2,False,False
J015,LPinky2,LPinky3,T3_671:LPinky2,T3_671:LPinky3,False,False
J016,LHand,LRing1,T3_671:LHand,T3_671:LRing1,False,False
J017,LRing1,LRing2,T3_671:LRing1,T3_671:LRing2,False,False
J018,LRing2,LRing3,T3_671:LRing2,T3_671:LRing3,False,False
J019,LThigh,LShin,T3_671:LThigh,T3_671:LShin,True,False
J020,Chest,LShoulder,T3_671:Chest,T3_671:LShoulder,True,False
J021,T3_671,LThigh,T3_671:T3_671,T3_671:LThigh,True,False
J022,LHand,LThumb1,T3_671:LHand,T3_671:LThumb1,False,False
J023,LThumb1,LThumb2,T3_671:LThumb1,T3_671:LThumb2,False,False
J024,LThumb2,LThumb3,T3_671:LThumb2,T3_671:LThumb3,False,False
J025,LFoot,LToe,T3_671:LFoot,T3_671:LToe,False,True
J026,LShoulder,LUArm,T3_671:LShoulder,T3_671:LUArm,True,False
J027,Chest,Neck,T3_671:Chest,T3_671:Neck,True,False
J028,Neck,Neck2,T3_671:Neck,T3_671:Neck2,True,False
J029,RUArm,RFArm,T3_671:RUArm,T3_671:RFArm,True,False
J030,RShin,RFoot,T3_671:RShin,T3_671:RFoot,True,False
J031,RFArm,RHand,T3_671:RFArm,T3_671:RHand,True,False
J032,RHand,RIndex1,T3_671:RHand,T3_671:RIndex1,False,False
J033,RIndex1,RIndex2,T3_671:RIndex1,T3_671:RIndex2,False,False
J034,RIndex2,RIndex3,T3_671:RIndex2,T3_671:RIndex3,False,False
J035,RHand,RMiddle1,T3_671:RHand,T3_671:RMiddle1,False,False
J036,RMiddle1,RMiddle2,T3_671:RMiddle1,T3_671:RMiddle2,False,False
J037,RMiddle2,RMiddle3,T3_671:RMiddle2,T3_671:RMiddle3,False,False
J038,RHand,RPinky1,T3_671:RHand,T3_671:RPinky1,False,False
J039,RPinky1,RPinky2,T3_671:RPinky1,T3_671:RPinky2,False,False
J040,RPinky2,RPinky3,T3_671:RPinky2,T3_671:RPinky3,False,False
J041,RHand,RRing1,T3_671:RHand,T3_671:RRing1,False,False
J042,RRing1,RRing2,T3_671:RRing1,T3_671:RRing2,False,False
J043,RRing2,RRing3,T3_671:RRing2,T3_671:RRing3,False,False
J044,RThigh,RShin,T3_671:RThigh,T3_671:RShin,True,False
J045,Chest,RShoulder,T3_671:Chest,T3_671:RShoulder,True,False
J046,T3_671,RThigh,T3_671:T3_671,T3_671:RThigh,True,False
J047,RHand,RThumb1,T3_671:RHand,T3_671:RThumb1,False,False
J048,RThumb1,RThumb2,T3_671:RThumb1,T3_671:RThumb2,False,False
J049,RThumb2,RThumb3,T3_671:RThumb2,T3_671:RThumb3,False,False
J050,RFoot,RToe,T3_671:RFoot,T3_671:RToe,False,True
J051,RShoulder,RUArm,T3_671:RShoulder,T3_671:RUArm,True,False
J052,Ab,Spine2,T3_671:Ab,T3_671:Spine2,False,True
J053,Spine2,Spine3,T3_671:Spine2,T3_671:Spine3,False,True
J054,Spine3,Spine4,T3_671:Spine3,T3_671:Spine4,False,True
J055,Root,T3_671,Root,T3_671:T3_671,False,True
