source_bone_name,canonical_bone_name,total_frames,sign_flip_count,min_consecutive_dot,post_correction_valid
T3_671:Ab,Ab,31392,0,0.9994280469819999,True
T3_671:Chest,Chest,31392,0,0.999394962245,True
T3_671:Head,Head,31392,0,0.9992600413949999,True
T3_671:LFArm,LFArm,31392,0,0.962339809444,True
T3_671:LFoot,LFoot,31392,0,0.995690902783,True
T3_671:LHand,LHand,31392,0,0.948074921743,True
T3_671:LIndex1,LIndex1,31392,0,0.916185882519,True
T3_671:LIndex2,LIndex2,31392,0,0.716330997153,True
T3_671:LIndex3,LIndex3,31392,0,0.600004633358,True
T3_671:LMiddle1,LMiddle1,31392,0,0.941024579781,True
T3_671:LMiddle2,LMiddle2,31392,0,0.863378438425,True
T3_671:LMiddle3,LMiddle3,31392,0,0.80598929025,True
T3_671:LPinky1,LPinky1,31392,0,0.9579504447289999,True
T3_671:LPinky2,LPinky2,31392,0,0.957950896374,True
T3_671:LPinky3,LPinky3,31392,0,0.9579507899419999,True
T3_671:LRing1,LRing1,31392,0,0.9536674780759999,True
T3_671:LRing2,LRing2,31392,0,0.9451641503699999,True
T3_671:LRing3,LRing3,31392,0,0.933961864792,True
T3_671:LShin,LShin,31392,0,0.9943380353239999,True
T3_671:LShoulder,LShoulder,31392,0,0.993085748356,True
T3_671:LThigh,LThigh,31392,0,0.994310056334,True
T3_671:LThumb1,LThumb1,31392,0,0.904036444258,True
T3_671:LThumb2,LThumb2,31392,0,0.8347184007839998,True
T3_671:LThumb3,LThumb3,31392,0,0.742061368461,True
T3_671:LToe,LToe,31392,0,0.995789876454,True
T3_671:LUArm,LUArm,31392,0,0.9730163380710001,True
T3_671:Neck,Neck,31392,0,0.999395067606,True
T3_671:Neck2,Neck2,31392,0,0.999355001425,True
T3_671:RFArm,RFArm,31392,0,0.984908557609,True
T3_671:RFoot,RFoot,31392,0,0.9919624303529999,True
T3_671:RHand,RHand,31392,0,0.977327234349,True
T3_671:RIndex1,RIndex1,31392,0,0.9196987650039999,True
T3_671:RIndex2,RIndex2,31392,0,0.7747760611599999,True
T3_671:RIndex3,RIndex3,31392,0,0.688864300677,True
T3_671:RMiddle1,RMiddle1,31392,0,0.95003588267,True
T3_671:RMiddle2,RMiddle2,31392,0,0.881932570099,True
T3_671:RMiddle3,RMiddle3,31392,0,0.841291477761,True
T3_671:RPinky1,RPinky1,31392,0,0.972551509981,True
T3_671:RPinky2,RPinky2,31392,0,0.972551264518,True
T3_671:RPinky3,RPinky3,31392,0,0.9725516253590001,True
T3_671:RRing1,RRing1,31392,0,0.9704505670970001,True
T3_671:RRing2,RRing2,31392,0,0.9536233996869999,True
T3_671:RRing3,RRing3,31392,0,0.942819544727,True
T3_671:RShin,RShin,31392,0,0.997016163456,True
T3_671:RShoulder,RShoulder,31392,0,0.999200169822,True
T3_671:RThigh,RThigh,31392,0,0.9971980915719999,True
T3_671:RThumb1,RThumb1,31392,0,0.973293024354,True
T3_671:RThumb2,RThumb2,31392,0,0.9531560103269999,True
T3_671:RThumb3,RThumb3,31392,0,0.9238224748530002,True
T3_671:RToe,RToe,31392,0,0.992081903804,True
T3_671:RUArm,RUArm,31392,0,0.9932574107380001,True
T3_671:Spine2,Spine2,31392,0,0.9994740802320001,True
T3_671:Spine3,Spine3,31392,0,0.9994713653430001,True
T3_671:Spine4,Spine4,31392,0,0.99944336377,True
T3_671:T3_671,T3_671,31392,0,0.99942180937,True
