joint_id,parent_bone,child_bone,link_group,core_candidate,excluded_candidate,total_frames,max_frame_to_frame_jump,p95_frame_to_frame_jump,p99_frame_to_frame_jump,large_jump_count,large_jump_percent,first_large_jump_frame,jump_status,stage08_may_proceed_for_link
J001,T3_671,Ab,review_provisional,False,False,31392,0.018026901246914733,0.004800336956795259,0.009149450049472698,0,0.0,,pass,True
J002,Spine4,Chest,review_provisional,False,False,31392,0.01852894639598053,0.005468392897755019,0.009723573597455537,0,0.0,,pass,True
J003,Neck2,Head,core_candidate,True,False,31392,0.03085488145504301,0.009775154145102327,0.015106771015270842,0,0.0,,pass,True
J004,LUArm,LFArm,core_candidate,True,False,31392,0.36388768169275976,0.09234076819145504,0.1799949863967769,0,0.0,,pass,True
J005,LShin,LFoot,core_candidate,True,False,31392,0.19004403069078749,0.022734036856003927,0.04435334207694533,0,0.0,,pass,True
J006,LFArm,LHand,core_candidate,True,False,31392,0.8182085932058963,0.060655279420623404,0.12385408839349735,1,0.0031856264534420695,8072.0,warning,True
J007,LHand,LIndex1,excluded,False,True,31392,0.6480093651544921,0.023709956740787345,0.04566020819986785,1,0.0031856264534420695,16102.0,warning,True
J008,LIndex1,LIndex2,excluded,False,True,31392,0.7680029529289848,0.010490764995889294,0.026818506876476172,1,0.0031856264534420695,16102.0,warning,True
J009,LIndex2,LIndex3,excluded,False,True,31392,0.3200014256587701,0.004370836285808515,0.011175573164546074,0,0.0,,pass,True
J010,LHand,LMiddle1,excluded,False,True,31392,0.44300482091814014,0.01643727437706921,0.030775693740710937,0,0.0,,pass,True
J011,LMiddle1,LMiddle2,excluded,False,True,31392,0.511488977628142,0.008320214878230273,0.01979583401378169,1,0.0031856264534420695,16102.0,warning,True
J012,LMiddle2,LMiddle3,excluded,False,True,31392,0.2131211130425882,0.003466724308865251,0.008246830600939515,0,0.0,,pass,True
J013,LHand,LPinky1,excluded,False,True,31392,0.6761434387101645,0.014638361855313002,0.028072208649730344,2,0.006371252906884139,8072.0,warning,True
J014,LPinky1,LPinky2,excluded,False,True,31392,0.09972611297746314,0.011609407667369308,0.023888181735293286,0,0.0,,pass,True
J015,LPinky2,LPinky3,excluded,False,True,31392,0.041551201500337254,0.00483747202568397,0.009954091455379016,0,0.0,,pass,True
J016,LHand,LRing1,excluded,False,True,31392,0.4649545480181583,0.012753579904541967,0.022655541996730776,0,0.0,,pass,True
J017,LRing1,LRing2,excluded,False,True,31392,0.2565137479771792,0.008797469667132206,0.01859342878300795,0,0.0,,pass,True
J018,LRing2,LRing3,excluded,False,True,31392,0.10688072610338824,0.003665273693155162,0.007748693064161056,0,0.0,,pass,True
J019,LThigh,LShin,core_candidate,True,False,31392,0.13843532933468097,0.020387270266797215,0.044874108108720064,0,0.0,,pass,True
J020,Chest,LShoulder,core_candidate,True,False,31392,0.22742262404831426,0.018779144591718193,0.03167359127292103,0,0.0,,pass,True
J021,T3_671,LThigh,core_candidate,True,False,31392,0.19117154336275746,0.024309035813648246,0.04429039140246786,0,0.0,,pass,True
J022,LHand,LThumb1,excluded,False,True,31392,0.5736202735471074,0.03126773477257986,0.06767880454299717,1,0.0031856264534420695,16102.0,warning,True
J023,LThumb1,LThumb2,excluded,False,True,31392,0.3348256000327678,0.02592981661589873,0.05989297195125502,0,0.0,,pass,True
J024,LThumb2,LThumb3,excluded,False,True,31392,0.33482391434079356,0.025929550603045214,0.05989152970034326,0,0.0,,pass,True
J025,LFoot,LToe,excluded,False,True,31392,0.0848080007835456,0.004024317772006036,0.010034772925186017,0,0.0,,pass,True
J026,LShoulder,LUArm,core_candidate,True,False,31392,0.40534503734800836,0.054048317446695034,0.0878202131537154,0,0.0,,pass,True
J027,Chest,Neck,core_candidate,True,False,31392,0.030869913586868948,0.009799838336918294,0.01512334495050624,0,0.0,,pass,True
J028,Neck,Neck2,review_provisional,False,False,31392,0.030847794507142774,0.00977640919788159,0.015103287150289527,0,0.0,,pass,True
J029,RUArm,RFArm,core_candidate,True,False,31392,0.3082039989043401,0.0508926223895358,0.09603928328546997,0,0.0,,pass,True
J030,RShin,RFoot,core_candidate,True,False,31392,0.19670221722376585,0.023428176436031595,0.06108491198948797,0,0.0,,pass,True
J031,RFArm,RHand,core_candidate,True,False,31392,0.47544969432286815,0.04777645800672138,0.09725478202806247,0,0.0,,pass,True
J032,RHand,RIndex1,excluded,False,True,31392,0.5683037541608051,0.014937837880186516,0.02597147374679,1,0.0031856264534420695,16102.0,warning,True
J033,RIndex1,RIndex2,excluded,False,True,31392,0.6550975189084839,0.014581994556742908,0.02608044155984068,1,0.0031856264534420695,16102.0,warning,True
J034,RIndex2,RIndex3,excluded,False,True,31392,0.2729551330330527,0.006075805712117795,0.01086708970139544,0,0.0,,pass,True
J035,RHand,RMiddle1,excluded,False,True,31392,0.38771359308355025,0.00895268105887904,0.016081548717596695,0,0.0,,pass,True
J036,RMiddle1,RMiddle2,excluded,False,True,31392,0.43054850413144374,0.008697469561793274,0.015109935464612317,0,0.0,,pass,True
J037,RMiddle2,RMiddle3,excluded,False,True,31392,0.17939809387118735,0.003625008884937034,0.00629512679509747,0,0.0,,pass,True
J038,RHand,RPinky1,excluded,False,True,31392,0.22570302615585427,0.021967989180117525,0.03539058892470156,0,0.0,,pass,True
J039,RPinky1,RPinky2,excluded,False,True,31392,0.12814373865028372,0.024707584734398443,0.039626127461476375,0,0.0,,pass,True
J040,RPinky2,RPinky3,excluded,False,True,31392,0.05339140556298609,0.010295583196353025,0.016511731882668332,0,0.0,,pass,True
J041,RHand,RRing1,excluded,False,True,31392,0.24512041946133506,0.013568510538821708,0.02156966020704036,0,0.0,,pass,True
J042,RRing1,RRing2,excluded,False,True,31392,0.20734515876153511,0.014835337690276595,0.024738326765213356,0,0.0,,pass,True
J043,RRing2,RRing3,excluded,False,True,31392,0.08639501523921775,0.00617916276372184,0.010307840022462676,0,0.0,,pass,True
J044,RThigh,RShin,core_candidate,True,False,31392,0.11942149548577309,0.02022598736123893,0.044180106932933255,0,0.0,,pass,True
J045,Chest,RShoulder,core_candidate,True,False,31392,0.06864749409888296,0.01715922788443545,0.028279859931206325,0,0.0,,pass,True
J046,T3_671,RThigh,core_candidate,True,False,31392,0.11093564401918493,0.023475149916671125,0.04298216148091937,0,0.0,,pass,True
J047,RHand,RThumb1,excluded,False,True,31392,0.205714508416918,0.023178846915989215,0.04674228272143008,0,0.0,,pass,True
J048,RThumb1,RThumb2,excluded,False,True,31392,0.19651845406527904,0.014344970836115738,0.0335121429226321,0,0.0,,pass,True
J049,RThumb2,RThumb3,excluded,False,True,31392,0.19651608132521342,0.014344994039030244,0.03351299319834952,0,0.0,,pass,True
J050,RFoot,RToe,excluded,False,True,31392,0.043520500000928164,0.00480520920644064,0.011019260850448284,0,0.0,,pass,True
J051,RShoulder,RUArm,core_candidate,True,False,31392,0.23139928643136168,0.04964763581976897,0.08861826654096612,0,0.0,,pass,True
J052,Ab,Spine2,review_provisional,False,False,31392,0.01853262992902399,0.005467309819070979,0.00972640682865531,0,0.0,,pass,True
J053,Spine2,Spine3,review_provisional,False,False,31392,0.01854215332121552,0.005474960845337167,0.009732719910702688,0,0.0,,pass,True
J054,Spine3,Spine4,review_provisional,False,False,31392,0.018530200147446663,0.005469721196832843,0.009724759725425733,0,0.0,,pass,True
