link_id,parent_canonical,child_canonical,feature_scope,stage08_policy,stage07_jump_status,stage07_branch_cut_status,total_frames,filter_applied_frames,jump_event_frames,jump_context_frames,analysis_eligible_frames,stage08_filter_status,cutoff_hz,filter_order,sampling_rate_hz,min_filtfilt_length
J001,T3_671,Ab,review_provisional,manual_review_required,pass,pass,31392,31392,0,0,0,provisional_manual_review,10.0,4,120.00480019200238,10
J002,Spine4,Chest,review_provisional,manual_review_required,pass,pass,31392,31392,0,0,0,provisional_manual_review,10.0,4,120.00480019200238,10
J003,Neck2,Head,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J004,LUArm,LFArm,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J005,LShin,LFoot,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J006,LFArm,LHand,core_candidate,allow_filter_with_warning,warning,pass,31392,31392,1,61,31331,filtered_but_jump_context_masked,10.0,4,120.00480019200238,10
J007,LHand,LIndex1,excluded_distal,excluded_from_analysis,warning,pass,31392,31392,1,61,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J008,LIndex1,LIndex2,excluded_distal,excluded_from_analysis,warning,pass,31392,31392,1,61,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J009,LIndex2,LIndex3,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J010,LHand,LMiddle1,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J011,LMiddle1,LMiddle2,excluded_distal,excluded_from_analysis,warning,pass,31392,31392,1,61,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J012,LMiddle2,LMiddle3,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J013,LHand,LPinky1,excluded_distal,excluded_from_analysis,warning,pass,31392,31392,2,122,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J014,LPinky1,LPinky2,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J015,LPinky2,LPinky3,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J016,LHand,LRing1,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J017,LRing1,LRing2,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J018,LRing2,LRing3,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J019,LThigh,LShin,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J020,Chest,LShoulder,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J021,T3_671,LThigh,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J022,LHand,LThumb1,excluded_distal,excluded_from_analysis,warning,pass,31392,31392,1,61,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J023,LThumb1,LThumb2,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J024,LThumb2,LThumb3,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J025,LFoot,LToe,excluded_toe,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J026,LShoulder,LUArm,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J027,Chest,Neck,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J028,Neck,Neck2,review_provisional,manual_review_required,pass,pass,31392,31392,0,0,0,provisional_manual_review,10.0,4,120.00480019200238,10
J029,RUArm,RFArm,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J030,RShin,RFoot,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J031,RFArm,RHand,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J032,RHand,RIndex1,excluded_distal,excluded_from_analysis,warning,pass,31392,31392,1,61,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J033,RIndex1,RIndex2,excluded_distal,excluded_from_analysis,warning,pass,31392,31392,1,61,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J034,RIndex2,RIndex3,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J035,RHand,RMiddle1,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J036,RMiddle1,RMiddle2,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J037,RMiddle2,RMiddle3,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J038,RHand,RPinky1,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J039,RPinky1,RPinky2,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J040,RPinky2,RPinky3,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J041,RHand,RRing1,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J042,RRing1,RRing2,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J043,RRing2,RRing3,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J044,RThigh,RShin,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J045,Chest,RShoulder,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J046,T3_671,RThigh,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J047,RHand,RThumb1,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J048,RThumb1,RThumb2,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J049,RThumb2,RThumb3,excluded_distal,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J050,RFoot,RToe,excluded_toe,excluded_from_analysis,pass,pass,31392,31392,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J051,RShoulder,RUArm,core_candidate,allow_filter,pass,pass,31392,31392,0,0,31392,pass,10.0,4,120.00480019200238,10
J052,Ab,Spine2,review_provisional,manual_review_required,pass,pass,31392,31392,0,0,0,provisional_manual_review,10.0,4,120.00480019200238,10
J053,Spine2,Spine3,review_provisional,manual_review_required,pass,pass,31392,31392,0,0,0,provisional_manual_review,10.0,4,120.00480019200238,10
J054,Spine3,Spine4,review_provisional,manual_review_required,pass,pass,31392,31392,0,0,0,provisional_manual_review,10.0,4,120.00480019200238,10
