session_id,run_label,skeleton_template,link_id,parent_canonical,child_canonical,feature_scope,included_in_v0,requires_manual_review,stage08_policy,stage08_output_scope,n_total_frames,n_native_finite_frames,n_analysis_eligible_frames,n_analysis_nan_frames,n_jump_context_frames,n_stage07_jump_frames,n_stage07_warning_frames,n_stage07_fail_frames,n_layer2_masked_frames,percent_analysis_eligible,recommended_segmentation_default,short_explanation
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J001,T3_671,Ab,review_provisional,False,True,manual_review_required,review_provisional,31392,31392,0,31392,0,0,0,0,31392,0.0,manual_review,Provisional trunk/spine or manual-review link; not a frozen core candidate.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J002,Spine4,Chest,review_provisional,False,True,manual_review_required,review_provisional,31392,31392,0,31392,0,0,0,0,31392,0.0,manual_review,Provisional trunk/spine or manual-review link; not a frozen core candidate.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J003,Neck2,Head,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J004,LUArm,LFArm,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J005,LShin,LFoot,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J006,LFArm,LHand,core_candidate,True,False,allow_filter_with_warning,analysis_clean_core,31392,31392,31331,61,61,1,31392,0,61,99.8057,include_with_caution,Core candidate with mostly analysis-eligible frames; jump-context masking present; Stage 07 warning frames present.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J007,LHand,LIndex1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,61,1,31392,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J008,LIndex1,LIndex2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,61,1,31392,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J009,LIndex2,LIndex3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J010,LHand,LMiddle1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J011,LMiddle1,LMiddle2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,61,1,31392,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J012,LMiddle2,LMiddle3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J013,LHand,LPinky1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,122,2,31392,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J014,LPinky1,LPinky2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J015,LPinky2,LPinky3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J016,LHand,LRing1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J017,LRing1,LRing2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J018,LRing2,LRing3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J019,LThigh,LShin,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J020,Chest,LShoulder,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J021,T3_671,LThigh,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J022,LHand,LThumb1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,61,1,31392,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J023,LThumb1,LThumb2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J024,LThumb2,LThumb3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J025,LFoot,LToe,excluded_toe,False,True,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J026,LShoulder,LUArm,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J027,Chest,Neck,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J028,Neck,Neck2,review_provisional,True,False,manual_review_required,review_provisional,31392,31392,0,31392,0,0,0,0,31392,0.0,manual_review,Provisional trunk/spine or manual-review link; not a frozen core candidate.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J029,RUArm,RFArm,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J030,RShin,RFoot,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J031,RFArm,RHand,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J032,RHand,RIndex1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,61,1,31392,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J033,RIndex1,RIndex2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,61,1,31392,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J034,RIndex2,RIndex3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J035,RHand,RMiddle1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J036,RMiddle1,RMiddle2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J037,RMiddle2,RMiddle3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J038,RHand,RPinky1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J039,RPinky1,RPinky2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J040,RPinky2,RPinky3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J041,RHand,RRing1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J042,RRing1,RRing2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J043,RRing2,RRing3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J044,RThigh,RShin,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J045,Chest,RShoulder,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J046,T3_671,RThigh,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J047,RHand,RThumb1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J048,RThumb1,RThumb2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J049,RThumb2,RThumb3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J050,RFoot,RToe,excluded_toe,False,True,excluded_from_analysis,excluded_from_analysis,31392,31392,0,31392,0,0,0,0,31392,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J051,RShoulder,RUArm,core_candidate,True,False,allow_filter,analysis_clean_core,31392,31392,31392,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J052,Ab,Spine2,review_provisional,False,True,manual_review_required,review_provisional,31392,31392,0,31392,0,0,0,0,31392,0.0,manual_review,Provisional trunk/spine or manual-review link; not a frozen core candidate.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J053,Spine2,Spine3,review_provisional,False,True,manual_review_required,review_provisional,31392,31392,0,31392,0,0,0,0,31392,0.0,manual_review,Provisional trunk/spine or manual-review link; not a frozen core candidate.
671_T3_P1_R2,671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Biomech (57),J054,Spine3,Spine4,review_provisional,False,True,manual_review_required,review_provisional,31392,31392,0,31392,0,0,0,0,31392,0.0,manual_review,Provisional trunk/spine or manual-review link; not a frozen core candidate.
