check_name,status,details
stage08_parquet_exists,pass,outputs/671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001/08_filtered_rotvecs/filtered_relative_rotation_vectors.parquet
required_columns_exist,pass,all present
row_count_gt_zero,pass,rows=1530200
frame_count_matches_stage08_report,pass,"parquet_frames=30604, session_manifest_frames=30604"
run_label_present_and_unique,pass,unique_run_labels=['671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001']
link_id_present,pass,missing_link_id_rows=0
no_duplicate_frame_link_rows,pass,duplicate_rows=0
native_filtered_columns_exist,pass,present
analysis_clean_columns_exist,pass,present
analysis_clean_nan_when_ineligible,pass,finite_values_on_ineligible_rows=0
excluded_links_not_analysis_eligible,pass,eligible_rows_on_excluded_links=0
review_links_not_silently_core,pass,review_links_marked_candidate_include=[]
jump_context_rows_analysis_ineligible,pass,eligible_rows_in_jump_context=0
link_manifest_joins_to_parquet,pass,parquet_only=[]; manifest_only=[]
no_layer3_ready_claim,pass,no forbidden claims
