relative_path,size_bytes,checksum,possible_duplicate_group,duplicate_of,confidence,recommendation,notes
Layer2_Motive_Kinematics/outputs/671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,853467848,sample:88df921045346ecd7ff0d223350399fc8e2983caf9a45b08fa22fe2aa06ea327,l2_671_671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,high,unknown,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/archive/671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,770047419,sample:de9857f48cd5f857315eea9d354b8afe16bb34b1d7f0e3b7ceab053465070db8,l2_671_671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,high,verify_manually,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001/08_filtered_rotvecs/stage08_flag_report.csv,205722262,a5393342bff4ea4eb68aa17d2926e8c37f163d035e1b694cdba712989aee2be5,l2_671_671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,high,unknown,full_sha256
Layer2_Motive_Kinematics/outputs/671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001/07_rotation_vectors/relative_rotation_vectors.csv,444916560,62a91a818678894a5ce014b9c2b1983cf5c5e4dbc97d79052f33148db3a1878d,l2_671_671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Layer2_Motive_Kinematics/outputs/archive/671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001/07_rotation_vectors/relative_rotation_vectors.csv,high,unknown,full_sha256
Layer2_Motive_Kinematics/outputs/archive/671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001/07_rotation_vectors/relative_rotation_vectors.csv,444916560,62a91a818678894a5ce014b9c2b1983cf5c5e4dbc97d79052f33148db3a1878d,l2_671_671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Layer2_Motive_Kinematics/outputs/671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001/07_rotation_vectors/relative_rotation_vectors.csv,high,archive_later,full_sha256
Layer2_Motive_Kinematics/outputs/671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,835147873,sample:df2bfce51b4ba066117008efc7ff334cd7ff1263de3893aab522334b6d4c6a52,l2_671_671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003,,high,unknown,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/archive/671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,728751704,sample:5adf9122c4f1fe826eba4b8bac2411c12d786c570eea494be4234351e68c1614,l2_671_671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003,,high,verify_manually,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003/08_filtered_rotvecs/stage08_flag_report.csv,202457462,ef5c493891789e8e972a18044c858fd2547c09a454e89175703006ac643c41d0,l2_671_671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003,,high,unknown,full_sha256
Layer2_Motive_Kinematics/outputs/671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003/07_rotation_vectors/relative_rotation_vectors.csv,436369795,149afe88a7f44fb05a6e97ea0fbf30e17766c3c5af36ad74d5b0e5043fd2e0d6,l2_671_671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003,Layer2_Motive_Kinematics/outputs/archive/671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003/07_rotation_vectors/relative_rotation_vectors.csv,high,unknown,full_sha256
Layer2_Motive_Kinematics/outputs/archive/671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003/07_rotation_vectors/relative_rotation_vectors.csv,436369795,149afe88a7f44fb05a6e97ea0fbf30e17766c3c5af36ad74d5b0e5043fd2e0d6,l2_671_671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003,Layer2_Motive_Kinematics/outputs/671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003/07_rotation_vectors/relative_rotation_vectors.csv,high,archive_later,full_sha256
Layer2_Motive_Kinematics/outputs/671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,842809381,sample:d1fa6c697c8d42e3b831b9186d0b816aeb80c795e19e6e469008f76879ecd03e,l2_671_671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,,high,unknown,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/archive/671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,736310760,sample:406f9543b26c9a498dcad46642d9a1abda5cda8ed068c1d6036d43a486b4021a,l2_671_671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,,high,verify_manually,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005/08_filtered_rotvecs/stage08_flag_report.csv,203879062,99c934a3521244d8ef8733b79a7707e7852418f30b065ffd296a3102b4b9e6be,l2_671_671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,,high,unknown,full_sha256
Layer2_Motive_Kinematics/outputs/671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005/07_rotation_vectors/relative_rotation_vectors.csv,439994761,06a9876784281f826c6b2c0260fcd322181916f623aaf5242aa359d86b94269f,l2_671_671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Layer2_Motive_Kinematics/outputs/archive/671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005/07_rotation_vectors/relative_rotation_vectors.csv,high,unknown,full_sha256
Layer2_Motive_Kinematics/outputs/archive/671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005/07_rotation_vectors/relative_rotation_vectors.csv,439994761,06a9876784281f826c6b2c0260fcd322181916f623aaf5242aa359d86b94269f,l2_671_671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Layer2_Motive_Kinematics/outputs/671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005/07_rotation_vectors/relative_rotation_vectors.csv,high,archive_later,full_sha256
Layer2_Motive_Kinematics/outputs/671_T2_P1_R2_Take_2026-01-15_04.35.25_PM_009/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,840614921,sample:8d8cdca8b2ad961c216eb3e732837de8a3e4eea5a906cdece79c2f66107ece07,l2_671_671_T2_P1_R2_Take_2026-01-15_04.35.25_PM_009,,high,unknown,sampled_checksum_large_file; partial hash only
