relative_path,size_bytes,size_mb,extension,top_level_folder,modified_time,likely_category,tracked_by_git,notes
.DS_Store,24580,0.0234,(none),.DS_Store,2026-06-30 22:02:14,temporary_cache,no,
README.md,6838,0.0065,.md,README.md,2026-06-23 12:32:10,documentation,yes,
.gitignore,1632,0.0016,(none),.gitignore,2026-06-23 22:36:24,unknown,yes,
LAYER1_RAW_MARKER_QC_AUDIT_REPORT.md,77004,0.0734,.md,LAYER1_RAW_MARKER_QC_AUDIT_REPORT.md,2026-06-23 17:19:55,documentation,yes,
LAYER2_5_PROGRAM_AUDIT_REPORT.md,67915,0.0648,.md,LAYER2_5_PROGRAM_AUDIT_REPORT.md,2026-06-23 18:58:45,documentation,yes,
LAYER2_5_CRITICAL_FIXES_IMPLEMENTATION_REPORT.md,8442,0.0081,.md,LAYER2_5_CRITICAL_FIXES_IMPLEMENTATION_REPORT.md,2026-06-23 19:34:37,documentation,yes,
Layer3_JcvPCA/.DS_Store,10244,0.0098,(none),Layer3_JcvPCA,2026-06-26 23:41:14,temporary_cache,no,
Layer3_JcvPCA/graph_enhancment_plan.md,20174,0.0192,.md,Layer3_JcvPCA,2026-06-27 12:53:30,documentation,no,
Layer3_JcvPCA/backend_readiness_report.md,5279,0.005,.md,Layer3_JcvPCA,2026-06-24 00:31:07,documentation,yes,
Layer3_JcvPCA/pyproject.toml,697,0.0007,.toml,Layer3_JcvPCA,2026-06-24 00:32:44,config,yes,
Layer3_JcvPCA/cursor_gaga_jcvpca_implementation_plan_with_addendum.md,62779,0.0599,.md,Layer3_JcvPCA,2026-06-26 16:57:26,documentation,no,
Layer3_JcvPCA/prompt_to_build_plan.md,10117,0.0096,.md,Layer3_JcvPCA,2026-06-23 16:30:16,documentation,yes,
Layer3_JcvPCA/README.md,21194,0.0202,.md,Layer3_JcvPCA,2026-06-30 21:54:08,documentation,yes,
Layer3_JcvPCA/3_layers_Matser_plan_Full/.DS_Store,6148,0.0059,(none),Layer3_JcvPCA,2026-06-23 14:19:30,temporary_cache,no,
Layer3_JcvPCA/3_layers_Matser_plan_Full/MASTER_PLAN_V5_1_CURSOR_SCOPE_ADDENDUM.md,10691,0.0102,.md,Layer3_JcvPCA,2026-06-19 14:32:16,documentation,yes,
Layer3_JcvPCA/3_layers_Matser_plan_Full/LAYER3_JCVPCA_PSEUDOCODE.md,13936,0.0133,.md,Layer3_JcvPCA,2026-06-23 14:10:48,documentation,yes,
Layer3_JcvPCA/3_layers_Matser_plan_Full/MASTER_PLAN.md,22721,0.0217,.md,Layer3_JcvPCA,2026-06-13 13:36:10,documentation,yes,
Layer3_JcvPCA/3_layers_Matser_plan_Full/jvcPCA_elborated_implmentationPlan_w_movementTaskGroups.html,33250,0.0317,.html,Layer3_JcvPCA,2026-06-23 12:33:18,documentation,yes,
Layer3_JcvPCA/config/layer3_config_sample.yaml,446,0.0004,.yaml,Layer3_JcvPCA,2026-06-23 16:46:18,config,yes,
Layer3_JcvPCA/config/layer3_config.yaml,1562,0.0015,.yaml,Layer3_JcvPCA,2026-06-23 16:46:18,config,yes,
Layer3_JcvPCA/config/sample_dry_validate_manifest.csv,284,0.0003,.csv,Layer3_JcvPCA,2026-06-23 16:46:18,config,yes,
Layer3_JcvPCA/config/layer3_analysis_manifest_template.csv,758,0.0007,.csv,Layer3_JcvPCA,2026-06-23 16:46:18,config,yes,
Layer3_JcvPCA/references/.DS_Store,10244,0.0098,(none),Layer3_JcvPCA,2026-06-23 22:52:53,temporary_cache,no,
Layer3_JcvPCA/references/S1_File.py,10426,0.0099,.py,Layer3_JcvPCA,2024-02-19 17:36:48,reference_data,yes,
