relative_path,size_mb,file_count,git_status,largest_file_types,largest_file_examples,likely_role,risk_level,recommendation,reason,notes
Layer2_Motive_Kinematics/outputs,54938.8,1775,tracked(775)+mixed_ignore,".csv:44667MB; .parquet:9197MB; .md:1MB; .json:0MB; (no_ext):0MB","986.7MB|Layer2_Motive_Kinematics/outputs/252_T3_P1_R2_Take_2026-06-09_05.04.14_PM_001/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv; 973.9MB|Layer2_Motive_Kinematics/outputs/252_T1_P1_R2_Take_2026-04-28_04.15.00_PM_002/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv; 973.8MB|Layer2_Motive_Kinematics/outputs/252_T2_P1_R1_Take_2026-04-26_06.09.29_PM_001/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv",generated reproducible output,high,keep until poster submission,"Combined Layer 2 session trees (~31 GB active) + archive (~22 GB) + indices/exports; upstream to Layer 2.5/3","775 files still in Git index; *_Take_* gitignored for new adds only"
Layer2_Motive_Kinematics/outputs/active_sessions_aggregate,31346.0,852,mixed:671 tracked legacy;252 gitignored,".csv:26800MB; .parquet:4453MB; .md:0MB","986.7MB|252_T3_P1_R2 session filtered_relative_rotation_vectors.csv; 973.9MB|252_T1_P1_R2 session; 973.8MB|252_T2_P1_R1 session",generated reproducible output,high,keep until poster submission,"12 current *_Take_* session output trees for participants 671 and 252","Regeneratable via layer2-motive but expensive; 671 folders historically tracked"
Layer2_Motive_Kinematics/outputs/archive,22543.2,852,tracked(389),".csv:18596MB; .parquet:3945MB; .md:0MB; .json:0MB","792.8MB|outputs/archive/audit_rerun_T3_P1_R1/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv; 784.6MB|outputs/archive/671_T3_P1_R1_Take.../filtered_relative_rotation_vectors.csv; 782.0MB|outputs/archive/audit_rerun_T3_P1_R2/...",old archive,medium,move outside repo,"Stage C target; historical audit reruns and superseded session copies","~22 GB; 389 tracked files; deferred in Stage B move plan"
Layer3_JcvPCA/outputs,3623.3,27595,tracked(2)+ignored_bulk,".parquet:2139MB; .csv:1012MB; .npy:334MB; .png:107MB; .json:27MB","13.9MB|gaga_batch_193319/.../dataset_A_preview.csv; 13.9MB|.../dataset_B_preview.csv; 13.6MB|.../dataset_A_preview.csv",generated reproducible output,high,keep until poster submission,"Parent of canonical batch and poster evidence; mostly batch 193319","Non-batch subfolders are small (workbench ~6 MB total)"
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319,3608.3,27339,ignored,".parquet:2136MB; .csv:1003MB; .npy:334MB; .png:105MB; .json:27MB","13.9MB|comparisons/252_A_L3_T2_vs_T3/construction/dataset_A_preview.csv; 13.9MB|252_A_L1_T1_vs_T2/.../dataset_B_preview.csv; 13.6MB|252_A_L2_T1_vs_T3/.../dataset_A_preview.csv",active canonical output,high,keep active,"Canonical Layer 3 batch confirmed in Stage A; hard-coded in poster scripts","Gitignored; regeneratable from Layer 2.5 exports + run_gaga_batch_jcvpca.py"
Layer2.5_Segmentation/outputs,1205.9,827,tracked(15)+mixed,".csv:690MB; .parquet:432MB; .gz:82MB; .json:1MB; .md:0MB","82.3MB|pre_jvcpca_review/_archive/pre_jvcpca_review_671_252_20260626_181500.tar.gz; 28.8MB|252/.../window_joint_frame_flag_log.csv; 28.4MB|252/.../window_joint_frame_flag_log.csv",generated reproducible output,high,keep until poster submission,"Layer 3 input matrices and review exports for 671/252","Participant export dirs gitignored; session_index etc. still visible"
Layer2.5_Segmentation/outputs/pre_jvcpca_review,1205.9,824,tracked(14)+mixed,".csv:690MB; .parquet:432MB; .gz:82MB; .json:1MB","82.3MB|_archive/pre_jvcpca_review_671_252_20260626_181500.tar.gz; 28.8MB|252 export flag log; 28.4MB|252 export flag log",active canonical output,high,keep active,"Canonical g4 export windows feed Layer 3 batch 193319","671/252 bulk gitignored in B.6"
Layer2.5_Segmentation/outputs/pre_jvcpca_review/_archive,299.6,301,ignored,".csv:129MB; .parquet:87MB; .gz:82MB; .json:0MB","82.3MB|pre_jvcpca_review_671_252_20260626_181500.tar.gz; 15.3MB|671_T2_P1_R2/.../window_joint_frame_flag_log.csv; 15.1MB|671_T1_P1_R1/.../window_joint_frame_flag_log.csv",old archive,low,move to internal archive,"2026-06-26 batch refresh snapshot; superseded by active participant exports","Gitignored; safe reference; optional move with top-level archive/"
archive,2058.6,8432,ignored,".csv:1022MB; .parquet:899MB; .npy:99MB; .png:29MB; .json:8MB","134.0MB|layer2_5_scratch_archive/reevluate_project/layer2_session_filtered_rotvecs.parquet; 134.0MB|.../filtered_relative_rotation_vectors.parquet; 62.7MB|.../combined_qc_events.csv",old archive,low,move outside repo,"Stage B cleanup archive; superseded Layer 3 batches + Layer 2.5 scratch","Gitignored; candidate Stage B.10; documented in move_log.csv"
archive/2026-06-30_cleanup_stage_B,2058.6,8432,ignored,".csv:1022MB; .parquet:899MB; .npy:99MB; .png:29MB","134.0MB|layer2_5_scratch_archive/reevluate_project/layer2_session_filtered_rotvecs.parquet; 134.0MB|.../filtered_relative_rotation_vectors.parquet; 62.7MB|.../combined_qc_events.csv",old archive,low,move outside repo,"Same content as archive/ root","Created Stage B 2026-06-30"
