path,size_mb,role,duplicate_status,scientific_risk,needed_for_poster,needed_for_current_analysis,recommendation,notes
Layer2_Motive_Kinematics/outputs/archive/,22543.2,Layer 2 historical archive aggregate,mixed_not_byte_identical,medium,no,no,move outside repo after poster submission,~852 files; 389 Git-tracked legacy; gitignored for new adds
Layer2_Motive_Kinematics/outputs/archive/671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001/,1844.5,Archived 671 session tree,stage07_identical_stage08_differs,low,no,no,move with parent after poster,Active session 508MB larger; stage08 filtered CSV differs (newer pipeline on active)
Layer2_Motive_Kinematics/outputs/archive/671_T1_P1_R2_Take_2026-01-06_03.57.12_PM_003/,1786.0,Archived 671 session tree,stage07_identical_stage08_differs,low,no,no,move with parent after poster,Active 524MB larger; stage07 match per Stage A SHA256
Layer2_Motive_Kinematics/outputs/archive/671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005/,1800.0,Archived 671 session tree,stage07_identical_stage08_differs,low,no,no,move with parent after poster,Active 527MB larger; stage07 match
Layer2_Motive_Kinematics/outputs/archive/671_T2_P1_R2_Take_2026-01-15_04.35.25_PM_009/,1800.0,Archived 671 session tree,stage07_identical_stage08_differs,low,no,no,move with parent after poster,Active 528MB larger; stage07 match
Layer2_Motive_Kinematics/outputs/archive/671_T3_P1_R1_Take_2026-02-03_08.05.01_PM_000/,2032.3,Archived 671 session tree,stage07_AND_stage08_differ,medium,no,no,move with parent after poster + document diff,ONLY session where stage07 SHA256 differs active vs archive; review before move
Layer2_Motive_Kinematics/outputs/archive/671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005/,2019.6,Archived 671 session tree,stage07_identical_stage08_differs,low,no,no,move with parent after poster,Active 610MB larger; stage07 match
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T1_P1_R1/,1797.8,Layer 2 QC audit rerun (Jun 2026),unique_no_active_counterpart,medium,no,no,move with parent after poster,Documented in LAYER2_KINEMATIC_CHAIN_QC_AUDIT_2026-06-23.md; audit trail only
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T1_P1_R2/,1762.9,Layer 2 QC audit rerun,unique_no_active_counterpart,medium,no,no,move with parent after poster,Same audit series
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T2_P1_R1/,1776.8,Layer 2 QC audit rerun,unique_no_active_counterpart,medium,no,no,move with parent after poster,Same audit series
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T2_P1_R2/,1776.8,Layer 2 QC audit rerun,unique_no_active_counterpart,medium,no,no,move with parent after poster,Same audit series
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T3_P1_R1/,2018.5,Layer 2 QC audit rerun,unique_no_active_counterpart,medium,no,no,move with parent after poster,Same audit series; largest audit folder
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T3_P1_R2/,1993.7,Layer 2 QC audit rerun,unique_no_active_counterpart,medium,no,no,move with parent after poster,Same audit series
Layer2_Motive_Kinematics/outputs/archive/layer2_exports/,134.0,Old Layer 2 parquet export bundle,superseded_by_active_layer2_exports,low,no,no,move with parent after poster,Active exports at outputs/layer2_exports/ (~1GB); session_index skips archive paths
Layer2_Motive_Kinematics/outputs/archive/*.csv and stage index files (root),~5,Historical stage indices and QC manifests,superseded_by_active_outputs_indices,low,no,no,move with parent after poster,27 root files; active outputs/ has current stage00-08 indices
Layer2_Motive_Kinematics/outputs/*_Take_* (12 active sessions),31346.0,Active Layer 2 session outputs,canonical_for_pipeline,high,no,yes,keep active,671 (6) + 252 (6); feeds Layer 2.5 via session_index (skips archive)
Layer2_Motive_Kinematics/outputs/layer2_exports/,1049.5,Active Layer 2 export bundle for Layer 2.5,canonical_for_pipeline,medium,no,yes,keep active,Gitignored; referenced in layer2_session_summary.json export paths
Layer2.5_Segmentation/outputs/pre_jvcpca_review/,1205.9,Layer 2.5 review/export tree,canonical_for_layer3,high,no,yes,keep active,Feeds batch 193319; not from L2 archive
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319/,3608.3,Canonical Layer 3 batch,canonical,high,yes,yes,keep active,Hard-coded in poster scripts; built from L2.5 exports not L2 archive
Layer3_JcvPCA/outputs/poster_ready_evidence_package/,1.0,Poster evidence CSVs,canonical,high,yes,no,keep active,Primary poster script input
outputs/poster_final_figures/,13.1,Poster figure outputs,canonical,high,yes,no,keep active,Scripts write here; CSV/MD tracked
