participant_id,comparison_label,focus_mode,anatomical_family,relative_family_share,n_links_in_family,family_rank,top_link_in_family,appears_in_p50,appears_in_p60
252,T1_vs_T2,functional_p50,proximal_upper_limb,0.3107347450918307,2,1.0,RUArm_to_RFArm,True,False
252,T1_vs_T2,functional_p50,shoulder_chain,0.27813588090027,4,2.0,RShoulder_to_RUArm,True,False
252,T1_vs_T2,functional_p50,lower_limb,0.2261141258037156,4,3.0,LThigh_to_LShin,True,False
252,T1_vs_T2,functional_p50,pelvis_root,0.0955516044221036,2,4.0,252_to_RThigh,True,False
252,T1_vs_T2,functional_p50,distal_upper_limb,0.0725762107298277,2,5.0,RFArm_to_RHand,True,False
252,T1_vs_T2,functional_p50,trunk_neck_head,0.0168874330522522,2,6.0,Neck_to_Head,True,False
252,T1_vs_T2,null_space_after_p50,shoulder_chain,0.2952527355842529,4,1.0,RShoulder_to_RUArm,True,False
252,T1_vs_T2,null_space_after_p50,lower_limb,0.2698494794171461,4,2.0,LThigh_to_LShin,True,False
252,T1_vs_T2,null_space_after_p50,proximal_upper_limb,0.1793082317140109,2,3.0,RUArm_to_RFArm,True,False
252,T1_vs_T2,null_space_after_p50,pelvis_root,0.1368029740115557,2,4.0,252_to_LThigh,True,False
252,T1_vs_T2,null_space_after_p50,distal_upper_limb,0.0620594930896063,2,5.0,LFArm_to_LHand,True,False
252,T1_vs_T2,null_space_after_p50,trunk_neck_head,0.0567270861834277,2,6.0,Chest_to_Neck,True,False
671,T1_vs_T2,functional_p50,distal_upper_limb,0.3545217603505177,2,1.0,LFArm_to_LHand,True,False
671,T1_vs_T2,functional_p50,shoulder_chain,0.2633098257033899,4,2.0,RShoulder_to_RUArm,True,False
671,T1_vs_T2,functional_p50,proximal_upper_limb,0.2333052372744473,2,3.0,LUArm_to_LFArm,True,False
671,T1_vs_T2,functional_p50,lower_limb,0.1033127264723989,4,4.0,LShin_to_LFoot,True,False
671,T1_vs_T2,functional_p50,trunk_neck_head,0.045550450199246,2,5.0,Neck_to_Head,True,False
671,T1_vs_T2,null_space_after_p50,lower_limb,0.343990262835287,4,1.0,LThigh_to_LShin,True,False
671,T1_vs_T2,null_space_after_p50,shoulder_chain,0.2675977245870751,4,2.0,LShoulder_to_LUArm,True,False
671,T1_vs_T2,null_space_after_p50,distal_upper_limb,0.1644326309739316,2,3.0,LFArm_to_LHand,True,False
671,T1_vs_T2,null_space_after_p50,proximal_upper_limb,0.1570134348019486,2,4.0,LUArm_to_LFArm,True,False
671,T1_vs_T2,null_space_after_p50,trunk_neck_head,0.0669659468017575,2,5.0,Neck_to_Head,True,False
