comparison,participant_id,block_label,focus_mode,percent_sign_agreement_all_links,percent_sign_agreement_top5_pooled_links,spearman_rho_delta,spearman_rho_abs_rank
T1_vs_T2,671,all_P1_P2_P3_P4_P5,all,64.28571428571429,80.0,0.4725274725274725,0.2175824175824176
T1_vs_T2,671,all_P1_P2_P3_P4_P5,all,64.28571428571429,80.0,0.3758241758241759,0.5428571428571429
T1_vs_T2,671,all_P1_P2_P3_P4_P5,all,50.0,60.0,0.2263736263736263,0.2967032967032967
T1_vs_T2,671,all_P1_P2_P3_P4_P5,all,64.28571428571429,80.0,0.5164835164835165,0.2747252747252747
T1_vs_T2,671,P3_P4_P5,all,71.42857142857143,100.0,0.6351648351648352,0.6131868131868132
T1_vs_T2,671,P3_P4_P5,all,57.14285714285714,60.0,0.0725274725274725,0.5076923076923077
T1_vs_T2,671,P3_P4_P5,all,57.14285714285714,60.0,0.3098901098901099,0.4593406593406593
T1_vs_T2,671,P3_P4_P5,all,64.28571428571429,40.0,0.3010989010989011,-0.2659340659340659
T1_vs_T2,252,all_P1_P2_P3_P4_P5,all,50.0,60.0,0.1823529411764705,0.1911764705882352
T1_vs_T2,252,all_P1_P2_P3_P4_P5,all,62.5,80.0,0.3470588235294117,0.0323529411764705
T1_vs_T2,252,all_P1_P2_P3_P4_P5,all,50.0,80.0,0.0529411764705882,-0.0911764705882352
T1_vs_T2,252,all_P1_P2_P3_P4_P5,all,62.5,40.0,0.0411764705882353,-0.0499999999999999
T1_vs_T2,252,P3_P4_P5,all,62.5,60.0,0.0823529411764706,0.4029411764705882
T1_vs_T2,252,P3_P4_P5,all,50.0,60.0,0.0441176470588235,0.0352941176470588
T1_vs_T2,252,P3_P4_P5,all,50.0,60.0,0.1529411764705882,0.2588235294117647
T1_vs_T2,252,P3_P4_P5,all,62.5,40.0,-0.0647058823529411,0.6029411764705882
T1_vs_T3,671,all_P1_P2_P3_P4_P5,all,35.714285714285715,60.0,-0.1472527472527472,0.1032967032967033
T1_vs_T3,671,all_P1_P2_P3_P4_P5,all,57.14285714285714,80.0,0.1604395604395604,-0.178021978021978
T1_vs_T3,671,all_P1_P2_P3_P4_P5,all,14.285714285714285,20.0,-0.2791208791208791,-0.432967032967033
T1_vs_T3,671,all_P1_P2_P3_P4_P5,all,57.14285714285714,80.0,0.2439560439560439,-0.0197802197802197
T1_vs_T3,671,P3_P4_P5,all,28.57142857142857,40.0,-0.1736263736263736,0.5868131868131868
T1_vs_T3,671,P3_P4_P5,all,57.14285714285714,80.0,0.3450549450549451,0.3802197802197802
T1_vs_T3,671,P3_P4_P5,all,42.857142857142854,40.0,0.2395604395604395,0.5296703296703297
T1_vs_T3,671,P3_P4_P5,all,71.42857142857143,80.0,0.6087912087912088,0.4901098901098901
T1_vs_T3,252,all_P1_P2_P3_P4_P5,all,31.25,20.0,-0.1764705882352941,0.0735294117647058
T1_vs_T3,252,all_P1_P2_P3_P4_P5,all,50.0,80.0,0.4970588235294117,0.7470588235294118
T1_vs_T3,252,all_P1_P2_P3_P4_P5,all,56.25,80.0,0.2264705882352941,0.7529411764705882
T1_vs_T3,252,all_P1_P2_P3_P4_P5,all,43.75,60.0,-0.0411764705882353,0.288235294117647
T1_vs_T3,252,P3_P4_P5,all,68.75,80.0,0.3029411764705882,0.6588235294117648
T1_vs_T3,252,P3_P4_P5,all,50.0,60.0,0.3058823529411765,0.5147058823529412
T1_vs_T3,252,P3_P4_P5,all,81.25,100.0,0.7235294117647059,0.5147058823529412
T1_vs_T3,252,P3_P4_P5,all,81.25,80.0,0.2176470588235294,0.4911764705882353
T2_vs_T3,671,all_P1_P2_P3_P4_P5,all,57.14285714285714,60.0,0.0549450549450549,0.1252747252747253
T2_vs_T3,671,all_P1_P2_P3_P4_P5,all,50.0,40.0,0.4857142857142857,0.4241758241758242
T2_vs_T3,671,all_P1_P2_P3_P4_P5,all,57.14285714285714,40.0,-0.410989010989011,0.1868131868131868
T2_vs_T3,671,all_P1_P2_P3_P4_P5,all,50.0,60.0,-0.0197802197802197,0.1868131868131868
T2_vs_T3,671,P3_P4_P5,all,50.0,40.0,-0.3362637362637363,-0.0901098901098901
T2_vs_T3,671,P3_P4_P5,all,78.57142857142857,80.0,0.5296703296703297,0.432967032967033
T2_vs_T3,671,P3_P4_P5,all,71.42857142857143,40.0,0.0329670329670329,0.3934065934065934
T2_vs_T3,671,P3_P4_P5,all,64.28571428571429,40.0,0.2175824175824176,0.2175824175824176
T2_vs_T3,252,all_P1_P2_P3_P4_P5,all,50.0,100.0,0.7029411764705883,0.5970588235294118
T2_vs_T3,252,all_P1_P2_P3_P4_P5,all,68.75,60.0,0.2058823529411765,0.0705882352941176
T2_vs_T3,252,all_P1_P2_P3_P4_P5,all,56.25,80.0,0.5147058823529412,0.3176470588235294
T2_vs_T3,252,all_P1_P2_P3_P4_P5,all,87.5,100.0,0.7176470588235294,0.4352941176470588
T2_vs_T3,252,P3_P4_P5,all,62.5,60.0,0.3176470588235294,0.8852941176470588
T2_vs_T3,252,P3_P4_P5,all,62.5,80.0,0.3852941176470588,0.4352941176470588
T2_vs_T3,252,P3_P4_P5,all,62.5,100.0,0.5588235294117647,0.4088235294117647
T2_vs_T3,252,P3_P4_P5,all,75.0,100.0,0.5823529411764706,0.5294117647058824
