table_type,comparison_label,link_id,anatomical_family,longitudinal_delta,abs_longitudinal_delta,sign_glyph,NV_T1_abs_delta,delta_to_NV_T1_ratio,outside_T1_NV_reference,tip_label,rank_by_abs_longitudinal_delta,n_links,sum_abs_longitudinal_delta,gini_link_change_share,top3_share,top3_share_pct
top_link,T1_vs_T2,RFArm_to_RHand,distal_upper_limb,0.039001269952298,0.039001269952298,+,0.0107767832867154,3.6190084661324806,True,3.6×  (NV 0.011),1.0,,,,,
top_link,T1_vs_T2,RUArm_to_RFArm,proximal_upper_limb,0.0231558957326851,0.0231558957326851,+,0.0026563467584029,8.717196148972445,True,8.7×  (NV 0.003),2.0,,,,,
top_link,T1_vs_T2,LThigh_to_LShin,lower_limb,0.0225033000767432,0.0225033000767432,+,0.0114626688668176,1.9631815538077944,True,2.0×  (NV 0.011),3.0,,,,,
top_link,T1_vs_T2,LShin_to_LFoot,lower_limb,0.0121970763840298,0.0121970763840298,+,0.003916175566784,3.1145376850523037,True,3.1×  (NV 0.004),4.0,,,,,
top_link,T1_vs_T2,RThigh_to_RShin,lower_limb,-0.0118185519597235,0.0118185519597235,−,0.0200684613168221,0.5889117144131456,False,0.6×  (NV 0.020),5.0,,,,,
top_link,T1_vs_T2,LShoulder_to_LUArm,shoulder_chain,0.010763955956288,0.010763955956288,+,0.0075057214665133,1.4341001067400847,True,1.4×  (NV 0.008),6.0,,,,,
top_link,T1_vs_T2,RShin_to_RFoot,lower_limb,0.0099227468880673,0.0099227468880673,+,0.0096606905918021,1.0271260417435972,True,1.0×  (NV 0.010),7.0,,,,,
top_link,T1_vs_T3,RFArm_to_RHand,distal_upper_limb,0.0417492459801216,0.0417492459801216,+,0.0107767832867154,3.873998842640378,True,3.9×  (NV 0.011),1.0,,,,,
top_link,T1_vs_T3,LThigh_to_LShin,lower_limb,0.0304461230211164,0.0304461230211164,+,0.0114626688668176,2.6561111879671087,True,2.7×  (NV 0.011),2.0,,,,,
top_link,T1_vs_T3,LUArm_to_LFArm,proximal_upper_limb,0.0178117580497585,0.0178117580497585,+,0.0519309749287926,0.3429890941616624,False,0.3×  (NV 0.052),3.0,,,,,
top_link,T1_vs_T3,RUArm_to_RFArm,proximal_upper_limb,0.0145780868063802,0.0145780868063802,+,0.0026563467584029,5.488021004887618,True,5.5×  (NV 0.003),4.0,,,,,
top_link,T1_vs_T3,RThigh_to_RShin,lower_limb,0.0122703594826845,0.0122703594826845,+,0.0200684613168221,0.6114250260132849,False,0.6×  (NV 0.020),5.0,,,,,
top_link,T1_vs_T3,RShin_to_RFoot,lower_limb,0.0094964464267463,0.0094964464267463,+,0.0096606905918021,0.9829987138605624,False,1.0×  (NV 0.010),6.0,,,,,
top_link,T1_vs_T3,LFArm_to_LHand,distal_upper_limb,-0.0091391301483584,0.0091391301483584,−,0.0321677828701102,0.2841081769689004,False,0.3×  (NV 0.032),7.0,,,,,
distribution_summary,T1_vs_T2,,,,,,,,,,,14.0,0.15606045182740694,0.475493721352525,0.5424850740234654,54.24850740234653
distribution_summary,T1_vs_T3,,,,,,,,,,,14.0,0.1652227219754941,0.4739665318997215,0.5447624029844176,54.47624029844176
