comparison_label,focus_mode,anatomical_family,relative_family_share,family_rank,top_link_in_family
T1_vs_T2,functional_p50,distal_upper_limb,0.3545217603505177,1.0,LFArm_to_LHand
T1_vs_T2,functional_p50,shoulder_chain,0.2633098257033899,2.0,RShoulder_to_RUArm
T1_vs_T2,functional_p50,proximal_upper_limb,0.2333052372744473,3.0,LUArm_to_LFArm
T1_vs_T2,functional_p50,lower_limb,0.1033127264723989,4.0,LShin_to_LFoot
T1_vs_T2,functional_p50,trunk_neck_head,0.045550450199246,5.0,Neck_to_Head
T1_vs_T2,functional_p60,distal_upper_limb,0.2581992992165822,1.0,LFArm_to_LHand
T1_vs_T2,functional_p60,shoulder_chain,0.2531995632657971,2.0,RShoulder_to_RUArm
T1_vs_T2,functional_p60,lower_limb,0.2303025602666947,3.0,LThigh_to_LShin
T1_vs_T2,functional_p60,proximal_upper_limb,0.2067412580904335,4.0,LUArm_to_LFArm
T1_vs_T2,functional_p60,trunk_neck_head,0.0515573191604926,5.0,Chest_to_Neck
T1_vs_T2,null_space_after_p50,lower_limb,0.343990262835287,1.0,LThigh_to_LShin
T1_vs_T2,null_space_after_p50,shoulder_chain,0.2675977245870751,2.0,LShoulder_to_LUArm
T1_vs_T2,null_space_after_p50,distal_upper_limb,0.1644326309739316,3.0,LFArm_to_LHand
T1_vs_T2,null_space_after_p50,proximal_upper_limb,0.1570134348019486,4.0,LUArm_to_LFArm
T1_vs_T2,null_space_after_p50,trunk_neck_head,0.0669659468017575,5.0,Neck_to_Head
T1_vs_T2,null_space_after_p60,lower_limb,0.3190929111257909,1.0,LThigh_to_LShin
T1_vs_T2,null_space_after_p60,shoulder_chain,0.2728891175629159,2.0,LShoulder_to_LUArm
T1_vs_T2,null_space_after_p60,distal_upper_limb,0.1822542072343186,3.0,LFArm_to_LHand
T1_vs_T2,null_space_after_p60,proximal_upper_limb,0.1585599308970186,4.0,LUArm_to_LFArm
T1_vs_T2,null_space_after_p60,trunk_neck_head,0.0672038331799558,5.0,Neck_to_Head
T1_vs_T3,functional_p50,proximal_upper_limb,0.359531614039495,1.0,RUArm_to_RFArm
T1_vs_T3,functional_p50,distal_upper_limb,0.3074553090197915,2.0,LFArm_to_LHand
T1_vs_T3,functional_p50,shoulder_chain,0.2414267861392763,3.0,RShoulder_to_RUArm
T1_vs_T3,functional_p50,lower_limb,0.0511375159270875,4.0,LShin_to_LFoot
T1_vs_T3,functional_p50,trunk_neck_head,0.0404487748743495,5.0,Chest_to_Neck
T1_vs_T3,functional_p60,proximal_upper_limb,0.3090742222305223,1.0,LUArm_to_LFArm
T1_vs_T3,functional_p60,shoulder_chain,0.3059131169810479,2.0,RShoulder_to_RUArm
T1_vs_T3,functional_p60,distal_upper_limb,0.2423005350927947,3.0,LFArm_to_LHand
T1_vs_T3,functional_p60,lower_limb,0.0934281826286885,4.0,LThigh_to_LShin
T1_vs_T3,functional_p60,trunk_neck_head,0.0492839430669464,5.0,Chest_to_Neck
T1_vs_T3,null_space_after_p50,shoulder_chain,0.3190853615199826,1.0,LShoulder_to_LUArm
T1_vs_T3,null_space_after_p50,lower_limb,0.2580264111538485,2.0,LThigh_to_LShin
T1_vs_T3,null_space_after_p50,proximal_upper_limb,0.1779934601230691,3.0,LUArm_to_LFArm
T1_vs_T3,null_space_after_p50,distal_upper_limb,0.1680213367665584,4.0,LFArm_to_LHand
T1_vs_T3,null_space_after_p50,trunk_neck_head,0.0768734304365409,5.0,Neck_to_Head
T1_vs_T3,null_space_after_p60,shoulder_chain,0.2904486274023862,1.0,LShoulder_to_LUArm
T1_vs_T3,null_space_after_p60,lower_limb,0.2719200705980847,2.0,LThigh_to_LShin
T1_vs_T3,null_space_after_p60,distal_upper_limb,0.1841814920530655,3.0,LFArm_to_LHand
T1_vs_T3,null_space_after_p60,proximal_upper_limb,0.1750978921670059,4.0,RUArm_to_RFArm
T1_vs_T3,null_space_after_p60,trunk_neck_head,0.0783519177794575,5.0,Neck_to_Head
